Procedure Number,Description,Standard Amount,UB Code,Modifier 1,hospital
PH000001,ZyPREXA Zydis 10 mg,112.08,250,,Advanced_Care_Hospital_Of_Montana
PH000003,HumaLOG,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH000004,HumaLOG Mix 75-25,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH000005,HumaLOG MIX 50-50,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH000006,ZyPREXA 10 mg,227.52,250,,Advanced_Care_Hospital_Of_Montana
PH000007,HumuLIN R,1.5,257,,Advanced_Care_Hospital_Of_Montana
PH000009,HumuLIN N,1.5,257,,Advanced_Care_Hospital_Of_Montana
PH000011,HumuLIN 70-30,1.5,257,,Advanced_Care_Hospital_Of_Montana
PH000012,Kenalog-40 40 mg/mL Vial,44.93,250,,Advanced_Care_Hospital_Of_Montana
PH000014,Eliquis 2.5 mg Tab,39.93,250,,Advanced_Care_Hospital_Of_Montana
PH000015,Eliquis 5 Mg Tablet,39.93,250,,Advanced_Care_Hospital_Of_Montana
PH000016,AZACTAM  IV 1 G,139.2,250,,Advanced_Care_Hospital_Of_Montana
PH000017,Valcyte 450 mg,424.33,250,,Advanced_Care_Hospital_Of_Montana
PH000018,Tamiflu 75 mg Cap,72.9,250,,Advanced_Care_Hospital_Of_Montana
PH000019,Tamiflu 30 Mg Capsule,66.88,250,,Advanced_Care_Hospital_Of_Montana
PH000020,Prevnar 13 Syringe 0.5 mL,1045.15,250,,Advanced_Care_Hospital_Of_Montana
PH000021,MULTIVIT-MINERALS/FERROUS 9 mg,35.96,250,,Advanced_Care_Hospital_Of_Montana
PH000022,Centrum Silver Chew 400-250MCG,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH000023,Alendronate Sodium 35 Mg,82.52,250,,Advanced_Care_Hospital_Of_Montana
PH000024,Januvia 50 mg,79.49,250,,Advanced_Care_Hospital_Of_Montana
PH000025,Isentress 400 Mg Tablet,138.82,250,,Advanced_Care_Hospital_Of_Montana
PH000026,Maxalt 10 Mg Tablet,175.54,250,,Advanced_Care_Hospital_Of_Montana
PH000027,Januvia 100 mg,79.49,250,,Advanced_Care_Hospital_Of_Montana
PH000029,Imipenem/cilastatin Sod 250 mg,65.71,250,,Advanced_Care_Hospital_Of_Montana
PH000030,PriMAXin 500 mg,156.73,250,,Advanced_Care_Hospital_Of_Montana
PH000031,INVanz 1 gram,617.57,250,,Advanced_Care_Hospital_Of_Montana
PH000033,Pneumovax 23 Vial,561.98,250,,Advanced_Care_Hospital_Of_Montana
PH000034,Fondaparinux 2.5 mg/0.5 mL Syr,230.8,250,,Advanced_Care_Hospital_Of_Montana
PH000035,argatroban 100 mg,6304.8,250,,Advanced_Care_Hospital_Of_Montana
PH000036,Protonix IV 40 mg,24.12,250,,Advanced_Care_Hospital_Of_Montana
PH000037,Tygacil 50 Mg Vial,754.97,250,,Advanced_Care_Hospital_Of_Montana
PH000038,Solu-CORTEF 100 mg,74.04,250,,Advanced_Care_Hospital_Of_Montana
PH000039,Solu-CORTEF 250 mg,136.95,250,,Advanced_Care_Hospital_Of_Montana
PH000040,SOLU-MedroL 1000 mg,286.27,250,,Advanced_Care_Hospital_Of_Montana
PH000041,SOLU-MedroL 40 mg,29.02,250,,Advanced_Care_Hospital_Of_Montana
PH000042,SOLU-MedroL 125 mg,46.73,250,,Advanced_Care_Hospital_Of_Montana
PH000043,Depo-TESTOSTERONE 200 mg/mL,100.8,250,,Advanced_Care_Hospital_Of_Montana
PH000044,SOLU-MedroL 500 mg,116.54,250,,Advanced_Care_Hospital_Of_Montana
PH000047,DEPO-MedroL 80 mg,88.46,250,,Advanced_Care_Hospital_Of_Montana
PH000048,Detrol 1 Mg Tablet,36.04,250,,Advanced_Care_Hospital_Of_Montana
PH000049,Detrol 2 mg Tab,37.0,250,,Advanced_Care_Hospital_Of_Montana
PH000050,Linezolid 600 Mg,734.65,250,,Advanced_Care_Hospital_Of_Montana
PH000051,Linezolid 600 Mg/300 ml IV,300.0,250,,Advanced_Care_Hospital_Of_Montana
PH000052,Detrol LA 2 Mg Capsule,58.69,250,,Advanced_Care_Hospital_Of_Montana
PH000053,Detrol LA 4 mg Cap,58.69,250,,Advanced_Care_Hospital_Of_Montana
PH000055,"Tears, Refresh 0.5% Drop 15mL",37.87,257,,Advanced_Care_Hospital_Of_Montana
PH000056,LUMIGAN DROPS FOR THE EYE 0.01,1042.37,250,,Advanced_Care_Hospital_Of_Montana
PH000057,ZENPEP 20K-63K-84K CAPSULE 1 E,35.45,250,,Advanced_Care_Hospital_Of_Montana
PH000058,Restasis,49.19,250,,Advanced_Care_Hospital_Of_Montana
PH000059,REFRESH LIQUIGEL 1% EYE DROPS,37.87,257,,Advanced_Care_Hospital_Of_Montana
PH000060,COMBIGAN OPTH DROPS 5 ML,933.17,250,,Advanced_Care_Hospital_Of_Montana
PH000061,ALPHAGAN P OPHTHALMIC DROPS 0.,846.53,250,,Advanced_Care_Hospital_Of_Montana
PH000063,Multaq 400 mg Tab,55.31,250,,Advanced_Care_Hospital_Of_Montana
PH000064,Leukine 250 mCg Vial,1322.28,250,,Advanced_Care_Hospital_Of_Montana
PH000065,Cytotec 100 mcg Tab,19.16,250,,Advanced_Care_Hospital_Of_Montana
PH000066,CeleBREX 100 mg,40.77,250,,Advanced_Care_Hospital_Of_Montana
PH000067,CeleBREX 200 mg,66.87,250,,Advanced_Care_Hospital_Of_Montana
PH000068,Inspra 50 mg,60.22,250,,Advanced_Care_Hospital_Of_Montana
PH000070,"Creon DR 6,000 Units",8.52,250,,Advanced_Care_Hospital_Of_Montana
PH000071,"Creon DR 12,000 Units",17.03,250,,Advanced_Care_Hospital_Of_Montana
