Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,ALLEGIANCE,BCBSMT_BLUE_OPTIONS,BCBSMT_HEALTHLINK_NETWORK,BCBSMT_POS_CLOSED_NETWORK,BCBSMT_TRADITIONAL,EBMS,FIRST_CHOICE,INTERWEST_HEALTH_PPO,INTERWEST_HEALTH_PPO_DIRECT,INTERWEST_HEALTH_TRADITIONAL,MONTANA_HEALTH_COOP,PACIFIC_SOURCE,UHC,hospital
26010006_1,HC BLOOD DRAW PICC OR NONIMPLANTED CENTRAL LINE CDM,Inpatient,260,36592,"Collection of blood specimen using established central or peripheral catheter, venous, not otherwise specified",,0,82,77.9,73.8,178.2,77.9,73.8,73.8,77.9,82,77.9,73.8,80.36,80.36,82,73.8,77.9,75.44,Barrett_Hospital_and_Healthcare
26010006_1,HC BLOOD DRAW PICC OR NONIMPLANTED CENTRAL LINE CDM,Outpatient,260,36592,"Collection of blood specimen using established central or peripheral catheter, venous, not otherwise specified",,0,82,77.9,73.8,178.2,77.9,178.2,73.8,77.9,82,77.9,73.8,80.36,80.36,82,73.8,77.9,75.44,Barrett_Hospital_and_Healthcare
26010007_1,HC IV HYDRATION INITIAL HR,Inpatient,260,96360,"Intravenous infusion, hydration; initial, 31 minutes to 1 hour",,0,260,247,139.284,260,247,234,234,247,260,247,234,254.8,254.8,260,234,247,239.2,Barrett_Hospital_and_Healthcare
26010007_1,HC IV HYDRATION INITIAL HR,Outpatient,260,96360,"Intravenous infusion, hydration; initial, 31 minutes to 1 hour",,0,260,247,139.284,260,247,139.284,234,247,260,247,234,254.8,254.8,260,234,247,239.2,Barrett_Hospital_and_Healthcare
26010009_1,HC IV INFUSION INITIAL HR,Inpatient,260,96365,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); initial, up to 1 hour",,0,312,296.4,217.368,312,296.4,280.8,280.8,296.4,312,296.4,280.8,305.76,305.76,312,280.8,296.4,287.04,Barrett_Hospital_and_Healthcare
26010009_1,HC IV INFUSION INITIAL HR,Outpatient,260,96365,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); initial, up to 1 hour",,0,312,296.4,217.368,312,296.4,217.368,280.8,296.4,312,296.4,280.8,305.76,305.76,312,280.8,296.4,287.04,Barrett_Hospital_and_Healthcare
26010010_1,HC IV INFUSION EA ADDL HR,Inpatient,260,96366,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); each additional hour (List separately in addition to code for primary procedure)",,0,95,90.25,65.412,95,90.25,85.5,85.5,90.25,95,90.25,85.5,93.1,93.1,95,85.5,90.25,87.4,Barrett_Hospital_and_Healthcare
26010010_1,HC IV INFUSION EA ADDL HR,Outpatient,260,96366,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); each additional hour (List separately in addition to code for primary procedure)",,0,95,90.25,65.412,95,90.25,65.412,85.5,90.25,95,90.25,85.5,93.1,93.1,95,85.5,90.25,87.4,Barrett_Hospital_and_Healthcare
26010011_1,HC IV INFUSION SEQUENTIAL HR,Inpatient,260,96367,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); additional sequential infusion of a new drug/substance, up to 1 hour (List separately in addition to code for primary procedure)",,0,117,111.15,93.906,117,111.15,105.3,105.3,111.15,117,111.15,105.3,114.66,114.66,117,105.3,111.15,107.64,Barrett_Hospital_and_Healthcare
26010011_1,HC IV INFUSION SEQUENTIAL HR,Outpatient,260,96367,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); additional sequential infusion of a new drug/substance, up to 1 hour (List separately in addition to code for primary procedure)",,0,117,111.15,93.906,117,111.15,93.906,105.3,111.15,117,111.15,105.3,114.66,114.66,117,105.3,111.15,107.64,Barrett_Hospital_and_Healthcare
