CDM Item Number,Revenue Code,Service ID,Service Mod1,Service Mod2,Service Mod3,Service Mod4,Service Description,Gross Charge,Discounted Cash Price,Minimum Negotiated Charge,Maximum Negotiated Charge,Payer Negotiated Charge: Blue Cross Blue Shield of MT (Plan: All),Payer Negotiated Charge: Blue Cross Blue Shield of MT (Plan: Default),Payer Negotiated Charge: Blue Cross Blue Shield of MT (Plan: Federal),Payer Negotiated Charge: Blue Cross Blue Shield of MT (Plan: Medicare Advantage),Payer Negotiated Charge: Medicare A MT JF (Plan: All),Payer Negotiated Charge: Medicare B MT JF (Plan: All),Payer Negotiated Charge: Medicare Railroad Palmetto GBA (Plan: All),hospital
3020002,120,,,,,,RM H LEVEL III,2050.0,2050.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3020004,120,,,,,,RM H LEVEL II,1650.0,1650.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3060001,110,,,,,,RM SB IC VIP,214.0,214.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3060002,110,,,,,,RM SB IC VIP HOLD,214.0,214.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3060003,110,,,,,,RM SB MEDD VIP HOLD,31.0,31.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3060004,120,,,,,,RM SB LOA,0.0,0.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3060005,120,,,,,,RM SB IC MEDD,204.3,204.3,,,,,,,,,,Fallon_Medical_Complex_Hospital
3060006,120,,,,,,RM SB SELF IC HOLD,214.0,214.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3060007,110,,,,,,RM SB IC MEDD VIP,204.3,204.3,,,,,,,,,,Fallon_Medical_Complex_Hospital
3060008,120,,,,,,RM SB IC,214.0,214.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3060009,120,,,,,,RM SB SKILLED,800.0,800.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3060010,120,,,,,,RM SB RESPITE,214.0,214.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3060011,110,,,,,,RM SB SKILLED COMPLEX,1125.0,1125.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3060012,110,,,,,,RM SB RESPITE VIP,214.0,214.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3060013,192,,,,,,RM SB TRANSITIONAL,309.0,309.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080004,450,99281,,,,,EMERGENCY SERVICE,220.0,220.0,169.17,169.17,,,,,169.17,,,Fallon_Medical_Complex_Hospital
3080005,450,99282,,,,,EMERGENCY SERVICE,331.0,331.0,209.85,209.85,,,,,209.85,,,Fallon_Medical_Complex_Hospital
3080006,450,99283,,,,,EMERGENCY SERVICE,428.0,428.0,263.41,263.41,,,,,263.41,,,Fallon_Medical_Complex_Hospital
3080007,450,99284,,,,,EMERGENCY SERVICE,748.0,748.0,472.82,472.82,,,,,472.82,,,Fallon_Medical_Complex_Hospital
3080008,450,99285,,,,,EMERGENCY SERVICE,1270.0,1270.0,838.43,838.43,,,,,838.43,,,Fallon_Medical_Complex_Hospital
3080009,450,99291,,,,,EMERGENCY SERVICE CRITICA,1780.0,1780.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080010,450,30300,,,,,FOREIGN BODY REMOVAL NASAL,250.0,250.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080011,450,31500,,,,,INTUBATION-ER,635.0,635.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080013,450,51701,,,,,STRAIGHT CATHETER INSERTION,100.0,100.0,36.53,36.53,,,,,36.53,,,Fallon_Medical_Complex_Hospital
3080014,450,30905,,,,,CAUTERIZE NASAL POSTERIOR-INITIAL,270.0,270.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080015,450,30903,,,,,CAUTERIZE NASAL ANTERIOR-EXTENSIVE,205.0,205.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080016,450,30901,,,,,CAUTERIZE NASAL ANTERIOR-SIMPLE,140.0,140.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080017,450,30906,,,,,CAUTERIZE NASAL POSTERIOR-SUBS,66.0,66.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080018,450,96365,,,,,INFUS NCER INITL <1.5 HR,450.0,450.0,294.62,294.62,,,,,294.62,,,Fallon_Medical_Complex_Hospital
3080019,450,96366,,,,,INFUS NCER ADDL HR(S),175.0,175.0,108.8,108.8,,,,,108.8,,,Fallon_Medical_Complex_Hospital
3080024,450,99292,,,,,ER CRITICAL ADDTL 30 MIN,831.0,831.0,531.84,531.84,,,,,531.84,,,Fallon_Medical_Complex_Hospital
3080025,391,36430,,,,,TRANSFUSION BLOOD ER 1 HR,520.0,520.0,438.4,438.4,,,,,438.4,,,Fallon_Medical_Complex_Hospital
3080027,391,36430,,,,,TRANSFUSION BLOOD ER 3 HR,750.0,750.0,438.4,438.4,,,,,438.4,,,Fallon_Medical_Complex_Hospital
3080034,450,51798,,,,,BLADDER SCAN -PORTABLE,70.0,70.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080035,450,96368,,,,,INFUS NCER ADDL SAME TIME,200.0,200.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080036,450,96367,,,,,INFUS NCER NEW DRUG  SAME DAY,190.0,190.0,123.56,123.56,,,,,123.56,,,Fallon_Medical_Complex_Hospital
3080037,450,96360,,,,,INFUS ER HYDRATN <1.25 HR,400.0,400.0,284.12,284.12,,,,,284.12,,,Fallon_Medical_Complex_Hospital
3080038,450,96361,,,,,INFUS ER HYDRATN ADDL HR,160.0,160.0,121.38,121.38,,,,,121.38,,,Fallon_Medical_Complex_Hospital
3080039,450,96374,,,,,INJ IVPUSH INITL SUBST ER,125.0,125.0,70.51,70.51,,,,,70.51,,,Fallon_Medical_Complex_Hospital
3080040,450,96376,,,,,INJ IVP SAME DRUG /P30MIN,125.0,125.0,71.92,71.92,,,,,71.92,,,Fallon_Medical_Complex_Hospital
3080041,450,96375,,,,,INJ IVPUSH ADDL SUBS ER,125.0,125.0,71.69,71.69,,,,,71.69,,,Fallon_Medical_Complex_Hospital
3080042,450,96366,,,,,INFUS NCER SEQUENT ADD HR,170.0,170.0,108.8,108.8,,,,,108.8,,,Fallon_Medical_Complex_Hospital
3080043,450,96372,,,,,INJECTION ER IM OR SUBQ,80.0,80.0,47.13,47.13,,,,,47.13,,,Fallon_Medical_Complex_Hospital
3080044,450,10060,,,,,I & D ABCESS,267.0,267.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080045,450,10120,,,,,FOREIGN BODY INC/REM,343.0,343.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080046,450,10140,,,,,I & D HEMATOMA / FLUID COLL,358.0,358.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080047,450,10160,,,,,PUNCTURE ASP/CYST FLUID,297.0,297.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080048,450,11042,,,,,DEBRIDEMENT SKIN / ULCER,248.0,248.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080049,450,11730,,,,,NAIL AVULSION,231.0,231.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080050,450,12001,,,,,LAC REPAIR SIMPLE <2.5CM,281.0,281.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080051,450,12002,,,,,LAC REPAIR SIMPLE 2.6 TO 7.5CM,291.0,291.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080052,450,12004,,,,,LAC REPAIR SIMPLE 7.6 TO 12.5CM,297.0,297.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080053,450,12005,,,,,LAC REPAIR SIMPLE 12.6 TO 20.0CM,374.0,374.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080054,450,12006,,,,,LAC REPAIR SIMPLE 20.1 TO 30.0CM,449.0,449.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080055,450,12007,,,,,LAC REPAIR SIM >30CM,513.0,513.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080056,450,12011,,,,,LAC REPAIR SIMP FACE <2.5CM,308.0,308.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080057,450,12013,,,,,LAC REPAIR SIMP FACE 2.6 TO 5.0CM,314.0,314.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080058,450,12014,,,,,LAC REPAIR SIMP FACE 5.1 TO 7.5CM,337.0,337.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
