Charge Master Code,Description,Invoice Label,Dynamic Pricing,Price,Soft Code,HCPCS Code,HCPCS Multiplier,Revenue Code,Effective Date,Expiration Date,Department,Fractional Billing,Minimum Price,Default Cost,Cost Multiplier,Charge Code Type,hospital
1001,PNEUMONIA VACCINE ADMINISTRATION,PNEUMONIA VACCINE ADMINISTRATION,,24.0,,G0009,1.0,771,2017-06-06,,INPATIENT,,,,,Standard,Granite_County_Medical_Center
1009,ADULT DAY CARE FULL DAY NO NIGHT,ADULT DAY CARE FULL DAY NO NIGHT,,174.4,,,1.0,3103,2017-06-06,,ADULT DAY CARE,,,,,Standard,Granite_County_Medical_Center
2000,BLADDER CATHETER COMPLICATED,BLADDER CATHETER COMPLICATED,,246.3,,51703,1.0,761,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
2002,CLOSED TREAT OF INTERPHALANGEL JOI,CLOSED TREAT OF INTERPHALANGEL JOI,,297.84,,28665,1.0,450,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
2006,ER NORMAL NEWBORN CARE,ER NORMAL NEWBORN CARE,,1500.0,,99460,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
2007,ER OB DELIVERY ROOM CHARGE,ER OB DELIVERY ROOM CHARGE,,2500.0,,59409,1.0,450,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
2008,ER ROOM CHARGE - LEVEL 1,ER ROOM CHARGE - LEVEL 1,,100.0,,99281,1.0,450,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
2009,ER ROOM CHARGE - LEVEL 2,ER ROOM CHARGE - LEVEL 2,,200.0,,99282,1.0,450,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
2010,ER ROOM CHARGE - LEVEL 3,ER ROOM CHARGE - LEVEL 3,,300.0,,99283,1.0,450,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
2011,ER ROOM CHARGE - LEVEL 4,ER ROOM CHARGE - LEVEL 4,,400.0,,99284,1.0,450,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
