Data Source,Procedure,Code Type,Code,NDC,CMS Description or Other Common Description,Quantity,Gross Charge Inpatient,Gross Charge Outpatient,Discounted Cash Inpatient Price,Discounted Cash Outpatient Price,De-identified Minimum Negotiated Inpatient Charge (not $0),De-identified Minimum Negotiated Outpatient Charge (not $0),De-identified Maximum Negotiated Inpatient Charge (not $0),De-identified Maximum Negotiated Outpatient Charge (not $0),OP Expected Reimbursement: UNITED HEALTHCARE (MEDICA),OP Expected Reimbursement: INTERWEST (GPA - INTERWEST),OP Expected Reimbursement: PACIFICSOURCE (PACIFICSOURCE SMART HEALTH/NAV NETWORK),OP Expected Reimbursement: BCBS/ANTHEM (BCBS MT POS),OP Expected Reimbursement: AETNA (AETNA POS/QPOS),OP Expected Reimbursement: BCBS/ANTHEM (BCBS MT - FEDERAL),OP Expected Reimbursement: CIGNA (CIGNA OTHER),OP Expected Reimbursement: EBMS-EMPLOYEE BENEFIT MNG (ASSOC EMPLOYERS OF MT),OP Expected Reimbursement: BCBS/ANTHEM (BCBS MT HEALTHLINK),OP Expected Reimbursement: ALLEGIANCE (ALLEGIANCE OTHER),OP Expected Reimbursement: FIRST HEALTH NETWORK (FIRST HEALTH OTHER),OP Expected Reimbursement: BCBS/ANTHEM (BCBS MT TRADITIONAL EXCHANGE),OP Expected Reimbursement: CIGNA (CIGNA PPO),OP Expected Reimbursement: MULTIPLAN INC (MULTIPLAN INC OTHER),OP Expected Reimbursement: PRIVATE HLTHCARE SYS (PHCS PPO),OP Expected Reimbursement: UNITED HEALTHCARE (GOLDEN RULE INS),OP Expected Reimbursement: OTHER (OTHER),OP Expected Reimbursement: AETNA (AETNA HMO/EPO),OP Expected Reimbursement: CHOICECARE HUMANA (CHOICECARE HUMANA HMO EPO),OP Expected Reimbursement: AARP (AARP),OP Expected Reimbursement: GEHA (GEHA),OP Expected Reimbursement: CIGNA (CIGNA POS/QPOS),OP Expected Reimbursement: ALLEGIANCE (CIGNA - COMMERCIAL),OP Expected Reimbursement: UNITED HEALTHCARE (UHC OTHER/SUPPLEMENTAL),OP Expected Reimbursement: PRIVATE HLTHCARE SYS (PHCS OTHER),OP Expected Reimbursement: UNITED HEALTHCARE (UMR-UNITED MED RESOURCES),OP Expected Reimbursement: SIBANYE STILLWATER HEALTH PARTNERS (ALLEGIANCE SIBANYE STILLWATER EPO SVB),OP Expected Reimbursement: AETNA (AETNA NAP),OP Expected Reimbursement: FIRST CHOICE HEALTH (FIRST CHOICE HEALTH),OP Expected Reimbursement: ALLEGIANCE (CIGNA SCLHS EMPLOYEES),OP Expected Reimbursement: AETNA (AETNA OTHER),OP Expected Reimbursement: UNITED HEALTHCARE (UHC EXCHANGE PLAN),OP Expected Reimbursement: EXCHANGE OTHER (MOUNTAIN HEALTH CO-OP),OP Expected Reimbursement: CHOICECARE HUMANA (CHOICECARE HUMANA EXCHANGE PLAN),OP Expected Reimbursement: MAILHANDLERS (MAILHANDLERS),OP Expected Reimbursement: NATL ASSN OF LTR CR (NATIONAL ASSOC LETTER CARRIERS- PPO),OP Expected Reimbursement: PACIFICSOURCE (PACIFICSOURCE VOYAGER NETWORK),OP Expected Reimbursement: EBMS-EMPLOYEE BENEFIT MNG (EBMS - EMPLOYEE BENEFIT),OP Expected Reimbursement: FIRST HEALTH NETWORK (BOON GROUP),OP Expected Reimbursement: SIBANYE STILLWATER HEALTH PARTNERS (ALLEGIANCE SIBANYE STILLWATER PPO),OP Expected Reimbursement: UNITED HEALTHCARE (UNITED HEALTHCARE),OP Expected Reimbursement: TIRE RAMA (TIRE RAMA),OP Expected Reimbursement: ALLEGIANCE (ALLEGIANCE MMIA),OP Expected Reimbursement: ALLEGIANCE (MACO HEALTHCARE TRUST),OP Expected Reimbursement: UNITED HEALTHCARE (UHC CHARTER/NAVIGATE),OP Expected Reimbursement: ALLEGIANCE (ALLEGIANCE GROUP HEALTH),OP Expected Reimbursement: OTHER (CIGNA OON),OP Expected Reimbursement: HEALTH INFONET INC (HEALTH INFONET OTHER),OP Expected Reimbursement: AETNA (AETNA PPO),OP Expected Reimbursement: BCBS/ANTHEM (BCBS MT TRADITIONAL),OP Expected Reimbursement: MADA INSURANCE TRUST (MADA INSURANCE TRUST),OP Expected Reimbursement: GREAT-WEST HLTHCARE (GWH-CIGNA POS/QPOS),OP Expected Reimbursement: MERITAIN HEALTH (MERITAIN HEALTH),OP Expected Reimbursement: Self-pay (Self-pay),OP Expected Reimbursement: ALLEGIANCE (ALLEGIANCE - ST OF MT EMPLOYEES),OP Expected Reimbursement: AETNA (AETNA INDEMNITY),OP Expected Reimbursement: AETNA (AETNA SRC),OP Expected Reimbursement: CHOICECARE HUMANA (CHOICECARE HUMANA PPO),OP Expected Reimbursement: EBMS-EMPLOYEE BENEFIT MNG (AVITUS),OP Expected Reimbursement: VICTIMS COMPENSATION (VICTIMS COMPENSATION),OP Expected Reimbursement: KAISER MRP (KAISER MRP OUT OF STATE),IP Expected Reimbursement: GREAT-WEST HLTHCARE (GWH-CIGNA POS/QPOS),IP Expected Reimbursement: CHOICECARE HUMANA (CHOICECARE HUMANA HMO EPO),IP Expected Reimbursement: FIRST CHOICE HEALTH (FIRST CHOICE HEALTH),IP Expected Reimbursement: BCBS/ANTHEM (BCBS MT - FEDERAL),IP Expected Reimbursement: OTHER (SNF OTHER),IP Expected Reimbursement: BCBS/ANTHEM (BCBS MT HEALTHLINK),IP Expected Reimbursement: ALLEGIANCE (ALLEGIANCE - ST OF MT EMPLOYEES),IP Expected Reimbursement: FIRST HEALTH NETWORK (FIRST HEALTH OTHER),IP Expected Reimbursement: AETNA (AETNA SRC),IP Expected Reimbursement: ALLEGIANCE (ALLEGIANCE MMIA),IP Expected Reimbursement: INTERWEST (GPA - INTERWEST),IP Expected Reimbursement: BCBS/ANTHEM (BCBS MT TRADITIONAL),IP Expected Reimbursement: ALLEGIANCE (MACO HEALTHCARE TRUST),IP Expected Reimbursement: MAILHANDLERS (MAILHANDLERS),IP Expected Reimbursement: AETNA (AETNA INDEMNITY),IP Expected Reimbursement: ALLEGIANCE (CIGNA SCLHS EMPLOYEES),IP Expected Reimbursement: EXCHANGE OTHER (MOUNTAIN HEALTH CO-OP),IP Expected Reimbursement: AETNA (AETNA POS/QPOS),IP Expected Reimbursement: GEHA (GEHA),IP Expected Reimbursement: MULTIPLAN INC (MULTIPLAN INC OTHER),IP Expected Reimbursement: CIGNA (CIGNA OTHER),IP Expected Reimbursement: BCBS/ANTHEM (BCBS MT POS),IP Expected Reimbursement: UNITED HEALTHCARE (MEDICA),IP Expected Reimbursement: UNITED HEALTHCARE (UHC OTHER/SUPPLEMENTAL),IP Expected Reimbursement: UNITED HEALTHCARE (GOLDEN RULE INS),IP Expected Reimbursement: CIGNA (CIGNA POS/QPOS),IP Expected Reimbursement: EBMS-EMPLOYEE BENEFIT MNG (AVITUS),IP Expected Reimbursement: ALLEGIANCE (ALLEGIANCE OTHER),IP Expected Reimbursement: CHOICECARE HUMANA (CHOICECARE HUMANA EXCHANGE PLAN),IP Expected Reimbursement: ALLEGIANCE (CIGNA - COMMERCIAL),IP Expected Reimbursement: AETNA (AETNA PPO),IP Expected Reimbursement: EBMS-EMPLOYEE BENEFIT MNG (ASSOC EMPLOYERS OF MT),IP Expected Reimbursement: HEALTH INFONET INC (HEALTH INFONET OTHER),IP Expected Reimbursement: PACIFICSOURCE (PACIFICSOURCE SMART HEALTH/NAV NETWORK),IP Expected Reimbursement: UNITED HEALTHCARE (UNITED HEALTHCARE),IP Expected Reimbursement: VICTIMS COMPENSATION (VICTIMS COMPENSATION),IP Expected Reimbursement: AETNA (AETNA HMO/EPO),IP Expected Reimbursement: ALLEGIANCE (ALLEGIANCE GROUP HEALTH),IP Expected Reimbursement: MERITAIN HEALTH (MERITAIN HEALTH),IP Expected Reimbursement: EBMS-EMPLOYEE BENEFIT MNG (EBMS - EMPLOYEE BENEFIT),IP Expected Reimbursement: AETNA (AETNA OTHER),IP Expected Reimbursement: BCBS/ANTHEM (BCBS MT TRADITIONAL EXCHANGE),IP Expected Reimbursement: AETNA (AETNA NAP),IP Expected Reimbursement: UNITED HEALTHCARE (UHC CHARTER/NAVIGATE),IP Expected Reimbursement: PRIVATE HLTHCARE SYS (PHCS OTHER),IP Expected Reimbursement: CHOICECARE HUMANA (CHOICECARE HUMANA PPO),IP Expected Reimbursement: OTHER (OTHER),IP Expected Reimbursement: UNITED HEALTHCARE (UMR-UNITED MED RESOURCES),IP Expected Reimbursement: PRIVATE HLTHCARE SYS (PHCS PPO),hospital
SCL Internal Data,MS084,DRG,MS-DRG 38 FY 2021 084,,Traumatic Stupor And Coma >1 Hour Without Cc/McC,1 each,31455.26,,20760.47,,28938.79,,28938.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28938.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holy_Rosary_Healthcare
SCL Internal Data,MS087,DRG,MS-DRG 38 FY 2021 087,,Traumatic Stupor And Coma <1 Hour Without Cc/McC,1 each,23930.69,,15794.26,,10114.46,,10114.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10114.46,,Holy_Rosary_Healthcare
Epic Utility,MS095,DRG,MS-DRG 38 FY 2021 095,,Bacterial And Tuberculous Infections Of Nervous System With Cc,1 each,25287.63,,16689.84,,18037.85,,26021.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18037.85,,,,26021.19,,,,,,,,,,,,Holy_Rosary_Healthcare
Epic Utility,MS101,DRG,MS-DRG 38 FY 2021 101,,Seizures Without McC,1 each,11573.65,,7638.61,,10647.75,,10647.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10647.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holy_Rosary_Healthcare
Epic Utility,MS102,DRG,MS-DRG 38 FY 2021 102,,Headaches With McC,1 each,11651.23,,7689.81,,9320.98,,11185.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9320.98,11185.16,,,,10136.56,9320.98,,10136.56,9320.98,,10136.56,9320.98,,10136.56,9320.98,,10719.12,11068.68,,,,,,,9903.54,10136.56,9320.98,10136.56,,10486.1,9320.98,9320.98,,,,10136.56,10369.6,10486.1,,,,,9320.98,9320.98,,,9320.98,Holy_Rosary_Healthcare
SCL Internal Data,MS159,DRG,MS-DRG 38 FY 2021 159,,Dental And Oral Diseases Without Cc/McC,1 each,13031.45,,8600.76,,11337.36,,11337.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11337.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holy_Rosary_Healthcare
SCL Internal Data,MS177,DRG,MS-DRG 38 FY 2021 177,,Respiratory Infections And Inflammations With McC,1 each,26084.25,,17215.61,,11977.75,,48051.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11977.75,,,,16974.79,,,48051.01,,,12584.89,34978.76,,,,,,,,,,,,,,,,,,,,,14344.18,,,,,,,,,,,,Holy_Rosary_Healthcare
Epic Utility,MS178,DRG,MS-DRG 38 FY 2021 178,,Respiratory Infections And Inflammations With Cc,1 each,8722.34,,5756.74,,5332.48,,6398.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5766.5,6398.99,,,,5766.5,5766.5,,5766.5,5766.5,,5766.5,5766.5,,5799.07,5766.5,,6132.35,6332.35,,,,,,,5665.76,5799.07,5766.5,5799.07,,5999.07,5766.5,5332.48,,,,5799.07,5932.38,5999.07,,,,,5766.5,5766.5,,,5766.5,Holy_Rosary_Healthcare
Epic Utility,MS191,DRG,MS-DRG 38 FY 2021 191,,Chronic Obstructive Pulmonary Disease With Cc,1 each,13777.61,,9093.22,,9013.05,,9013.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9013.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holy_Rosary_Healthcare
Epic Utility,MS193,DRG,MS-DRG 38 FY 2021 193,,Simple Pneumonia And Pleurisy With McC,1 each,28898.42,,19072.96,,26586.54,,26586.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26586.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holy_Rosary_Healthcare
SCL Internal Data,MS195,DRG,MS-DRG 38 FY 2021 195,,Simple Pneumonia And Pleurisy Without Cc/McC,1 each,6300.05,,4158.03,,3246.8,,8273.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8273.16,,,,,,,,,,,3246.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holy_Rosary_Healthcare
SCL Internal Data,MS207,DRG,MS-DRG 38 FY 2021 207,,Respiratory System Diagnosis With Ventilator Support >96 Hours,1 each,161222.46,,106406.82,,148444.91,,148444.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148444.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holy_Rosary_Healthcare
SCL Internal Data,MS282,DRG,MS-DRG 38 FY 2021 282,,"Acute Myocardial Infarction, Discharged Alive Without Cc/McC",1 each,11421.21,,7538.0,,10507.56,,10507.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10507.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holy_Rosary_Healthcare
SCL Internal Data,MS291,DRG,MS-DRG 38 FY 2021 291,,Heart Failure And Shock With McC,1 each,15794.45,,10424.34,,12455.13,,12455.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12455.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holy_Rosary_Healthcare
SCL Internal Data,MS292,DRG,MS-DRG 38 FY 2021 292,,Heart Failure And Shock With Cc,1 each,15563.75,,10272.08,,13103.78,,13103.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13103.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holy_Rosary_Healthcare
Epic Utility,MS310,DRG,MS-DRG 38 FY 2021 310,,Cardiac Arrhythmia And Conduction Disorders Without Cc/McC,1 each,10881.78,,7181.97,,4327.7,,4327.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4327.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holy_Rosary_Healthcare
Epic Utility,MS313,DRG,MS-DRG 38 FY 2021 313,,Chest Pain,1 each,6651.87,,4390.23,,5321.5,,6385.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5787.13,5787.13,6385.79,,,,5787.13,5787.13,,5787.13,5787.13,,5787.13,5787.13,,5787.13,5787.13,,6119.72,6319.28,5787.13,,,,,5787.13,5654.09,5787.13,5787.13,5787.13,,5986.69,5787.13,5321.5,,,,5787.13,5920.17,5986.69,,,,,5787.13,5787.13,,,5787.13,Holy_Rosary_Healthcare
Epic Utility,MS329,DRG,MS-DRG 38 FY 2021 329,,Major Small And Large Bowel Procedures With McC,1 each,48091.54,,31740.42,,40401.71,,45395.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40401.71,,,,,,,,,,45395.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holy_Rosary_Healthcare
