Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,Allegiance,ALLEGIANCE_MEDICARE_RBPHP,BCBSMT_HEALTHLINK,BCBSMT_TRADITIONAL,Indian_Health_Svcs_,PACIFIC_SOURCE_,hospital
1034074_1,ANCA screen,Inpatient,300,86255,"Fluorescent noninfectious agent antibody; screen, each antibody",,0,142.75,107.06,84.22,242.16,135.61,135.61,132.76,142.75,,135.61,Poplar_Community_Hospital
1034074_1,ANCA screen,Outpatient,300,86255,"Fluorescent noninfectious agent antibody; screen, each antibody",,0,142.75,107.06,84.22,242.16,135.61,242.16,132.76,142.75,84.22,135.61,Poplar_Community_Hospital
1034075_1,ANCA Titer,Inpatient,302,86256,"Fluorescent noninfectious agent antibody; titer, each antibody",,0,333.5,250.13,196.77,565.75,316.83,316.83,310.16,333.5,,316.83,Poplar_Community_Hospital
1034075_1,ANCA Titer,Outpatient,302,86256,"Fluorescent noninfectious agent antibody; titer, each antibody",,0,333.5,250.13,196.77,565.75,316.83,565.75,310.16,333.5,196.77,316.83,Poplar_Community_Hospital
1040072_1,ANCA Screen,Inpatient,300,86255,"Fluorescent noninfectious agent antibody; screen, each antibody",,0,142.75,107.06,84.22,242.16,135.61,135.61,132.76,142.75,,135.61,Poplar_Community_Hospital
1040072_1,ANCA Screen,Outpatient,300,86255,"Fluorescent noninfectious agent antibody; screen, each antibody",,0,142.75,107.06,84.22,242.16,135.61,242.16,132.76,142.75,84.22,135.61,Poplar_Community_Hospital
1040073_1,"Myeloperoxidase, IgG AB",Inpatient,300,86021,Antibody identification; leukocyte antibodies,,0,156,117,92.04,264.64,148.2,148.2,145.08,156,,148.2,Poplar_Community_Hospital
1040073_1,"Myeloperoxidase, IgG AB",Outpatient,300,86021,Antibody identification; leukocyte antibodies,,0,156,117,92.04,264.64,148.2,264.64,145.08,156,92.04,148.2,Poplar_Community_Hospital
1040074_1,"Proteinase 3, IgG AB",Inpatient,300,86021,Antibody identification; leukocyte antibodies,,0,156,117,92.04,264.64,148.2,148.2,145.08,156,,148.2,Poplar_Community_Hospital
1040074_1,"Proteinase 3, IgG AB",Outpatient,300,86021,Antibody identification; leukocyte antibodies,,0,156,117,92.04,264.64,148.2,264.64,145.08,156,92.04,148.2,Poplar_Community_Hospital
1070072_1,"Microalbumin, Ur Random",Inpatient,301,82043,"Albumin; urine (eg, microalbumin), quantitative",,0,135.5,101.63,79.95,229.86,128.73,128.73,126.02,135.5,,128.73,Poplar_Community_Hospital
1070072_1,"Microalbumin, Ur Random",Outpatient,301,82043,"Albumin; urine (eg, microalbumin), quantitative",,0,135.5,101.63,79.95,229.86,128.73,229.86,126.02,135.5,79.95,128.73,Poplar_Community_Hospital
1176078_1,Interp Anti-IgG DAT,Inpatient,302,86880,"Antihuman globulin test (Coombs test); direct, each antiserum",,0,85.75,64.31,50.59,145.47,81.46,81.46,79.75,85.75,,81.46,Poplar_Community_Hospital
1176078_1,Interp Anti-IgG DAT,Outpatient,302,86880,"Antihuman globulin test (Coombs test); direct, each antiserum",,0,85.75,64.31,50.59,145.47,81.46,145.47,79.75,85.75,50.59,81.46,Poplar_Community_Hospital
1176080_1,"Interp Anti-C3b,C3d DAT",Inpatient,302,86880,"Antihuman globulin test (Coombs test); direct, each antiserum",,0,85.75,64.31,50.59,145.47,81.46,81.46,79.75,85.75,,81.46,Poplar_Community_Hospital
