Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,BCBSMT_BLUE_OPTIONS,EBMS__RMHN_NETWORK_,FIRST_CHOICE,GEHA,MONTANA_HEALTH_CO-OP,MULTIPLAN,PACIFIC_SOURCE,hospital
19217_2,99217 Observation Services Observation Discharge,ProFee,987,99217,"Observation care discharge day management (This code is to be utilized to report all services provided to a patient on discharge from outpatient hospital ""observation status"" if the discharge is on other than the initial date of ""observation status."" To report services to a patient designated as ""observation status"" or ""inpatient status"" and discharged on the same date, use the codes for Observation or Inpatient Care Services [including Admission and Discharge Services, 99234-99236 as appropriate.])",,0,372,372,118.49,372,297.6,316.2,119.597,305.04,118.49,,,Roundup_Memorial_Healthcare
19218_2,99218 Observation Services Low Complexity,ProFee,987,99218,"Initial observation care, per day, for the evaluation and management of a patient which requires these 3 key components: A detailed or comprehensive history; A detailed or comprehensive examination; and Medical decision making that is straightforward or of low complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the problem(s) requiring admission to outpatient hospital ""observation status"" are of low severity. Typically, 30 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,278,278,162.996,278,222.4,236.3,164.5188,227.96,162.996,,,Roundup_Memorial_Healthcare
19219_2,99219 Observation Services Moderate Complexity,ProFee,987,99219,"Initial observation care, per day, for the evaluation and management of a patient, which requires these 3 key components: A comprehensive history; A comprehensive examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the problem(s) requiring admission to outpatient hospital ""observation status"" are of moderate severity. Typically, 50 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,448,448,221.374,448,358.4,380.8,223.4422,367.36,221.374,,,Roundup_Memorial_Healthcare
19220_2,99220 OBSERVATION HIGH SEVERITY,ProFee,987,99220,"Initial observation care, per day, for the evaluation and management of a patient, which requires these 3 key components: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the problem(s) requiring admission to outpatient hospital ""observation status"" are of high severity. Typically, 70 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,599,599,301.716,599,479.2,509.15,304.5348,491.18,301.716,,,Roundup_Memorial_Healthcare
19224_2,99224 Subsequent Observation Care Per Day - Low,ProFee,987,99224,"Subsequent observation care, per day, for the evaluation and management of a patient, which requires at least 2 of these 3 key components: Problem focused interval history; Problem focused examination; Medical decision making that is straightforward or of low complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the patient is stable, recovering, or improving. Typically, 15 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,153,153,64.736,153,122.4,130.05,65.3408,125.46,64.736,,,Roundup_Memorial_Healthcare
19225_2,99225 Subsequent Observation Care Per Day - Mod,ProFee,987,99225,"Subsequent observation care, per day, for the evaluation and management of a patient, which requires at least 2 of these 3 key components: An expanded problem focused interval history; An expanded problem focused examination; Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the patient is responding inadequately to therapy or has developed a minor complication. Typically, 25 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,225,225,118.49,225,180,191.25,119.597,184.5,118.49,,,Roundup_Memorial_Healthcare
19226_2,99226 Subsequent Observation Care Per Day - High,ProFee,987,99226,"Subsequent observation care, per day, for the evaluation and management of a patient, which requires at least 2 of these 3 key components: A detailed interval history; A detailed examination; Medical decision making of high complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the patient is unstable or has developed a significant complication or a significant new problem. Typically, 35 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,317,317,170.51,317,253.6,269.45,172.103,259.94,170.51,,,Roundup_Memorial_Healthcare
19234_2,99234 Observation Or Inpatient Admit & Discharge Same Date Low,ProFee,987,99234,"Observation or inpatient hospital care, for the evaluation and management of a patient including admission and discharge on the same date, which requires these 3 key components: A detailed or comprehensive history; A detailed or comprehensive examination; and Medical decision making that is straightforward or of low complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually the presenting problem(s) requiring admission are of low severity. Typically, 40 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,498,498,23.6,498,398.4,23.6,219.9418,408.36,217.906,,,Roundup_Memorial_Healthcare
19235_2,99235 Observation Or Inpatient Admit & Discharge Same Date Mod,ProFee,987,99235,"Observation or inpatient hospital care, for the evaluation and management of a patient including admission and discharge on the same date, which requires these 3 key components: A comprehensive history; A comprehensive examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually the presenting problem(s) requiring admission are of moderate severity. Typically, 50 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,667,667,21.24,667,533.6,21.24,278.2818,546.94,275.706,,,Roundup_Memorial_Healthcare
19236_2,99236 OBSERVATION OR INPATIENT ADMIT& DC SAME DAY,ProFee,987,99236,"Observation or inpatient hospital care, for the evaluation and management of a patient including admission and discharge on the same date, which requires these 3 key components: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually the presenting problem(s) requiring admission are of high severity. Typically, 55 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,819,819,23.6,819,655.2,23.6,358.2076,671.58,354.892,,,Roundup_Memorial_Healthcare
19238_2,99238 Inpatient Hospital Services - Discharges Discharge,ProFee,987,99238,Hospital discharge day management; 30 minutes or less,,0,372,372,21.24,372,297.6,21.24,120.1804,305.04,119.068,,,Roundup_Memorial_Healthcare
19239_2,99239 Inpatient Hospital Services - Discharges Discharge 30 Minutes >,ProFee,987,99239,Hospital discharge day management; more than 30 minutes,,0,549,549,23.6,549,439.2,23.6,176.1868,450.18,174.556,,,Roundup_Memorial_Healthcare
19251_2,99251 Inpatient Consultations Minor Complexity,ProFee,987,99251,"Inpatient consultation for a new or established patient, which requires these 3 key components: A problem focused history; A problem focused examination; and Straightforward medical decision making. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are self limited or minor. Typically, 20 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,234,234,81.498,234,187.2,198.9,82.2594,191.88,81.498,,,Roundup_Memorial_Healthcare
19252_2,99252 Inpatient Consultations Low Complexity,ProFee,987,99252,"Inpatient consultation for a new or established patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; and Straightforward medical decision making. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of low severity. Typically, 40 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,335,335,123.114,335,268,284.75,124.2642,274.7,123.114,,,Roundup_Memorial_Healthcare
19253_2,99253 Inpatient Consultations Moderate Complexity,ProFee,987,99253,"Inpatient consultation for a new or established patient, which requires these 3 key components: A detailed history; A detailed examination; and Medical decision making of low complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate severity. Typically, 55 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,421,421,190.162,421,336.8,357.85,191.9386,345.22,190.162,,,Roundup_Memorial_Healthcare
19254_2,99254 Inpatient Consultations Moderate/High Complexity,ProFee,987,99254,"Inpatient consultation for a new or established patient, which requires these 3 key components: A comprehensive history; A comprehensive examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate to high severity. Typically, 80 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,566,566,276.862,566,452.8,481.1,279.4486,464.12,276.862,,,Roundup_Memorial_Healthcare
19255_2,99255 Inpatient Consultations Comprehensive,ProFee,987,99255,"Inpatient consultation for a new or established patient, which requires these 3 key components: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate to high severity. Typically, 110 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,759,759,332.928,759,607.2,645.15,336.0384,622.38,332.928,,,Roundup_Memorial_Healthcare
29221_2,99221 Inpatient Hospital Services - Admits Low Complexity,ProFee,987,99221,"Initial hospital care, per day, for the evaluation and management of a patient, which requires these 3 key components: A detailed or comprehensive history; A detailed or comprehensive examination; and Medical decision making that is straightforward or of low complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the problem(s) requiring admission are of low severity. Typically, 30 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,354,354,166.464,354,283.2,300.9,168.0192,290.28,166.464,,,Roundup_Memorial_Healthcare
29222_2,99222 Inpatient Hospital Services - Admits Moderate Complexity,ProFee,987,99222,"Initial hospital care, per day, for the evaluation and management of a patient, which requires these 3 key components: A comprehensive history; A comprehensive examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the problem(s) requiring admission are of moderate severity. Typically, 50 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,483,483,224.842,483,386.4,410.55,226.9426,396.06,224.842,,,Roundup_Memorial_Healthcare
29223_2,99223 Inpatient Hospital Services - Admits High Complexity,ProFee,987,99223,"Initial hospital care, per day, for the evaluation and management of a patient, which requires these 3 key components: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the problem(s) requiring admission are of high severity. Typically, 70 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,617,617,330.038,617,493.6,524.45,333.1214,505.94,330.038,,,Roundup_Memorial_Healthcare
29231_2,99231 Subsequent Days Low Complexity,ProFee,987,99231,"Subsequent hospital care, per day, for the evaluation and management of a patient, which requires at least 2 of these 3 key components: A problem focused interval history; A problem focused examination; Medical decision making that is straightforward or of low complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the patient is stable, recovering or improving. Typically, 15 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,153,153,64.158,153,122.4,130.05,64.7574,125.46,64.158,,,Roundup_Memorial_Healthcare
29232_2,99232 Subsequent Days Moderate Complexity,ProFee,987,99232,"Subsequent hospital care, per day, for the evaluation and management of a patient, which requires at least 2 of these 3 key components: An expanded problem focused interval history; An expanded problem focused examination; Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the patient is responding inadequately to therapy or has developed a minor complication. Typically, 25 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,225,225,117.912,225,180,191.25,119.0136,184.5,117.912,,,Roundup_Memorial_Healthcare
29233_2,99233 Subsequent Days High Complexity,ProFee,987,99233,"Subsequent hospital care, per day, for the evaluation and management of a patient, which requires at least 2 of these 3 key components: A detailed interval history; A detailed examination; Medical decision making of high complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the patient is unstable or has developed a significant complication or a significant new problem. Typically, 35 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,317,317,169.932,317,253.6,269.45,171.5196,259.94,169.932,,,Roundup_Memorial_Healthcare
29291_2,99291 Critical Care - First 30-74 Min,ProFee,981,99291,"Critical care, evaluation and management of the critically ill or critically injured patient; first 30-74 minutes",,0,921,921,362.984,921,736.8,782.85,366.3752,755.22,362.984,,,Roundup_Memorial_Healthcare
29292_2,99292 Critical Care - Each Add'L 30 Min (List Sep In Addition To Prim),ProFee,981,99292,"Critical care, evaluation and management of the critically ill or critically injured patient; each additional 30 minutes (List separately in addition to code for primary service)",,0,459,459,182.648,459,367.2,390.15,184.3544,376.38,182.648,,,Roundup_Memorial_Healthcare
30700001_1,ROOM/BED: Med Surg Semi Private Room RMH,Inpatient,120,,,,0,1972,1972,1617.04,1972,1774.8,1873.4,1912.84,1617.04,,1912.84,1873.4,Roundup_Memorial_Healthcare
30700002_1,ROOM/BED: Isolation Private Room RMH,Inpatient,164,,,,0,2299,2299,1885.18,2299,2069.1,2184.05,2230.03,1885.18,,2230.03,2184.05,Roundup_Memorial_Healthcare
30700005_1,ROOM/BED: Med Surg Telemetry Room RMH,Inpatient,120,,,,0,2299,2299,1885.18,2299,2069.1,2184.05,2230.03,1885.18,,2230.03,2184.05,Roundup_Memorial_Healthcare
30700041_1,ROOM/BED: GIP Hospice Acute RMH,Inpatient,129,,,,0,521,521,427.22,521,468.9,494.95,505.37,427.22,,505.37,494.95,Roundup_Memorial_Healthcare
33000001_1,ROOM/BED: Swing Bed Medicare RMH,Inpatient,129,,,,0,861,861,706.02,861,774.9,817.95,835.17,706.02,,835.17,817.95,Roundup_Memorial_Healthcare
33000002_1,ROOM/BED: Swing Bed Medicaid RMH,Inpatient,129,,,,0,236,236,193.52,236,212.4,224.2,228.92,193.52,,228.92,224.2,Roundup_Memorial_Healthcare
33000003_1,ROOM/BED: Swing Bed Private Pay RMH,Inpatient,129,,,,0,236,236,193.52,236,212.4,224.2,228.92,193.52,,228.92,224.2,Roundup_Memorial_Healthcare
33000006_1,ROOM/BED: Swing Bed Commercial RMH,Inpatient,129,,,,0,861,861,706.02,861,774.9,817.95,835.17,706.02,,835.17,817.95,Roundup_Memorial_Healthcare
