DESCRIPTION,CDM,PRICE,hospital
ROOM MEDICAL BED,13003,1639.0,Beartooth_Billings_Clinic
ROOM MEDICAL W/TELE,23002,2497.0,Beartooth_Billings_Clinic
ROOM SWING SKILLED,33001,1632.0,Beartooth_Billings_Clinic
SWING BED INTERMEDIATE,43000,285.6,Beartooth_Billings_Clinic
ROOM HOSPICE RESPITE,63008,260.0,Beartooth_Billings_Clinic
ROOM SWING INTERMEDIATE,72009,236.65,Beartooth_Billings_Clinic
ABD DOPPLER LIMITED,1200013,474.56,Beartooth_Billings_Clinic
ABDOMEN COMPLETE/PORT,1200021,723.63,Beartooth_Billings_Clinic
ABDOMEN LTD,1200047,474.56,Beartooth_Billings_Clinic
BREAST UNILAT LIMITED,1200054,497.64,Beartooth_Billings_Clinic
CARDIAC DOPPLER COMP,1200062,388.6,Beartooth_Billings_Clinic
CHEST SONOGRAM,1200088,643.03,Beartooth_Billings_Clinic
"DUPLEX SCAN ABD, PELVIS COMP",1200120,531.53,Beartooth_Billings_Clinic
EXTREMITY VEN DOPPLER BILAT,1200138,922.78,Beartooth_Billings_Clinic
EXTREMITY VEN DOP UNILAT,1200146,784.24,Beartooth_Billings_Clinic
CAROTOID DOPPLER BILAT,1200153,866.54,Beartooth_Billings_Clinic
PELVIC COMPLETE,1200179,500.94,Beartooth_Billings_Clinic
RETROPER COMPLETE,1200187,557.95,Beartooth_Billings_Clinic
"ECHO, 2D COMP",1200195,1287.91,Beartooth_Billings_Clinic
"TRANSVAG, NON OB",1200203,500.94,Beartooth_Billings_Clinic
FETAL BIOPHYSICAL PROFILE,1200229,559.08,Beartooth_Billings_Clinic
INJ FOR CONTRAST VENO,1200245,247.1,Beartooth_Billings_Clinic
"EXTREMITY, NONVAS",1200278,474.56,Beartooth_Billings_Clinic
"OB >14 WKS ,TRANSABD",1200286,482.71,Beartooth_Billings_Clinic
OB FOLLOW UP,1200294,284.5,Beartooth_Billings_Clinic
PELVIC ULTRASOUND LTD,1200328,400.52,Beartooth_Billings_Clinic
RENAL ULTRASOUND,1200344,575.87,Beartooth_Billings_Clinic
RETROPER LTD,1200351,474.56,Beartooth_Billings_Clinic
SCROTUM,1200369,500.94,Beartooth_Billings_Clinic
THYROID ULTRASOUND,1200377,489.61,Beartooth_Billings_Clinic
VEN DOPP EXT COMP/DUP/POR,1200393,922.78,Beartooth_Billings_Clinic
BREAST UNILAT,1200419,633.24,Beartooth_Billings_Clinic
"OB <14 WKS,TRANSABD",1200427,474.56,Beartooth_Billings_Clinic
TRANSVAG AFTER TRANSABD OB,1200435,474.56,Beartooth_Billings_Clinic
ECHO LIMITED,1200542,768.84,Beartooth_Billings_Clinic
ECHO STRESS,1200583,1593.87,Beartooth_Billings_Clinic
U/S VENOUS VALVE COMPETENCY 93971PR,1200591,783.57,Beartooth_Billings_Clinic
U/S GUIDANCE FOR NEEDLE PLACEMENT,1200617,257.5,Beartooth_Billings_Clinic
US HEMATOMA FLUID DRAIN,1200633,2910.72,Beartooth_Billings_Clinic
US ARTERIAL LOWER EXT COMP,1200641,956.2,Beartooth_Billings_Clinic
US AORTA,1200658,474.56,Beartooth_Billings_Clinic
U/S ARTERIAL LOWER EXT LIMITED,1200666,474.56,Beartooth_Billings_Clinic
ULTRASOUND ABDOMINAL AORTA,1200674,454.28,Beartooth_Billings_Clinic
"ULTRASOUND, AXILLARY",1200708,497.54,Beartooth_Billings_Clinic
PROF COMP U/S BREAST COMP,1200716,284.5,Beartooth_Billings_Clinic
PROF COMP U/S BREAST LIMITED,1200724,284.5,Beartooth_Billings_Clinic
U/S DUPLEX SCAN AORTA/IVC 93978,1200740,474.56,Beartooth_Billings_Clinic
MEASURE POSTVOID TC 51798,1200751,19.4,Beartooth_Billings_Clinic
US GUIDANCE FOR VENOUS ACCESS TC,1200752,20.11,Beartooth_Billings_Clinic
OPHTHALMIC US FOREIGN BODY TC 76529,1200753,63.85,Beartooth_Billings_Clinic
U/S OB 1ST TRIMESTER EA ADD'L FETUS,1200760,474.56,Beartooth_Billings_Clinic
MAMMOGRAM DIAG BILATERAL 5YR+,1300011,267.87,Beartooth_Billings_Clinic
MAMMOGRAM SCREENING,1300045,197.21,Beartooth_Billings_Clinic
MAMMOGRAM DIAGNOSTIC UNILATERAL,1300052,160.59,Beartooth_Billings_Clinic
ABDOMEN - FLAT/UPRT,1400019,377.03,Beartooth_Billings_Clinic
AC JOINTS W WTS,1400027,237.47,Beartooth_Billings_Clinic
ABDOMINAL ACUTE SERIES,1400035,401.13,Beartooth_Billings_Clinic
ANKLE COMPLETE,1400043,246.43,Beartooth_Billings_Clinic
ANKLE LTD,1400050,280.52,Beartooth_Billings_Clinic
PELVIS AP ONLY,1400068,311.13,Beartooth_Billings_Clinic
TMJS BILAT,1400076,298.6,Beartooth_Billings_Clinic
SKELETON SURVEY,1400084,689.89,Beartooth_Billings_Clinic
C-SPINE COMP OR FL/EXT,1400092,398.04,Beartooth_Billings_Clinic
CERVICAL SP LTD,1400100,311.13,Beartooth_Billings_Clinic
CHEST 1 V,1400118,243.7,Beartooth_Billings_Clinic
CHEST 2V,1400134,269.19,Beartooth_Billings_Clinic
CHEST DECUBE,1400142,187.87,Beartooth_Billings_Clinic
CLAVICLE,1400159,245.19,Beartooth_Billings_Clinic
SPINE COMPLETE AP AND CAT,1400183,407.21,Beartooth_Billings_Clinic
ELBOW 2V,1400209,245.19,Beartooth_Billings_Clinic
ELBOW COMPLETE,1400217,292.67,Beartooth_Billings_Clinic
FACIAL BONES LTD,1400233,271.35,Beartooth_Billings_Clinic
FINGER,1400258,226.39,Beartooth_Billings_Clinic
FLEX/EXT VIEWS SPINE,1400266,503.57,Beartooth_Billings_Clinic
FOOT COMPLETE,1400282,253.12,Beartooth_Billings_Clinic
FOOT LTD,1400290,239.78,Beartooth_Billings_Clinic
FOREARM,1400308,269.19,Beartooth_Billings_Clinic
HAND  COMPLETE,1400324,279.95,Beartooth_Billings_Clinic
HAND LTD,1400332,311.13,Beartooth_Billings_Clinic
HIP UNILAT 2/3 VIEW W/PELVIS PERFOR,1400340,285.26,Beartooth_Billings_Clinic
HUMERUS,1400365,275.89,Beartooth_Billings_Clinic
ABDOMEN - KUB ONLY,1400423,354.22,Beartooth_Billings_Clinic
"NECK, SOFT TISSUE LAT",1400431,187.87,Beartooth_Billings_Clinic
LUMBAR SP LTD,1400449,311.13,Beartooth_Billings_Clinic
LUMBAR SPINE COMPLETE,1400456,433.94,Beartooth_Billings_Clinic
MANDIBLE,1400464,354.47,Beartooth_Billings_Clinic
NASAL BONES,1400480,329.55,Beartooth_Billings_Clinic
ORBITS,1400514,311.13,Beartooth_Billings_Clinic
OS CALCIS,1400522,237.05,Beartooth_Billings_Clinic
XR HIPS BILAT 2VIEW W/PELVIS,1400530,332.48,Beartooth_Billings_Clinic
PELVIS COMPLETE,1400548,315.54,Beartooth_Billings_Clinic
"RIBS BILAT, W/CXR",1400589,497.59,Beartooth_Billings_Clinic
"RIBS UNILAT, W/CXR",1400597,361.89,Beartooth_Billings_Clinic
SACRUM/COCCYX,1400605,250.44,Beartooth_Billings_Clinic
SCAPULA,1400621,195.49,Beartooth_Billings_Clinic
SCOLIOSIS STUDY,1400639,237.57,Beartooth_Billings_Clinic
SHOULDER 1 VIEW,1400647,187.87,Beartooth_Billings_Clinic
