Location,Dept Number,Charge Code,Description,Revenue Code,CPT Code,Price,Discounted Cash Price,Minimum Contracted price,Maximum Contracted Price,BCBS Traditional Network,BCBS Point of Service Network,BCBS Closed Plan Network,BCBS HealthLink ,BCBS Medicare Advantage,Allegiance,InterWest,Pacific Source,Mountain Health Co-Op PPO,Mountain Health Co-Op HPN,United Medicare,hospital
BTMC,3040,11106,ROOM REGULAR DAILY,110,,1652.5,991.5,1487.25,3908.0,1652.5,1569.88,1569.88,1487.25,3908.0,1569.88,1569.88,1586.4,1602.93,1437.68,3908.0,Benefis_Teton_Medical_Center
BTMC,3040,11700,ROOM WITH TELEMETRY DAILY,200,,2006.0,1203.6,1805.4,3908.0,2006.0,1905.7,1905.7,1805.4,3908.0,1905.7,1905.7,1925.76,1945.82,1745.22,3908.0,Benefis_Teton_Medical_Center
BTMC,3200,14785,HAIR SHAMPOO AND SET,998,,6.0,3.6,0.0,6.0,6.0,5.7,5.7,5.4,0.0,5.7,5.7,5.76,5.82,5.22,0.0,Benefis_Teton_Medical_Center
BTMC,3200,14786,HAIR CUT,998,,15.0,9.0,0.0,15.0,15.0,14.25,14.25,13.5,0.0,14.25,14.25,14.4,14.55,13.05,0.0,Benefis_Teton_Medical_Center
BTMC,3200,14787,HAIR CUT- WOMEN,998,,20.0,12.0,0.0,20.0,20.0,19.0,19.0,18.0,0.0,19.0,19.0,19.2,19.4,17.4,0.0,Benefis_Teton_Medical_Center
BTMC,3200,27366,HAIR PERM,998,,63.0,37.8,0.0,63.0,63.0,59.85,59.85,56.7,0.0,59.85,59.85,60.48,61.11,54.81,0.0,Benefis_Teton_Medical_Center
BTMC,3200,27367,HAIR COLOR,998,,47.0,28.2,0.0,47.0,47.0,44.65,44.65,42.3,0.0,44.65,44.65,45.12,45.59,40.89,0.0,Benefis_Teton_Medical_Center
BTMC,3200,8967,ROOM HOSPICE IP-N,658,,759.0,455.4,603.41,759.0,759.0,721.05,721.05,683.1,603.41,721.05,721.05,728.64,736.23,660.33,569.25,Benefis_Teton_Medical_Center
BTMC,3200,8969,ROOM HOSPICE RESPITE-N,658,,257.5,154.5,204.71,257.5,257.5,244.63,244.63,231.75,204.71,244.63,244.63,247.2,249.78,224.03,193.13,Benefis_Teton_Medical_Center
BTMC,3200,8971,ROOM HOSPICE ROUTINE-N,658,,259.5,155.7,206.3,259.5,259.5,246.53,246.53,233.55,206.3,246.53,246.53,249.12,251.72,225.77,194.63,Benefis_Teton_Medical_Center
BTMC,3230,96221,DAYCARE ADULT per hour,115,,18.0,10.8,14.31,18.0,18.0,17.1,17.1,16.2,14.31,17.1,17.1,17.28,17.46,15.66,13.5,Benefis_Teton_Medical_Center
BTMC,3230,96222,DAYCARE ADULT DAILY,115,,131.0,78.6,104.15,131.0,131.0,124.45,124.45,117.9,104.15,124.45,124.45,125.76,127.07,113.97,98.25,Benefis_Teton_Medical_Center
BTMC,3230,96223,DAYCARE HALF-DAY,590,,66.0,39.6,52.47,66.0,66.0,62.7,62.7,59.4,52.47,62.7,62.7,63.36,64.02,57.42,49.5,Benefis_Teton_Medical_Center
BTMC,3230,96225,DAYCARE BATHING,590,,27.0,16.2,21.47,27.0,27.0,25.65,25.65,24.3,21.47,25.65,25.65,25.92,26.19,23.49,20.25,Benefis_Teton_Medical_Center
BTMC,3230,96226,DAYCARE HALF-DAY + BATH,590,,77.0,46.2,61.22,77.0,77.0,73.15,73.15,69.3,61.22,73.15,73.15,73.92,74.69,66.99,57.75,Benefis_Teton_Medical_Center
BTMC,3330,112497,PNEUMOTHORAX TRAY,270,,929.0,557.4,738.56,929.0,929.0,882.55,882.55,836.1,738.56,882.55,882.55,891.84,901.13,808.23,696.75,Benefis_Teton_Medical_Center
BTMC,3330,11566,TOURNIQUET C.A.T.,270,,125.5,75.3,99.77,125.5,125.5,119.23,119.23,112.95,99.77,119.23,119.23,120.48,121.74,109.19,94.13,Benefis_Teton_Medical_Center
BTMC,3330,11701,"DRESSING-INTERDRY SILVER 10""X144""",270,,159.0,95.4,126.41,159.0,159.0,151.05,151.05,143.1,126.41,151.05,151.05,152.64,154.23,138.33,119.25,Benefis_Teton_Medical_Center
BTMC,3330,11783,UNNA BOOT,270,,109.0,65.4,86.66,109.0,109.0,103.55,103.55,98.1,86.66,103.55,103.55,104.64,105.73,94.83,81.75,Benefis_Teton_Medical_Center
BTMC,3330,120611,BAIR HUGGER MULTI-ACCESS BLANKET,270,,57.0,34.2,45.32,57.0,57.0,54.15,54.15,51.3,45.32,54.15,54.15,54.72,55.29,49.59,42.75,Benefis_Teton_Medical_Center
BTMC,3330,121415,JEWETTE BRACE,270,,825.0,495.0,655.88,825.0,825.0,783.75,783.75,742.5,655.88,783.75,783.75,792.0,800.25,717.75,618.75,Benefis_Teton_Medical_Center
BTMC,3330,12226,LIP THERAPY .35oz,270,,6.0,3.6,4.77,6.0,6.0,5.7,5.7,5.4,4.77,5.7,5.7,5.76,5.82,5.22,4.5,Benefis_Teton_Medical_Center
BTMC,3330,12232,"DUOTHERM PAD,all small",270,,80.0,48.0,63.6,80.0,80.0,76.0,76.0,72.0,63.6,76.0,76.0,76.8,77.6,69.6,60.0,Benefis_Teton_Medical_Center
BTMC,3330,12252,FOLEY COUDE #16 5cc,270,A4340,46.5,27.9,36.97,54.88,46.5,54.88,54.88,41.85,36.97,44.18,44.18,44.64,45.11,40.46,34.88,Benefis_Teton_Medical_Center
BTMC,3330,12304,FOLEY 22 FOLEY 30cc BALLOON,270,,11.0,6.6,8.75,11.0,11.0,10.45,10.45,9.9,8.75,10.45,10.45,10.56,10.67,9.57,8.25,Benefis_Teton_Medical_Center
BTMC,3330,1240,TRACH STOMA COVER/THIN VELCRO BAND,270,,23.0,13.8,18.29,23.0,23.0,21.85,21.85,20.7,18.29,21.85,21.85,22.08,22.31,20.01,17.25,Benefis_Teton_Medical_Center
BTMC,3330,1255,FOLEY 18fr 30cc,270,,10.0,6.0,7.95,10.0,10.0,9.5,9.5,9.0,7.95,9.5,9.5,9.6,9.7,8.7,7.5,Benefis_Teton_Medical_Center
BTMC,3330,12973,QUIK CLOT 50gr.,270,,46.5,27.9,36.97,46.5,46.5,44.18,44.18,41.85,36.97,44.18,44.18,44.64,45.11,40.46,34.88,Benefis_Teton_Medical_Center
BTMC,3330,133,ADAPTIC 3X3,270,,5.0,3.0,3.98,5.0,5.0,4.75,4.75,4.5,3.98,4.75,4.75,4.8,4.85,4.35,3.75,Benefis_Teton_Medical_Center
BTMC,3330,1339,DUODERM REG. 4X4,270,,49.0,29.4,38.96,49.0,49.0,46.55,46.55,44.1,38.96,46.55,46.55,47.04,47.53,42.63,36.75,Benefis_Teton_Medical_Center
BTMC,3330,1340,DUODERM EX-THIN 4X4,270,,48.0,28.8,38.16,48.0,48.0,45.6,45.6,43.2,38.16,45.6,45.6,46.08,46.56,41.76,36.0,Benefis_Teton_Medical_Center
