BIG HORN HOSPITAL ASSOCIATION,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,hospital
PRICES POSTED AND EFFECTIVE: 1/1/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Big_Horn_County_Memorial_Hospital
"Below you will find an estimation of charges for services provided in this hospital along with our current contractual rates. This list is for informational purposes ONLY and does not reflect what you as the patient may be required to pay out of pocket, or the amount that Medicare, Medicaid, or your insurance may reimburse. For a more accurate understanding of what you may owe, please contact your insurance carrier. For more information regarding this list, please contact the Big Horn Hospital Association Business Office at 406-665-2310.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Big_Horn_County_Memorial_Hospital
CHARGE MASTER CODE,DESCRIPTION,CPT/HCPCS CODE,EFFECTIVE DATE,EXPIRATION DATE,DEPARTEMENT,NDC CODE,GROSS CHARGE,SELF-PAY CASH PRICE,MIN NEGOTIATED RATE,MAX NEGOTIATED RATE,ALLEGIANCE,,BLUE CROSS BLUE SHIELD,,,,,,,,,,,,,,EBMS,,FEDMED NETWORK,,FIRST CHOICE HEALTH,,,,GEHA,,HUMANA,,,,,,MONTANA HEALTH CO-OP,,PACIFIC SOURCE,,STERLING,,,,THREE RIVERS PROVIDER NETWORK,,UNITED HEALTHCARE,,,,BHHA LOCAL CONTRACTS,,,,Big_Horn_County_Memorial_Hospital
,,,,,,,,,,,PPO,,"TRADITIONAL NETWORK, PPO",,MEDICARE ADVANTAGE PPO,,"HEALTHY MONTANA KIDS (""HMK"")",,"FEDERAL EMPLOYEE PROGRAM (""FEP"")",,BLUE SELECT,,BLUE CHOICE,,"MONTANA COMPREHENSIVE HEALTH ASSC. (""MCHA"")",,PPO,,FEDMED NETWORK,,BIG SKY REGION,,FIRST CHOICE HEALTH OF MIDWEST,,PPO,,PPO,,MEDICARE ADVANTAGE PPO,,"MEDICARE SURPLUS SHARED SAVINGS (""SSP"")",,UNIVERSITY OF UTAH PPO,,PPO ,,PPO,,STERLING MEDICARE ADVANTAGE,,,,PPO,,MEDICARE ADVANTAGE,,BIG HORN COUNTY SHERIFF'S DEPARTMENT,,BIGHORN VALLEY HEALTH CENTER,,Big_Horn_County_Memorial_Hospital
,,,,,,,,,,,OP/PRO RATE,OP/PRO RATE TYPE,OP/PRO RATE ,OP/PRO RATE TYPE,OP/PRO RATE ,OP/PRO RATE TYPE,OP/PRO RATE ,OP/PRO RATE TYPE,OP/PRO RATE ,OP/PRO RATE TYPE,OP/PRO RATE ,OP/PRO RATE TYPE,OP/PRO RATE ,OP/PRO RATE TYPE,OP/PRO RATE ,OP/PRO RATE TYPE,OP/PRO RATE ,OP/PRO RATE TYPE,OP/PRO RATE ,OP/PRO RATE TYPE,OP/PRO RATE ,OP/PRO RATE TYPE,OP/PRO RATE ,OP/PRO RATE TYPE,OP/PRO RATE ,OP/PRO RATE TYPE,OP/PRO RATE ,OP/PRO RATE TYPE,OP/PRO RATE ,OP/PRO RATE TYPE,OP/PRO RATE ,OP/PRO RATE TYPE,OP/PRO RATE ,OP/PRO RATE TYPE,OP/PRO RATE ,OP/PRO RATE TYPE,OP/PRO RATE ,OP/PRO RATE TYPE,OP/PRO RATE ,OP/PRO RATE TYPE,OP/PRO RATE ,OP/PRO RATE TYPE,OP/PRO RATE ,OP/PRO RATE TYPE,OP/PRO RATE ,OP/PRO RATE TYPE,OP/PRO RATE ,OP/PRO RATE TYPE,OP/PRO RATE ,OP/PRO RATE TYPE,Big_Horn_County_Memorial_Hospital
8400012,BONE DENSITY SCAN (DEXA),77080,2019-07-01 00:00:00,, Bone Density,,135.89,108.71199999999999,35.331399999999995,131.81329999999997,129.0955,% OF CHARGE,135.89,% OF CHARGES,100.55859999999998,% OF CHARGES,122.30099999999999,% OF CHARGES,108.71199999999999,% OF CHARGES,131.81329999999997,% OF CHARGES,131.81329999999997,% OF CHARGES,108.71199999999999,% OF CHARGE,129.0955,% OF CHARGE,129.0955,% OF CHARGE,129.0955,% OF CHARGE,129.0955,% OF CHARGE,131.81329999999997,% OF CHARGE,100.55859999999998,% OF CHARGE,100.55859999999998,% OF CHARGE,100.55859999999998,% OF CHARGE,129.0955,% OF CHARGES,129.0955,% OF CHARGES,100.55859999999998,% OF CHARGES,100.55859999999998,% OF CHARGES,129.0955,% OF CHARGES,129.0955,% OF CHARGE,100.55859999999998,% OF CHARGE,72.0217,% OF CHARGE,35.331399999999995,% OF CHARGE,Big_Horn_County_Memorial_Hospital
7660319,RAD FEE/FOREIGN BODY EYE DETECTION,"70030,26",2019-07-01 00:00:00,,Radiology Pro Fee,,29.3,23.44,7.618,28.421,27.835,% OF CHARGE,14,FEE SCHEDULE,21.682,% OF CHARGES,14,FEE SCHEDULE,14,FEE SCHEDULE,14,FEE SCHEDULE,14,FEE SCHEDULE,23.44,% OF CHARGE,27.835,% OF CHARGE,27.835,% OF CHARGE,27.835,% OF CHARGE,27.835,% OF CHARGE,28.421,% OF CHARGE,21.682,% OF CHARGE,21.682,% OF CHARGE,21.682,% OF CHARGE,27.835,% OF CHARGES,27.835,% OF CHARGES,21.682,% OF CHARGES,21.682,% OF CHARGES,27.835,% OF CHARGES,27.835,% OF CHARGE,21.682,% OF CHARGE,15.529000000000002,% OF CHARGE,7.618,% OF CHARGE,Big_Horn_County_Memorial_Hospital
7660459,RAD FEE/MANDIBLE 1-3 VIEWS (JAW),"70100,26",2019-07-01 00:00:00,,Radiology Pro Fee,,31.68,25.344,8.2368,30.729599999999998,30.096,% OF CHARGE,15.16,FEE SCHEDULE,23.4432,% OF CHARGES,15.16,FEE SCHEDULE,15.16,FEE SCHEDULE,15.16,FEE SCHEDULE,15.16,FEE SCHEDULE,25.344,% OF CHARGE,30.096,% OF CHARGE,30.096,% OF CHARGE,30.096,% OF CHARGE,30.096,% OF CHARGE,30.729599999999998,% OF CHARGE,23.4432,% OF CHARGE,23.4432,% OF CHARGE,23.4432,% OF CHARGE,30.096,% OF CHARGES,30.096,% OF CHARGES,23.4432,% OF CHARGES,23.4432,% OF CHARGES,30.096,% OF CHARGES,30.096,% OF CHARGE,23.4432,% OF CHARGE,16.7904,% OF CHARGE,8.2368,% OF CHARGE,Big_Horn_County_Memorial_Hospital
7660434,RAD FEE/MANDIBLE MINIMUM 4 VIEWS,"70110,26",2019-07-01 00:00:00,,Radiology Pro Fee,,43.56,34.848,11.325600000000001,42.2532,41.382,% OF CHARGE,21,FEE SCHEDULE,32.2344,% OF CHARGES,21,FEE SCHEDULE,21,FEE SCHEDULE,21,FEE SCHEDULE,21,FEE SCHEDULE,34.848000000000006,% OF CHARGE,41.382,% OF CHARGE,41.382,% OF CHARGE,41.382,% OF CHARGE,41.382,% OF CHARGE,42.2532,% OF CHARGE,32.2344,% OF CHARGE,32.2344,% OF CHARGE,32.2344,% OF CHARGE,41.382,% OF CHARGES,41.382,% OF CHARGES,32.2344,% OF CHARGES,32.2344,% OF CHARGES,41.382,% OF CHARGES,41.382,% OF CHARGE,32.2344,% OF CHARGE,23.086800000000004,% OF CHARGE,11.325600000000001,% OF CHARGE,Big_Horn_County_Memorial_Hospital
7660236,RAD FEE/FACIAL BONES 1-2 VIEWS,"70140,26",2019-07-01 00:00:00,,Radiology Pro Fee,,35.24,28.192,9.162400000000002,34.1828,33.478,% OF CHARGE,16.91,FEE SCHEDULE,26.0776,% OF CHARGES,16.91,FEE SCHEDULE,16.91,FEE SCHEDULE,16.91,FEE SCHEDULE,16.91,FEE SCHEDULE,28.192000000000004,% OF CHARGE,33.478,% OF CHARGE,33.478,% OF CHARGE,33.478,% OF CHARGE,33.478,% OF CHARGE,34.1828,% OF CHARGE,26.0776,% OF CHARGE,26.0776,% OF CHARGE,26.0776,% OF CHARGE,33.478,% OF CHARGES,33.478,% OF CHARGES,26.0776,% OF CHARGES,26.0776,% OF CHARGES,33.478,% OF CHARGES,33.478,% OF CHARGE,26.0776,% OF CHARGE,18.677200000000003,% OF CHARGE,9.162400000000002,% OF CHARGE,Big_Horn_County_Memorial_Hospital
