Run Date: 1/11/2022 2:58:27 PM,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,hospital
CDM Date Stamp: 11/20/2021,,,,,,,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Primary Service and Ancillary Services,Rev Code,CPT / HCPCS / ICD-10 Code,Average Unit Count,Charge,Community_Hospital_of_Anaconda
1,,"02HV33Z - Insertion of Infusion Device into Superior Vena Cava, Percutaneous Approach",,,,,Community_Hospital_of_Anaconda
,,SERVICE TYPE: INPATIENT,,,,,Community_Hospital_of_Anaconda
,1.0,ROOM & BOARD - PRIVATE (ONE BED) - GENERAL CLASSIFICATION,110,,3,4492,Community_Hospital_of_Anaconda
,2.0,INTENSIVE CARE UNIT - GENERAL CLASSIFICATION,200,,1,5233.2,Community_Hospital_of_Anaconda
,3.0,PHARMACY - GENERAL CLASSIFICATION,250,,1166,4881.97,Community_Hospital_of_Anaconda
,4.0,PHARMACY - IV SOLUTIONS,258,,0,11.64,Community_Hospital_of_Anaconda
,5.0,MEDICAL/SURGICAL SUPPLIES AND DEVICES - NON STERILE SUPPLY,271,,3,493.22,Community_Hospital_of_Anaconda
,6.0,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,272,,3,658.82,Community_Hospital_of_Anaconda
,7.0,LABORATORY - GENERAL CLASSIFICATION,300,,9,836.32,Community_Hospital_of_Anaconda
,8.0,LABORATORY - CHEMISTRY,301,,9,1003.12,Community_Hospital_of_Anaconda
,9.0,LABORATORY - IMMUNOLOGY,302,,2,123.68,Community_Hospital_of_Anaconda
,10.0,LABORATORY - HEMATOLOGY,305,,5,273.74,Community_Hospital_of_Anaconda
,11.0,LABORATORY - BACTERIOLOGY & MICROBIOLOGY,306,,5,461.15,Community_Hospital_of_Anaconda
,12.0,LABORATORY - UROLOGY,307,,1,26.46,Community_Hospital_of_Anaconda
,13.0,LABORATORY PATHOLOGY - GENERAL CLASSIFICATION,310,,0,18.62,Community_Hospital_of_Anaconda
,14.0,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,320,,1,156.26,Community_Hospital_of_Anaconda
,15.0,RADIOLOGY - DIAGNOSTIC - CHEST X-RAY,324,,1,104.48,Community_Hospital_of_Anaconda
,16.0,CT SCAN - HEAD SCAN,351,,0,271.68,Community_Hospital_of_Anaconda
,17.0,CT SCAN - BODY SCAN,352,,1,1885.04,Community_Hospital_of_Anaconda
,18.0,OPERATING ROOM SERVICES - MINOR SURGERY,361,,1,214.48,Community_Hospital_of_Anaconda
,19.0,OTHER IMAGING SERVICES - ULTRASOUND,402,,1,666.38,Community_Hospital_of_Anaconda
,20.0,PHYSICAL THERAPY - GENERAL CLASSIFICATION,420,,3,255.8,Community_Hospital_of_Anaconda
,21.0,PHYSICAL THERAPY - EVALUATION OR RE-EVALUATION,424,,0,82.4,Community_Hospital_of_Anaconda
,22.0,OCCUPATIONAL THERAPY - GENERAL CLASSIFICATION,430,,1,65,Community_Hospital_of_Anaconda
,23.0,MAGNETIC RESONANCE TECHNOLOGY (MRT) - MRI - BRAIN/BRAINSTEM,611,,0,350.54,Community_Hospital_of_Anaconda
,24.0,EKG/ECG (ELECTROCARDIOGRAM) - GENERAL CLASSIFICATION,730,,1,84,Community_Hospital_of_Anaconda
,25.0,OTHER DIAGNOSTIC SERVICES - PERIPHERAL VASCULAR LAB,921,,0,98.3,Community_Hospital_of_Anaconda
,26.0,OTHER THERAPEUTIC SERVICES - EDUCATION/TRAINING,942,,1,28.16,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,Total of Charges:,22776.47,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Minimum Estimated Negotiated Allowable,,,,18221.18,Community_Hospital_of_Anaconda
,,Maximum Estimated Negotiated Allowable,,,,22776.47,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable ALLEGIANCE PROVIDER DIRECT,,,,18221.18,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS CLOSED/POS PLAN NETWORK,,,,20498.82,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS MT BLUE OPTIONS,,,,19360,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS TRADITIONAL NETWORK,,,,22776.47,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable PACIFICSOURCE HEALTH PLANS,,,,20954.35,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable UHC,,,,21637.65,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Primary Service and Ancillary Services,Rev Code,CPT / HCPCS / ICD-10 Code,Average Unit Count,Charge,Community_Hospital_of_Anaconda
2,,092 - OTHER DISORDERS OF NERVOUS SYSTEM WITH COMPLICATIONS,,,,,Community_Hospital_of_Anaconda
,,SERVICE TYPE: INPATIENT,,,,,Community_Hospital_of_Anaconda
,1.0,ROOM & BOARD - PRIVATE (ONE BED) - GENERAL CLASSIFICATION,110,,3,4900,Community_Hospital_of_Anaconda
,2.0,PHARMACY - GENERAL CLASSIFICATION,250,,88,630.19,Community_Hospital_of_Anaconda
,3.0,MEDICAL/SURGICAL SUPPLIES AND DEVICES - NON STERILE SUPPLY,271,,2,310.86,Community_Hospital_of_Anaconda
,4.0,LABORATORY - GENERAL CLASSIFICATION,300,,5,437.54,Community_Hospital_of_Anaconda
,5.0,LABORATORY - CHEMISTRY,301,,4,459.32,Community_Hospital_of_Anaconda
,6.0,LABORATORY - IMMUNOLOGY,302,,0,6.62,Community_Hospital_of_Anaconda
,7.0,LABORATORY - HEMATOLOGY,305,,2,89.44,Community_Hospital_of_Anaconda
,8.0,LABORATORY - BACTERIOLOGY & MICROBIOLOGY,306,,1,153.76,Community_Hospital_of_Anaconda
,9.0,LABORATORY PATHOLOGY - GENERAL CLASSIFICATION,310,,0,18.62,Community_Hospital_of_Anaconda
,10.0,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,320,,0,92.74,Community_Hospital_of_Anaconda
,11.0,CT SCAN - HEAD SCAN,351,,0,271.68,Community_Hospital_of_Anaconda
,12.0,CT SCAN - BODY SCAN,352,,0,446.22,Community_Hospital_of_Anaconda
,13.0,RESPIRATORY SERVICES - INHALATION SERVICES,412,,2,132.96,Community_Hospital_of_Anaconda
,14.0,PHYSICAL THERAPY - GENERAL CLASSIFICATION,420,,2,204,Community_Hospital_of_Anaconda
,15.0,PHYSICAL THERAPY - EVALUATION OR RE-EVALUATION,424,,1,145,Community_Hospital_of_Anaconda
,16.0,OCCUPATIONAL THERAPY - GENERAL CLASSIFICATION,430,,0,16.4,Community_Hospital_of_Anaconda
,17.0,OCCUPATIONAL THERAPY - EVALUATION OR REEVALUATION,434,,0,69.2,Community_Hospital_of_Anaconda
,18.0,MAGNETIC RESONANCE TECHNOLOGY (MRT) - MRI - BRAIN/BRAINSTEM,611,,0,350.54,Community_Hospital_of_Anaconda
,19.0,EKG/ECG (ELECTROCARDIOGRAM) - GENERAL CLASSIFICATION,730,,0,56,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,Total of Charges:,8791.09,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Minimum Estimated Negotiated Allowable,,,,7032.87,Community_Hospital_of_Anaconda
,,Maximum Estimated Negotiated Allowable,,,,8791.09,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable ALLEGIANCE PROVIDER DIRECT,,,,7032.87,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS CLOSED/POS PLAN NETWORK,,,,7911.98,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS MT BLUE OPTIONS,,,,7472.43,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS TRADITIONAL NETWORK,,,,8791.09,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable PACIFICSOURCE HEALTH PLANS,,,,8087.8,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable UHC,,,,8351.54,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Primary Service and Ancillary Services,Rev Code,CPT / HCPCS / ICD-10 Code,Average Unit Count,Charge,Community_Hospital_of_Anaconda
3,,"0D9670Z - Drainage of Stomach with Drainage Device, Via Natural or Artificial Opening",,,,,Community_Hospital_of_Anaconda
