"Powell County Memorial Hospital Association, dba Deer Lodge Medical Center",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,hospital
Standard Charges,,,,,,,,,,,,,,,,Deer_Lodge_Medical_Center
2020-12-30 00:00:00,,,,,,,,,,,,,,,,Deer_Lodge_Medical_Center
,,,,,,,,,,,,,,,,Deer_Lodge_Medical_Center
Notes:,,,,,,,,,,,,,,,,Deer_Lodge_Medical_Center
Negotiated charges listed do not necessarily guarantee that charges will be allowed by the contracted payer.  Medical policies specific to the contracted payer may deny charges based on the payer's definition of medical necessity and other criteria.,,,,,,,,,,,,,,,,Deer_Lodge_Medical_Center
"Our charges do not vary by inpatient or outpatient status, so charges are presented together.  Please disregard room and board charges when considering the charges for outpatient services.",,,,,,,,,,,,,,,,Deer_Lodge_Medical_Center
,,,,,,,,,,,,,,,,Deer_Lodge_Medical_Center
Procedure,Code Type,Code,NDC,Rev Code,Procedure Description, IP & OP Price , Quantity ,  BCBS IP & OP , Allegiance IP & OP ," Pacific Source IP & OP
PSN and SmartHealth Networks and Products ", Mountain Health - IP & OP , First Choice , Discounted Cash Price , Deidentified Minimum  Negotiated Charge , Deidentified Maximum  Negotiated Charge ,Deer_Lodge_Medical_Center
12010001,EAP,Custom 12010001,,0120 - ROOM & BOARD - SEMI-PRIVATE TWO BED (MEDICAL OR GENERAL) - GENERAL CLASSIFICATION,Hc R&b-semi-private,1327,1,1181.03,1181.03,1260.65,1287.19,1260.65,1061.6,1181.03,1287.19,Deer_Lodge_Medical_Center
12010001,EAP,Custom 12010001,,0120 - ROOM & BOARD - SEMI-PRIVATE TWO BED (MEDICAL OR GENERAL) - GENERAL CLASSIFICATION,Hc R&b-semi-private,1327,1,1181.03,1181.03,1260.65,1287.19,1260.65,1061.6,1181.03,1287.19,Deer_Lodge_Medical_Center
