BILL_ITEM_ID,LONG_DESCRIPTION,ACTIVITY_TYPE,CPT-4,GMC Global AP Price Schedule,GMC Urgent Care Price Schedule,Glendive Hosp Office Visit Price Schedule,Glendive Medical Center Base Price Schedule,Prof GMC Base Price Schedule,Prof GMC Hosp Office Visit Price Schedule,Prof GMC Urgent Care Price Sched,hospital
7036715,87529,AFC BILL ITEM SPECIFIC ADD-ON,87529,,,,289,,,,Glendive_Medical_Center
7202121,"_x000D_Creatinine, Ur POC",AFC BILL ITEM SPECIFIC ADD-ON,82570,,,,,21.25,,,Glendive_Medical_Center
6089870,A1A Gentoypting,AFC BILL ITEM SPECIFIC ADD-ON,81332,,,,136,,,,Glendive_Medical_Center
4110144,Ab Screen Donor Panel,AFC BILL ITEM SPECIFIC ADD-ON,86850,,,,47,,,,Glendive_Medical_Center
6987323,"AB Screen Rep Pan, Viromed",AFC BILL ITEM SPECIFIC ADD-ON,86850,,,,18,,,,Glendive_Medical_Center
4110142,ABO Donor Panel,AFC BILL ITEM SPECIFIC ADD-ON,86900,,,,19,,,,Glendive_Medical_Center
6987318,"ABO Rep Pan, Viromed",AFC BILL ITEM SPECIFIC ADD-ON,86900,,,,14,,,,Glendive_Medical_Center
1478072,"Alipoprotein B, Lipo",AFC BILL ITEM SPECIFIC ADD-ON,82172,,,,121,,,,Glendive_Medical_Center
7041291,"Allergen, Hypersensitivity Pneumo Eval (Quest 94609)",AFC BILL ITEM SPECIFIC ADD-ON,86001,,,,255,,,,Glendive_Medical_Center
5553173,"Aminoacidopathies, PKU",AFC BILL ITEM SPECIFIC ADD-ON,82136,,,,33,,,,Glendive_Medical_Center
6975976,"Ammonium, Ur",AFC BILL ITEM SPECIFIC ADD-ON,82140,,,,107,,,,Glendive_Medical_Center
7041292,"Aspergillus Ab, Hypersensitivity Pneumo Eval (Quest 94609)",AFC BILL ITEM SPECIFIC ADD-ON,86606,,,,77,,,,Glendive_Medical_Center
7041290,"Bacterium Ab, Hypersensitivity Pneumo Eval (Quest 94609)",AFC BILL ITEM SPECIFIC ADD-ON,86609,,,,243,,,,Glendive_Medical_Center
5554578,"Beta HCG, AFP4",AFC BILL ITEM SPECIFIC ADD-ON,84702,,,,161,,,,Glendive_Medical_Center
5553174,"Biotinidase, PKU",AFC BILL ITEM SPECIFIC ADD-ON,82261,,,,33,,,,Glendive_Medical_Center
7202296,C Diff Toxin,AFC BILL ITEM SPECIFIC ADD-ON,87324,,,,138,,,,Glendive_Medical_Center
611071,C Stool Campy,AFC BILL ITEM SPECIFIC ADD-ON,87046,,,,129,,,,Glendive_Medical_Center
611072,C Stool Ecoli 0157,AFC BILL ITEM SPECIFIC ADD-ON,87046,,,,129,,,,Glendive_Medical_Center
6975963,"Calcium, Ur",AFC BILL ITEM SPECIFIC ADD-ON,82340,,,,49,,,,Glendive_Medical_Center
6975964,"Chloride, Ur",AFC BILL ITEM SPECIFIC ADD-ON,82436,,,,70,,,,Glendive_Medical_Center
600887,Chrom Anal Congen Tissue Cult,AFC BILL ITEM SPECIFIC ADD-ON,88230,,,,675,,,,Glendive_Medical_Center
600881,Chrom Anal Congenital,AFC BILL ITEM SPECIFIC ADD-ON,88262,,,,721,,,,Glendive_Medical_Center
