Updated January 2022,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,hospital
Charge Code,Description,Procedure Code, Rate , BCBS - Traditional , BCBS - Point of Service Network , BCBS - Closed Plan Network , BCBS - Health Link Network , BCBS - HMK , Allegiance , Interwest - Traditional Network , Interwest PPO Network , Coventry Health , First Choice Health , United Health Care , EBMS , Montana Health Co-op , Pacific Source , CASH , LOW , HIGH ,Liberty_Medical_Center
H1016,Room & Board -WCE Studio level 1,,$96.50 ,$96.50 ,$91.68 ,$91.68 ,$86.85 ,$77.20 ,$86.85 ,$93.61 ,$91.68 ,$91.68 ,$91.68 ,$91.68 ,$86.85 ,$93.61 ,$91.68 ,$96.50 ,$77.20 ,$96.50 ,Liberty_Medical_Center
H1017,Room & Board -WCE Studio level 2,,$118.75 ,$118.75 ,$112.81 ,$112.81 ,$106.88 ,$95.00 ,$106.88 ,$115.19 ,$112.81 ,$112.81 ,$112.81 ,$112.81 ,$106.88 ,$115.19 ,$112.81 ,$118.75 ,$95.00 ,$118.75 ,Liberty_Medical_Center
H1018,Room & Board- WCE Studio level 3,,$133.00 ,$133.00 ,$126.35 ,$126.35 ,$119.70 ,$106.40 ,$119.70 ,$129.01 ,$126.35 ,$126.35 ,$126.35 ,$126.35 ,$119.70 ,$129.01 ,$126.35 ,$133.00 ,$106.40 ,$133.00 ,Liberty_Medical_Center
H1019,Room & Board - WCE 1 Bedroom level 1,,$115.50 ,$115.50 ,$109.73 ,$109.73 ,$103.95 ,$92.40 ,$103.95 ,$112.04 ,$109.73 ,$109.73 ,$109.73 ,$109.73 ,$103.95 ,$112.04 ,$109.73 ,$115.50 ,$92.40 ,$115.50 ,Liberty_Medical_Center
H1020,Room & Board - WCE 1 Bedroom level 2,,$136.50 ,$136.50 ,$129.68 ,$129.68 ,$122.85 ,$109.20 ,$122.85 ,$132.41 ,$129.68 ,$129.68 ,$129.68 ,$129.68 ,$122.85 ,$132.41 ,$129.68 ,$136.50 ,$109.20 ,$136.50 ,Liberty_Medical_Center
H1021,Room & Board - WCE 1 Bedroom level 3,,$151.00 ,$151.00 ,$143.45 ,$143.45 ,$135.90 ,$120.80 ,$135.90 ,$146.47 ,$143.45 ,$143.45 ,$143.45 ,$143.45 ,$135.90 ,$146.47 ,$143.45 ,$151.00 ,$120.80 ,$151.00 ,Liberty_Medical_Center
H1023,R & B studio-Cat B level 4,,$131.75 ,$131.75 ,$125.16 ,$125.16 ,$118.58 ,$105.40 ,$118.58 ,$127.80 ,$125.16 ,$125.16 ,$125.16 ,$125.16 ,$118.58 ,$127.80 ,$125.16 ,$131.75 ,$105.40 ,$131.75 ,Liberty_Medical_Center
H1024,R & B- 1 Bedroom Cat B level 4,,$146.75 ,$146.75 ,$139.41 ,$139.41 ,$132.08 ,$117.40 ,$132.08 ,$142.35 ,$139.41 ,$139.41 ,$139.41 ,$139.41 ,$132.08 ,$142.35 ,$139.41 ,$146.75 ,$117.40 ,$146.75 ,Liberty_Medical_Center
H1026,Assisted Living Medicaid,,$110.80 ,$110.80 ,$105.26 ,$105.26 ,$99.72 ,$88.64 ,$99.72 ,$107.48 ,$105.26 ,$105.26 ,$105.26 ,$105.26 ,$99.72 ,$107.48 ,$105.26 ,$110.80 ,$88.64 ,$110.80 ,Liberty_Medical_Center
H1013,Swing Bed Medicaid,,$230.00 ,$230.00 ,$218.50 ,$218.50 ,$207.00 ,$184.00 ,$207.00 ,$223.10 ,$218.50 ,$218.50 ,$218.50 ,$218.50 ,$207.00 ,$223.10 ,$218.50 ,$230.00 ,$184.00 ,$230.00 ,Liberty_Medical_Center
H1014,Swing Bed Skille Medicare,,$230.00 ,$230.00 ,$218.50 ,$218.50 ,$207.00 ,$184.00 ,$207.00 ,$223.10 ,$218.50 ,$218.50 ,$218.50 ,$218.50 ,$207.00 ,$223.10 ,$218.50 ,$230.00 ,$184.00 ,$230.00 ,Liberty_Medical_Center
H1015,Swing Bed Self Pay,,$230.00 ,$230.00 ,$218.50 ,$218.50 ,$207.00 ,$184.00 ,$207.00 ,$223.10 ,$218.50 ,$218.50 ,$218.50 ,$218.50 ,$207.00 ,$223.10 ,$218.50 ,$230.00 ,$184.00 ,$230.00 ,Liberty_Medical_Center
H1029,Swing Bed other ins,,$230.00 ,$230.00 ,$218.50 ,$218.50 ,$207.00 ,$184.00 ,$207.00 ,$223.10 ,$218.50 ,$218.50 ,$218.50 ,$218.50 ,$207.00 ,$223.10 ,$218.50 ,$230.00 ,$184.00 ,$230.00 ,Liberty_Medical_Center
H1002,Room & Board - LMC Inpatient,,"$1,628.00 ","$1,628.00 ","$1,546.60 ","$1,546.60 ","$1,465.20 ","$1,302.40 ","$1,465.20 ","$1,579.16 ","$1,546.60 ","$1,546.60 ","$1,546.60 ","$1,546.60 ","$1,465.20 ","$1,579.16 ","$1,546.60 ","$1,628.00 ","$1,302.40 ","$1,628.00 ",Liberty_Medical_Center
H1003,Room & Board-LMC Elective Stay,,$345.00 ,$345.00 ,$327.75 ,$327.75 ,$310.50 ,$276.00 ,$310.50 ,$334.65 ,$327.75 ,$327.75 ,$327.75 ,$327.75 ,$310.50 ,$334.65 ,$327.75 ,$345.00 ,$276.00 ,$345.00 ,Liberty_Medical_Center
H1111,Day Resident,,$19.00 ,$19.00 ,$18.05 ,$18.05 ,$17.10 ,$15.20 ,$17.10 ,$18.43 ,$18.05 ,$18.05 ,$18.05 ,$18.05 ,$17.10 ,$18.43 ,$18.05 ,$19.00 ,$15.20 ,$19.00 ,Liberty_Medical_Center
H1022,Swing Bed Skilled - Medicaid,,$230.00 ,$230.00 ,$218.50 ,$218.50 ,$207.00 ,$184.00 ,$207.00 ,$223.10 ,$218.50 ,$218.50 ,$218.50 ,$218.50 ,$207.00 ,$223.10 ,$218.50 ,$230.00 ,$184.00 ,$230.00 ,Liberty_Medical_Center
H1027,Swing Bed Skilled BC/BS,,$230.00 ,$230.00 ,$218.50 ,$218.50 ,$207.00 ,$184.00 ,$207.00 ,$223.10 ,$218.50 ,$218.50 ,$218.50 ,$218.50 ,$207.00 ,$223.10 ,$218.50 ,$230.00 ,$184.00 ,$230.00 ,Liberty_Medical_Center
H1028,Swing Bed Self Pay Semi-Private,,$200.00 ,$200.00 ,$190.00 ,$190.00 ,$180.00 ,$160.00 ,$180.00 ,$194.00 ,$190.00 ,$190.00 ,$190.00 ,$190.00 ,$180.00 ,$194.00 ,$190.00 ,$200.00 ,$160.00 ,$200.00 ,Liberty_Medical_Center
H10051,Room & Board-LMC High Intensity,,"$2,476.00 ","$2,476.00 ","$2,352.20 ","$2,352.20 ","$2,228.40 ","$1,980.80 ","$2,228.40 ","$2,401.72 ","$2,352.20 ","$2,352.20 ","$2,352.20 ","$2,352.20 ","$2,228.40 ","$2,401.72 ","$2,352.20 ","$2,476.00 ","$1,980.80 ","$2,476.00 ",Liberty_Medical_Center
A6235,DuoDerm dressing,A6235,$31.00 ,$31.00 ,$29.45 ,$29.45 ,$27.90 ,$24.80 ,$27.90 ,$30.07 ,$29.45 ,$29.45 ,$29.45 ,$29.45 ,$27.90 ,$30.07 ,$29.45 ,$31.00 ,$24.80 ,$31.00 ,Liberty_Medical_Center
