Number,Description,Revenue Code,CPT Code,Price,Discounted Cash Price,Min Contract Price,Max Contract Price,BCBS Traditional Network,BCBS Point of Service Network,BCBS Closed Plan Network,BCBS HealthLink ,BCBS Medicare Advantage,Allegiance,First Choice Health,United Health,Pacific Source,Mountain Health Coop,hospital
501501,NH MEAL,990.0,,5.2,5.2,4.316,5.2,5.2,4.9399999999999995,4.9399999999999995,4.680000000000001,4.316,4.42,5.096,4.42,5.044,5.044,Missouri_River_Medical_Center
504999,PRIVATE DUTY NURSING - RN,,T1002,10.4,10.4,8.632,10.4,10.4,9.879999999999999,9.879999999999999,9.360000000000001,8.632,8.84,10.192,8.84,10.088,10.088,Missouri_River_Medical_Center
509210,EAR IRRIGATION,500.0,69210,150.8,150.8,125.164,150.8,150.8,143.26,143.26,135.72000000000003,125.164,128.18,147.78400000000002,128.18,146.276,146.276,Missouri_River_Medical_Center
509211,CERUMEN REMOVAL USING IRRIG/LAVAGE,500.0,69209,27.04,27.04,22.443199999999997,27.04,27.04,25.688,25.688,24.336,22.443199999999997,22.983999999999998,26.4992,22.983999999999998,26.2288,26.2288,Missouri_River_Medical_Center
601500,ADULT DAY CARE / PER 15 MINUTES,990.0,S5100,3.12,3.12,2.5896,3.12,3.12,2.964,2.964,2.8080000000000003,2.5896,2.652,3.0576,2.652,3.0264,3.0264,Missouri_River_Medical_Center
601501,MEAL,990.0,,5.2,5.2,4.316,5.2,5.2,4.9399999999999995,4.9399999999999995,4.680000000000001,4.316,4.42,5.096,4.42,5.044,5.044,Missouri_River_Medical_Center
620001,BLADDER VOLUME INDICATOR SCAN,320.0,51798,166.4,166.4,138.112,166.4,166.4,158.07999999999998,158.07999999999998,149.76000000000002,138.112,141.44,163.072,141.44,161.408,161.408,Missouri_River_Medical_Center
1100001,DEBRIDEMENT OF EXT ECZEMATOUR OR I,521.0,11000,157.04,157.04,130.3432,157.04,157.04,149.188,149.188,141.33599999999998,130.3432,133.48399999999998,153.89919999999998,133.48399999999998,152.3288,152.3288,Missouri_River_Medical_Center
1100008,FLU SHOT ADMINISTRATION,771.0,G0008,39.52,39.52,32.8016,39.52,39.52,37.544000000000004,37.544000000000004,35.568000000000005,32.8016,33.592,38.729600000000005,33.592,38.3344,38.3344,Missouri_River_Medical_Center
1100009,PNEUMONIA ADMINISTRATION,771.0,G0009,39.52,39.52,32.8016,39.52,39.52,37.544000000000004,37.544000000000004,35.568000000000005,32.8016,33.592,38.729600000000005,33.592,38.3344,38.3344,Missouri_River_Medical_Center
1100010,HEPATITIS B ADMINISTRATION,771.0,G0010,39.52,39.52,32.8016,39.52,39.52,37.544000000000004,37.544000000000004,35.568000000000005,32.8016,33.592,38.729600000000005,33.592,38.3344,38.3344,Missouri_River_Medical_Center
1100040,INCISION & REMOVAL CYST,521.0,10040,248.56,248.56,206.3048,248.56,248.56,236.132,236.132,223.704,206.3048,211.276,243.5888,211.276,241.1032,241.1032,Missouri_River_Medical_Center
1100060,I&D ABSCESS CUT. OR SUBCUT. SIMPL,521.0,10060,277.68,277.68,230.4744,277.68,277.68,263.796,263.796,249.912,230.4744,236.028,272.1264,236.028,269.3496,269.3496,Missouri_River_Medical_Center
1100103,WOUND EXPLORATION /EXTREMITY,521.0,20103,1418.56,1418.56,1177.4047999999998,1418.56,1418.56,1347.6319999999998,1347.6319999999998,1276.704,1177.4047999999998,1205.7759999999998,1390.1888,1205.7759999999998,1376.0031999999999,1376.0031999999999,Missouri_River_Medical_Center
1100120,INC & REMOVA FB SKIN SUBCUT SIMPL,521.0,10120,405.6,405.6,336.648,405.6,405.6,385.32,385.32,365.04,336.648,344.76,397.488,344.76,393.432,393.432,Missouri_River_Medical_Center
1100121,INC & REM FOREIGN BODY COMPLICATED,521.0,10121,754.0,754.0,625.8199999999999,754.0,754.0,716.3,716.3,678.6,625.8199999999999,640.9,738.92,640.9,731.38,731.38,Missouri_River_Medical_Center
1100140,I&D OF HEMATOMA SKIN  SUBCUT,521.0,10140,387.92,387.92,321.9736,387.92,387.92,368.524,368.524,349.12800000000004,321.9736,329.732,380.1616,329.732,376.2824,376.2824,Missouri_River_Medical_Center
1100160,PUNC ASPIR OF ABSCESS HEMA CYS,521.0,10160,313.04,313.04,259.8232,313.04,313.04,297.38800000000003,297.38800000000003,281.73600000000005,259.8232,266.084,306.7792,266.084,303.6488,303.6488,Missouri_River_Medical_Center
1100168,WOUND CLOSURE UTILIZING TISSUE ADH,521.0,G0168,243.36,243.36,201.9888,243.36,243.36,231.192,231.192,219.02400000000003,201.9888,206.856,238.49280000000002,206.856,236.0592,236.0592,Missouri_River_Medical_Center
1100258,VASELINE GAUZE DRESSING 3X9,521.0,A6250,3.12,3.12,2.5896,3.12,3.12,2.964,2.964,2.8080000000000003,2.5896,2.652,3.0576,2.652,3.0264,3.0264,Missouri_River_Medical_Center
1100300,REMOVAL FOREIGN BODY INTRANASAL,521.0,30300,405.6,405.6,336.648,405.6,405.6,385.32,385.32,365.04,336.648,344.76,397.488,344.76,393.432,393.432,Missouri_River_Medical_Center
1100341,HOME VISIT - NEW - LEVEL 1,527.0,99341,186.16,186.16,154.5128,186.16,186.16,176.85199999999998,176.85199999999998,167.544,154.5128,158.236,182.4368,158.236,180.5752,180.5752,Missouri_River_Medical_Center
