CDM,DESCRIPTION,DEPT,CURRENT CHG,hospital
500269,EAR IRRIGATION,50,157.43,Mountainview_Medical_Center
2700005,SUTURE ETHILON 5-0 P-3,270,53.72,Mountainview_Medical_Center
2700006,SUTURE ETHILON 6-0 FS-3,270,26.28,Mountainview_Medical_Center
2700007,SUTURE ETHILON 6-0 P-1,270,15.1,Mountainview_Medical_Center
2700008,SUTURE ETHILON 6-0 P-3,270,53.13,Mountainview_Medical_Center
2700009,SUTURE PROLENE 4-0 FS-2 BLUE,270,40.13,Mountainview_Medical_Center
2700010,SUTURE PROLENE 4-0 P-3 1091B,270,75.79,Mountainview_Medical_Center
2700011,SUTURE PROLENE 5-0 P-3,270,80.75,Mountainview_Medical_Center
2700012,SUTURE PROLENE 6-0 P-3,270,83.33,Mountainview_Medical_Center
2700013,SUTURE REMOVAL KIT (DISP),270,13.95,Mountainview_Medical_Center
2700014,SUTURE VICRYL 4-0 FS-2,270,36.13,Mountainview_Medical_Center
2700015,SUTURE VICRYL 5-0 C-6,270,99.67,Mountainview_Medical_Center
30100001,ACUTE,3010,1300.0,Mountainview_Medical_Center
30100006,TELEMEDICINE,3010,49.61,Mountainview_Medical_Center
32200001,DRESSING CHANGE UP TO 15 MIN,3220,136.77,Mountainview_Medical_Center
32200002,DRESSING CHANGE 16-30 MIN,3220,182.36,Mountainview_Medical_Center
32200003,DRESSING CHANGE 31-45 MIN,3220,227.95,Mountainview_Medical_Center
32200004,DRESSING CHANGE 46-60 MIN,3220,273.54,Mountainview_Medical_Center
32200005,DRESSING CHANGE 61-75 MIN,3220,319.13,Mountainview_Medical_Center
32200006,DRESSING CHANGE 76-90 MIN,3220,130.0,Mountainview_Medical_Center
32200007,DRESSING CHANGE 96-105 MIN,3220,150.0,Mountainview_Medical_Center
32200008,DRESSING CHANGE 106-120 MIN,3220,170.0,Mountainview_Medical_Center
32200009,I & D HEMATOMA/SEROMA FACILITY CHG,3220,1708.0,Mountainview_Medical_Center
32200010,AVULSION OF NAIL PLATE,3220,249.0,Mountainview_Medical_Center
32200011,"CHANGE OF CYSTOSTOMY TUBE, SIMPLE",3220,401.14,Mountainview_Medical_Center
32200012,LONG LEG CAST APP TECHNICAL,3220,432.28,Mountainview_Medical_Center
32200013,REMOVE FB EXTERNAL AUDITORY TECH,3220,1345.45,Mountainview_Medical_Center
32200014,I&D SIMPLE,3220,356.0,Mountainview_Medical_Center
32200015,INCISION & DRAINAGE COMPLICATE,3220,439.67,Mountainview_Medical_Center
32200016,"REMOVAL FOREIGN BODY, SIMPLE",3220,425.18,Mountainview_Medical_Center
32200017,"REMOVAL FOREIGN BODY, COMPLICA",3220,1923.39,Mountainview_Medical_Center
32200018,I & D OF HEMATOMA/SEROMA,3220,1708.0,Mountainview_Medical_Center
32200019,ASPIRATION OF ABSCESS/HEMATOMA,3220,328.69,Mountainview_Medical_Center
32200020,DEBRIDE ECZEMATOUS SKIN,3220,317.88,Mountainview_Medical_Center
32200021,"DEBRIDEMENT SKIN, PARTIAL THIC",3220,180.0,Mountainview_Medical_Center
32200022,"DEBRIDEMENT; SKIN, FULL THICK",3220,306.0,Mountainview_Medical_Center
32200023,"DEBRIDEMENT, SKIN AND SUB Q",3220,731.99,Mountainview_Medical_Center
32200024,DEBRIDEMENT SUB Q AND MUSCLE,3220,1011.5,Mountainview_Medical_Center
32200025,"DEBRIDE SKIN, SUB Q, MUSCLE, BO",3220,1885.15,Mountainview_Medical_Center
32200026,PARING OF LESION,3220,154.0,Mountainview_Medical_Center
32200027,PARING OF 2-4 LESIONS,3220,150.0,Mountainview_Medical_Center
32200028,PARING OF MORE THAN 4 LESIONS,3220,135.0,Mountainview_Medical_Center
32200029,BIOPSY OF SKIN,3220,322.0,Mountainview_Medical_Center
32200030,BIOPSY OF SKIN EACH ADDL LESION,3220,121.5,Mountainview_Medical_Center
32200031,BENIGN SKIN TAG REMOVAL,3220,199.0,Mountainview_Medical_Center
32200032,REMOVAL OF SKIN TAG-EA ADDTL 10 TA,3220,50.0,Mountainview_Medical_Center
32200033,"SHAVE BIOPSY TRUNK, ARM, LEG",3220,100.68,Mountainview_Medical_Center
32200034,SHAVE BIOPSY TRUNK .6 TO 1.0C,3220,106.5,Mountainview_Medical_Center
32200035,SHAVE BIOPSY 1.1-2.CM,3220,126.0,Mountainview_Medical_Center
32200036,"SHAVE .5CM LESS SCALP, HAND",3220,101.0,Mountainview_Medical_Center
32200037,SHAVE BIOPSY .6-1.0CM,3220,117.5,Mountainview_Medical_Center
32200038,SHAVING OF LESION DIAMETER 1.1 TO,3220,130.01,Mountainview_Medical_Center
32200039,SHAVE LESION FACE .5CM OR LESS,3220,165.0,Mountainview_Medical_Center
32200040,SHAVE FACE LESION .6 TO 1.0,3220,138.0,Mountainview_Medical_Center
32200041,SHAVE SKIN LEISION 1.1 - 2.0CM FAC,3220,175.68,Mountainview_Medical_Center
32200042,EXC BENIGN LES LESS .5 TRUNK,3220,677.78,Mountainview_Medical_Center
32200043,EXC BENIGN EXTREM .6CM TO 1.0,3220,627.07,Mountainview_Medical_Center
32200044,EXC BENIGN 1.1 TO 2.0,3220,842.25,Mountainview_Medical_Center
32200045,EXC BENIGN TRUNK/EXT 2.1-3.0,3220,1311.11,Mountainview_Medical_Center
32200046,EXC BENIGN TRUNK 3.1-4.0CM,3220,1539.0,Mountainview_Medical_Center
32200047,EXC BENIGN TRUNK 4.0 CM,3220,2276.21,Mountainview_Medical_Center
32200048,EXCISION OF BENIGN SALP/NECK .05 L,3220,1150.38,Mountainview_Medical_Center
32200049,"EXC BENIGN SCALP, NECK .6-1.0",3220,1096.62,Mountainview_Medical_Center
32200050,"EXCIS BGN HAND, FEET, 1, 1-2.0",3220,1291.5,Mountainview_Medical_Center
32200051,EXC BENIGN 2.1-3.0CM NECK,3220,1531.0,Mountainview_Medical_Center
32200052,EXC BENIGN 3.1-4.0CM,3220,1864.75,Mountainview_Medical_Center
32200053,EXC OF BENIGN LES 0.5CM FACE,3220,657.47,Mountainview_Medical_Center
32200054,EXC LESION BEN 0.6-1.0CM FAC,3220,742.36,Mountainview_Medical_Center
32200055,EXC BEN FACE 1.1 - 1.0CM,3220,1089.55,Mountainview_Medical_Center
32200056,EXC BENIGN FACIAL 2.1-3.0CM,3220,1154.93,Mountainview_Medical_Center
32200057,EXISION LESION 3.1-4.0CM,3220,1198.87,Mountainview_Medical_Center
32200058,EXCISION FACE BENIGN 4CM AND OVER,3220,1816.0,Mountainview_Medical_Center
32200059,EXC MAL LES .60-1.0CM TRUNK,3220,565.83,Mountainview_Medical_Center
32200060,EXC MAL LESION 1.0 TO 2.0CM,3220,765.03,Mountainview_Medical_Center
32200061,EXCISION MALIG 2.0-3.0 TRUNK,3220,1208.66,Mountainview_Medical_Center
32200062,EXCISION LESION 3.1 TO 4.O MALIG.,3220,1272.83,Mountainview_Medical_Center
32200063,"EXC 1.1-2.0 MAL NECK, SCALP",3220,1164.5,Mountainview_Medical_Center
32200064,EXC MAL LES FACE LESS .5CM,3220,1020.0,Mountainview_Medical_Center
32200065,EXC MAL .6-1.0CM FACE,3220,962.23,Mountainview_Medical_Center
32200066,EXC MAG LES FACE 1.1-2.0CM,3220,1085.88,Mountainview_Medical_Center
32200067,EXC MAL FACE 2.1 TO 3.0CM,3220,1446.37,Mountainview_Medical_Center
32200068,DEBRIDEMENT OF NAILS 1-5,3220,112.2,Mountainview_Medical_Center
32200069,DEBRIDEMENT OF NAILS 6 OR MORE,3220,119.67,Mountainview_Medical_Center
32200070,AVULSION OF NAIL PLATE,3220,249.0,Mountainview_Medical_Center
32200071,EXCISION NAIL & MATRIX,3220,572.5,Mountainview_Medical_Center
32200072,REPAIR OF NAIL BED,3220,437.39,Mountainview_Medical_Center
32200073,WEDGE EXCISION OF NAIL (INGROWN),3220,244.1,Mountainview_Medical_Center
32200074,PILONIDAL CYST EXCISION SIMPLE,3220,3158.0,Mountainview_Medical_Center
32200075,INJECTION INTRALESIONAL-KELOID,3220,109.53,Mountainview_Medical_Center
32200076,REMOVAL OF CONTRACEPTIVE IMPLANT,3220,347.29,Mountainview_Medical_Center
32200077,LAC REPAIR UP TO 2.5 CM SIMPLE NON,3220,278.3,Mountainview_Medical_Center
32200078,LAC REPAIR 2.6-7.5CM SCALP/EXT,3220,295.5,Mountainview_Medical_Center
32200079,LAC REPAIR 7.6 TO 12.5CM SIMP EXT/,3220,312.0,Mountainview_Medical_Center
32200080,LAC REPAIR 12.6CM TO 20.0CM SIMPLE,3220,331.0,Mountainview_Medical_Center
32200081,LAC REPAIR OVER 30 CM EXT/TRUNK SI,3220,370.0,Mountainview_Medical_Center
32200082,LAC REPAIR UP TO 2.5 CM FACIAL,3220,286.81,Mountainview_Medical_Center
32200083,LAC REPAIR 1.6-5.0CM FAC LACERATIO,3220,300.0,Mountainview_Medical_Center
32200084,LAC REPAIR 5.1-7.5 SIMPLE FACIAL,3220,310.01,Mountainview_Medical_Center
32200085,LAC REPAIR 7.6 TO 12.5 FACE,3220,327.0,Mountainview_Medical_Center
32200086,LAC REPAIR 12.6CM TO 20.0 SIMPLE,3220,353.26,Mountainview_Medical_Center
32200087,LAC REPAIR 2.5CM INGTER NONFAC,3220,446.5,Mountainview_Medical_Center
32200088,LAC REPAIR 2.5-7.5 INT SCALP/EXT,3220,477.63,Mountainview_Medical_Center
32200089,LAC REPAIR 7.6-12.5CM INTER SCALP,3220,463.59,Mountainview_Medical_Center
32200090,LAC REPAIR 12.6-20.0CM INT SCALP/T,3220,497.0,Mountainview_Medical_Center
32200091,LAC REPAIR 20.1 - 30.CM INTER SCAL,3220,661.0,Mountainview_Medical_Center
32200092,LAC REPAIR UP TO 2.5CM INT,3220,377.81,Mountainview_Medical_Center
32200093,LAC REPAIR 2.50-7.5CM INT EXT,3220,423.0,Mountainview_Medical_Center
32200094,LAC REPAIR 7.5-12.5 INT HAND,3220,449.89,Mountainview_Medical_Center
32200095,LAC REPAIR 12.6CM-20.0CM,3220,396.7,Mountainview_Medical_Center
32200096,LAC REPAIR UP 2.5CM INT FACE,3220,445.0,Mountainview_Medical_Center
32200097,LAC REPAIR 2.6 - 5.0CM INT FACE,3220,434.06,Mountainview_Medical_Center
32200098,LAC REPAIR 5.1 TO 7.5 INT FACE,3220,414.0,Mountainview_Medical_Center
32200099,LAC REPAIR 7.6 TO 12.5 CM FACE LAY,3220,433.93,Mountainview_Medical_Center
32200100,LAC REPAIR 12.6 TO 20.0CM INT FACE,3220,447.46,Mountainview_Medical_Center
32200101,LAC REPAIR COMPLEX TRUNK 2.6 TO 7.,3220,883.81,Mountainview_Medical_Center
32200102,LAC REPAIR 1.1-2.5CM COMP SCALP/EX,3220,525.5,Mountainview_Medical_Center
32200103,LAC REPAIR 2.6 TO 7.5 COMPLEX EXT,3220,664.5,Mountainview_Medical_Center
32200104,LAC REPAIR WOUND/LESION ADD-ON,3220,362.0,Mountainview_Medical_Center
32200105,"LAC REPAIR 1.1-2.5CM COMP FACE,HAN",3220,580.0,Mountainview_Medical_Center
32200106,LAC REPAIR 2.6CM - 7.5CM COMPLEX H,3220,696.28,Mountainview_Medical_Center
32200107,LAC REPAIR COMPLEX EA ADD'L 5CM,3220,448.0,Mountainview_Medical_Center
32200108,LAC REPAIR EYELID 1.1 CM TO 2.5 CM,3220,697.68,Mountainview_Medical_Center
32200109,"LAC REPAIR COMPLEX 2.6-7.5 EYELID,",3220,725.0,Mountainview_Medical_Center
32200110,"DEBRID BURN W/O ANESTH, SMALL",3220,264.5,Mountainview_Medical_Center
32200111,DESTRUCT BENIGN LESION 1ST,3220,102.59,Mountainview_Medical_Center
32200112,"DEST 2-14 LESION, EACH",3220,27.86,Mountainview_Medical_Center
32200113,DESTRUCT BENIGN LESION 15 OR MORE,3220,259.19,Mountainview_Medical_Center
32200114,DEST FLAT WORTS UP TO 14,3220,145.0,Mountainview_Medical_Center
32200115,DEST FLAT WORT 15 OR MORE,3220,159.0,Mountainview_Medical_Center
32200116,CAUTERY OF TISSUE,3220,269.0,Mountainview_Medical_Center
32200117,DEST MALIG LES .6-1.0 EXT/TRUN,3220,170.0,Mountainview_Medical_Center
32200118,DEST MAL SCALP/HAND/FEET .5,3220,175.0,Mountainview_Medical_Center
32200119,DEST MALIG .6 TO 1.0CM,3220,180.0,Mountainview_Medical_Center
32200120,DEST MALIG 2.1-3.0CM SCALP,3220,303.45,Mountainview_Medical_Center
32200121,DEST MAL LES FACE .5CM,3220,166.0,Mountainview_Medical_Center
32200122,DESTRUCT MALIGN FACE .6-1.0,3220,232.3,Mountainview_Medical_Center
32200123,DEST MALIG LES 1.1-2.0 FACE,3220,286.0,Mountainview_Medical_Center
32200124,"CRYOTHERAPY (COS, LIQUID N2)",3220,90.0,Mountainview_Medical_Center
32200125,ASPIRATION OF CYST OF BREAST,3220,535.21,Mountainview_Medical_Center
32200126,INCISION OF DEEP ABSCESS,3220,1000.5,Mountainview_Medical_Center
32200127,"EXPLORATION OF WOUND, EXTREMIT",3220,780.0,Mountainview_Medical_Center
32200128,REMOVAL FOREIGN BODY MUSCLE/TE,3220,945.47,Mountainview_Medical_Center
32200129,"SINGLE POINT INJECTION/TENDON, LIG",3220,263.39,Mountainview_Medical_Center
32200130,MD INJ SINGLE TENDON ORIGIN/INSERT,3220,210.0,Mountainview_Medical_Center
32200131,SINGLE/MULT TRIG PT IN 1-2 MUSC GR,3220,363.78,Mountainview_Medical_Center
32200132,SINGLE/MULT TRIP PT IN 3 OR MUSCLE,3220,351.09,Mountainview_Medical_Center
32200133,"ARTHROCENTSIS, ASPIRATION/INJECTIO",3220,316.0,Mountainview_Medical_Center
32200134,INJ INTERMEDIATE JOINT/BURSA,3220,349.8,Mountainview_Medical_Center
32200135,"INJ FEE SHOULDER, HIP, KNEE",3220,464.29,Mountainview_Medical_Center
32200136,LARGE JOINT INJECTION FEE,3220,464.29,Mountainview_Medical_Center
