Northern Montana Hospital,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,hospital
Standard Charges ,,,,,Northern_Montana_Health_Care
As of 07/01/2019,,,,,Northern_Montana_Health_Care
,,,,,Northern_Montana_Health_Care
Charge Code,Description,Chg Cat,Eff Date,Amount,Northern_Montana_Health_Care
100,Anes Head/Salivary glands,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
103,Anes for eye blepharoplasty,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
126,Anesth for tympantomy,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
140,Anes for eye blepharoplasty,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
142,Anes for lens surgery,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
145,Anest vitreoretinal,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
148,Anest for ophthalmoscopy,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
160,"Anesth nose, sinus",964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
164,Anesth biopsy soft tissue,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
170,Anesth for intraoral proc,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
192,"Anesth facial bones,skull",964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
214,Anesth for intracranial proc,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
300,"Anesth neck,subcut tissue",964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
320,"Anesth esoph, throat, thyroid",964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
326,Anesth larynx trach < 1 yr,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
352,Anesth for simple ligation,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
400,Anesth anter integu chest,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
410,Anesth to correct heart rhythm,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
450,"Anesth for clavicle, scapula",964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
470,Anesth partial rib resctrion,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
520,"Anesth chest, esoph,broch",964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
528,Anesthesia closed chest proc,964,2016-07-01 00:00:00,65,Northern_Montana_Health_Care
532,Anesth vascular access,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
542,Anesth thoracotomy proc,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
600,Anesth C spine cord surg,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
630,Anesth lumbar,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
635,Anesth lumbar puncture,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
670,Anesth for spine proc,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
700,ANESTH UPPER ANT ABD WALL NOS,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
731,Anesth Upper GI ndsc px nos,964,2018-01-01 00:00:00,65,Northern_Montana_Health_Care
