Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,ALLEGIANCE,BCBS_OF_MONTANA,EBMS,FIRST_CHOICE_HEALTH,MOUNTAIN_HEALTH_CO_OP,PACIFICSOURCE,UNITED_HEALTHCARE,hospital
00000003_1,SJORGENS PANEL,Inpatient,302,86235,"Extractable nuclear antigen, antibody to, any method (eg, nRNP, SS-A, SS-B, Sm, RNP, Sc170, J01), each antibody",,0,178.2,169.29,165.73,178.2,169.29,165.73,169.29,169.29,172.85,178.2,169.29,Northern_Rockies_Medical_Center
00000003_1,SJORGENS PANEL,Outpatient,302,86235,"Extractable nuclear antigen, antibody to, any method (eg, nRNP, SS-A, SS-B, Sm, RNP, Sc170, J01), each antibody",,0,178.2,169.29,165.73,178.2,169.29,165.73,169.29,169.29,172.85,178.2,169.29,Northern_Rockies_Medical_Center
00100001_1,BLOOD PRODUCTS ADMINISTRATION,Inpatient,391,36430,"Transfusion, blood or blood components",,0,502,476.9,466.86,502,476.9,466.86,476.9,476.9,486.94,502,476.9,Northern_Rockies_Medical_Center
00100001_1,BLOOD PRODUCTS ADMINISTRATION,Outpatient,391,36430,"Transfusion, blood or blood components",,0,502,476.9,466.86,502,476.9,466.86,476.9,476.9,486.94,502,476.9,Northern_Rockies_Medical_Center
00100002_1,DRESS OPTIFOAM,Inpatient,272,,,,0,5.37,5.1,4.99,5.37,5.1,4.99,5.1,5.1,5.21,5.37,5.1,Northern_Rockies_Medical_Center
00100002_1,DRESS OPTIFOAM,Outpatient,272,,,,0,5.37,5.1,4.99,5.37,5.1,4.99,5.1,5.1,5.21,5.37,5.1,Northern_Rockies_Medical_Center
00100011_1,BLOOD PRODUCTS ADMINISTRATION 59,Inpatient,391,36430,"Transfusion, blood or blood components",,0,502,476.9,466.86,502,476.9,466.86,476.9,476.9,486.94,502,476.9,Northern_Rockies_Medical_Center
00100011_1,BLOOD PRODUCTS ADMINISTRATION 59,Outpatient,391,36430,"Transfusion, blood or blood components",,0,502,476.9,466.86,502,476.9,466.86,476.9,476.9,486.94,502,476.9,Northern_Rockies_Medical_Center
00100101_1,BLOOD PRODUCTS ADMINISTRATION 59,Inpatient,391,36430,"Transfusion, blood or blood components",,0,466.7,443.37,434.03,466.7,443.37,434.03,443.37,443.37,452.7,466.7,443.37,Northern_Rockies_Medical_Center
00100101_1,BLOOD PRODUCTS ADMINISTRATION 59,Outpatient,391,36430,"Transfusion, blood or blood components",,0,466.7,443.37,434.03,466.7,443.37,434.03,443.37,443.37,452.7,466.7,443.37,Northern_Rockies_Medical_Center
00100111_1,BLOOD PRODUCTS ADMINISTRATION59,Inpatient,391,36430,"Transfusion, blood or blood components",,0,502,476.9,466.86,502,476.9,466.86,476.9,476.9,486.94,502,476.9,Northern_Rockies_Medical_Center
00100111_1,BLOOD PRODUCTS ADMINISTRATION59,Outpatient,391,36430,"Transfusion, blood or blood components",,0,502,476.9,466.86,502,476.9,466.86,476.9,476.9,486.94,502,476.9,Northern_Rockies_Medical_Center
00143001_1,IT SUPPORT PER HOUR,Inpatient,520,,,,0,50,47.5,46.5,50,47.5,46.5,47.5,47.5,48.5,50,47.5,Northern_Rockies_Medical_Center
00143001_1,IT SUPPORT PER HOUR,Outpatient,520,,,,0,50,47.5,46.5,50,47.5,46.5,47.5,47.5,48.5,50,47.5,Northern_Rockies_Medical_Center
00143002_1,IT SUPPORT PER HOUR OVER 20 HOURS,Inpatient,520,,,,0,50,47.5,46.5,50,47.5,46.5,47.5,47.5,48.5,50,47.5,Northern_Rockies_Medical_Center
00143002_1,IT SUPPORT PER HOUR OVER 20 HOURS,Outpatient,520,,,,0,50,47.5,46.5,50,47.5,46.5,47.5,47.5,48.5,50,47.5,Northern_Rockies_Medical_Center
00143003_1,IT SUPPORT CELL PHONE CHARGE,Inpatient,520,,,,0,7.5,7.13,6.98,7.5,7.13,6.98,7.13,7.13,7.28,7.5,7.13,Northern_Rockies_Medical_Center
