Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,ALLEGIANCE,BCBS_CLOSED_NETWORK,BCBS_HEALTHLINK_NETWORK,BCBS_POS,BCBS_TRADITIONAL,EBMS,HEALTH_INFO_NET_PEAK_EQUITY,HEALTH_INFO_NET_STANDARD,HUMANA_PPO_NETWORK,INTEGRATED_HEALTH_PLAN,INTERWEST_HEALTH_PPO,INTERWEST_HEALTH_TRADITIONAL,MOUNTAIN_HEALTH_CO-OP_HPN,MOUNTAIN_HEALTH_CO-OP_PPO_POS,PACIFIC_SOURCE,UHC_COMMERCIAL,hospital
1000009,OBS PER HR WITHOUT TELEMETRY,Inpatient,762,G0378,Hospital observation per hr,,0,79,63.2,63.2,79,75.05,68.73,68.73,68.73,68.73,75.05,76.63,76.63,75.05,75.05,77.42,79,69.52,77.42,76.63,,Pioneer_Medical_Center
1000009,OBS PER HR WITHOUT TELEMETRY,Observation,762,G0378,Hospital observation per hr,,0,79,63.2,63.2,79,75.05,65.57,65.57,65.57,65.57,75.05,76.63,76.63,72.68,75.05,77.42,79,69.52,77.42,76.63,,Pioneer_Medical_Center
1000090,OBS PER HOUR WITH TELEMETRY,Inpatient,762,G0378,Hospital observation per hr,,0,103,82.4,82.4,103,97.85,89.61,89.61,89.61,89.61,97.85,99.91,99.91,97.85,97.85,100.94,103,90.64,100.94,99.91,,Pioneer_Medical_Center
1000090,OBS PER HOUR WITH TELEMETRY,Observation,762,G0378,Hospital observation per hr,,0,103,82.4,82.4,103,97.85,85.49,85.49,85.49,85.49,97.85,99.91,99.91,94.76,97.85,100.94,103,90.64,100.94,99.91,,Pioneer_Medical_Center
11007,CAH ACUTE CARE WITHOUT TELEMETRY,Inpatient,120,,,,0,1906,1524.8,1524.8,1906,1810.7,1658.22,1658.22,1658.22,1658.22,1810.7,1848.82,1848.82,1810.7,1810.7,1867.88,1906,1677.28,1867.88,1848.82,,Pioneer_Medical_Center
1500008,RADIOLOGY FEE SHOULDER COMPLETE,ProFee,972,73030,"Radiologic examination, shoulder; complete, minimum of 2 views",,0,69,55.2,17.0019,66.93,54.7305,57.27,57.27,57.27,57.27,55.2,58.65,58.65,,,0,0,44.85,51.75,66.93,17.0019,Pioneer_Medical_Center
1500016,CLINIC LASIX 20MG,ProFee,983,J1940,Furosemide injection,,0,21,16.8,8.4,20.37,,17.43,17.43,17.43,17.43,16.8,17.85,17.85,,,0,0,13.65,15.75,20.37,8.4,Pioneer_Medical_Center
1500032,CLINIC COMPAZINE UP TO 10MG,ProFee,983,J0780,Prochlorperazine injection,,0,53.14,42.512,21.256,51.5458,,44.1062,44.1062,44.1062,44.1062,42.512,45.169,45.169,,,0,0,34.541,39.855,51.5458,21.256,Pioneer_Medical_Center
1500040,EXCISION BENIGN LESION .6-1CM,ProFee,983,11441,"Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 0.6 to 1.0 cm",,0,509,407.2,219.5105,933.555,219.5105,422.47,422.47,422.47,422.47,536.48,933.555,577.195,,,919.7478,919.7478,492.6294,547.366,493.73,221.4904,Pioneer_Medical_Center
1500065,CLINIC DEPO MEDROL PER 40MG,ProFee,983,J1030,Methylprednisolone 40 mg inj,,0,41,32.8,16.4,39.77,,34.03,34.03,34.03,34.03,32.8,34.85,34.85,,,0,0,26.65,30.75,39.77,16.4,Pioneer_Medical_Center
1500073,HOSPITAL DISCHARGE >30 MIN,ProFee,983,99239,Hospital discharge day management; more than 30 minutes,,0,330,264,63.4644,320.1,177.727,273.9,273.9,273.9,273.9,169.12,123.76,181.955,,,121.9296,121.9296,63.4644,70.516,320.1,181.4977,Pioneer_Medical_Center
1500081,ADMIT/DC SAME DAY INPT LEVEL 1,ProFee,983,99234,"Observation or inpatient hospital care, for the evaluation and management of a patient including admission and discharge on the same date, which requires these 3 key components: A detailed or comprehensive history; A detailed or comprehensive examination; and Medical decision making that is straightforward or of low complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually the presenting problem(s) requiring admission are of low severity. Typically, 40 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,475,380,48.3786,460.75,221.8645,394.25,394.25,394.25,394.25,211.12,65.45,227.1425,,,64.482,64.482,48.3786,53.754,460.75,218.5625,Pioneer_Medical_Center
1500099,ADMIT/DC SAME DAY INPT LEVEL 2,ProFee,983,99235,"Observation or inpatient hospital care, for the evaluation and management of a patient including admission and discharge on the same date, which requires these 3 key components: A comprehensive history; A comprehensive examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually the presenting problem(s) requiring admission are of moderate severity. Typically, 50 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,640,512,57.222,620.8,280.7145,531.2,531.2,531.2,531.2,267.12,129.115,287.3925,,,127.2054,127.2054,57.222,63.58,620.8,277.7364,Pioneer_Medical_Center
1500107,ADMIT/DC SAME DAY INPT LEVEL 3,ProFee,983,99236,"Observation or inpatient hospital care, for the evaluation and management of a patient including admission and discharge on the same date, which requires these 3 key components: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually the presenting problem(s) requiring admission are of high severity. Typically, 55 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,788,630.4,55.689,764.36,361.339,654.04,654.04,654.04,654.04,343.84,56.525,369.935,,,55.689,55.689,112.8834,125.426,764.36,356.5905,Pioneer_Medical_Center
1500115,LAC REPAIR SIMPLE 20.1 CM-30.0CM,ProFee,983,12006,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 20.1 cm to 30.0 cm",,0,779,623.2,198.4996,1389.92,201.8555,646.57,646.57,646.57,646.57,943.04,1389.92,1014.61,,,1369.3632,1369.3632,1248.48,1387.2,755.63,198.4996,Pioneer_Medical_Center
