Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,ALLEGIANCE,BCBSMT_HEALTHLINK,BCBSMT_POS_CLOSED_NETWORK,BCBSMT_TRADITIONAL,FIRST_CHOICE_HEALTH,PACIFIC_SOURCE,UNITED_HEALTHCARE,hospital
00110030_7,F IMAGE GUIDED FLUID COLL DRNG BY CATH,Outpatient,521,10030,"Image-guided fluid collection drainage by catheter (eg, abscess, hematoma, seroma, lymphocele, cyst), soft tissue (eg, extremity, abdominal wall, neck), percutaneous",,0,582,494.7,298.45,570.36,552.9,298.45,298.45,298.45,570.36,570.36,552.9,Pondera_Medical_Center
00110060_7,F I D ABSCESS,Outpatient,521,10060,"Incision and drainage of abscess (eg, carbuncle, suppurative hidradenitis, cutaneous or subcutaneous abscess, cyst, furuncle, or paronychia); simple or single",,0,280,238,73.08,274.4,266,73.08,73.08,73.08,274.4,274.4,266,Pondera_Medical_Center
00110061_7,F I & D OF ABSCESS COMPLICATED/MULTIPLE,Outpatient,521,10061,"Incision and drainage of abscess (eg, carbuncle, suppurative hidradenitis, cutaneous or subcutaneous abscess, cyst, furuncle, or paronychia); complicated or multiple",,0,472,401.2,112.68,462.56,448.4,112.68,112.68,112.68,462.56,462.56,448.4,Pondera_Medical_Center
00110140_7,F I D HEMATOMA,Outpatient,521,10140,"Incision and drainage of hematoma, seroma or fluid collection",,0,362,307.7,104.76,354.76,343.9,104.76,104.76,104.76,354.76,354.76,343.9,Pondera_Medical_Center
00110160_7,F ASPIRATION OF CYST,Outpatient,521,10160,"Puncture aspiration of abscess, hematoma, bulla, or cyst",,0,270,229.5,82.8,264.6,256.5,82.8,82.8,82.8,264.6,264.6,256.5,Pondera_Medical_Center
00111000_7,F EXCISION OF INFECTED SKIN,Outpatient,521,11000,Debridement of extensive eczematous or infected skin; up to 10% of body surface,,0,129,109.65,32.76,126.42,122.55,32.76,32.76,32.76,126.42,126.42,122.55,Pondera_Medical_Center
00111102_7,F TANGENTIAL BX SKIN SGL LESION,Outpatient,521,11102,"Tangential biopsy of skin (eg, shave, scoop, saucerize, curette); single lesion",,0,441,374.85,74.88,432.18,418.95,74.88,74.88,74.88,432.18,432.18,418.95,Pondera_Medical_Center
00111103_7,F TANGENTIAL BX SKIN EA ADDL LESION,Outpatient,521,11103,"Tangential biopsy of skin (eg, shave, scoop, saucerize, curette); each separate/additional lesion (List separately in addition to code for primary procedure)",,0,78,66.3,66.3,78,74.1,74.1,75.66,78,76.44,76.44,74.1,Pondera_Medical_Center
00111104_7,F PUNCH BX SKIN SGL LESION,Outpatient,521,11104,"Punch biopsy of skin (including simple closure, when performed); single lesion",,0,441,374.85,74.88,432.18,418.95,74.88,74.88,74.88,432.18,432.18,418.95,Pondera_Medical_Center
00111105_7,F PUNCH BX SKIN EA ADDL LESION,Outpatient,521,11105,"Punch biopsy of skin (including simple closure, when performed); each separate/additional lesion (List separately in addition to code for primary procedure)",,0,93,79.05,79.05,93,88.35,88.35,90.21,93,91.14,91.14,88.35,Pondera_Medical_Center
00111106_7,F INCISIONAL BX SKIN SGL LESION,Outpatient,521,11106,"Incisional biopsy of skin (eg, wedge) (including simple closure, when performed); single lesion",,0,785,667.25,74.88,769.3,745.75,74.88,74.88,74.88,769.3,769.3,745.75,Pondera_Medical_Center
00111107_7,F INCISIONAL BX SKIN EA ADDL LESION,Outpatient,521,11107,"Incisional biopsy of skin (eg, wedge) (including simple closure, when performed); each separate/additional lesion (List separately in addition to code for primary procedure)",,0,110,93.5,93.5,110,104.5,104.5,106.7,110,107.8,107.8,104.5,Pondera_Medical_Center
00111740_7,F EVACUATION SUBUNGUAL HEMATOMA,Outpatient,521,11740,Evacuation of subungual hematoma,,0,106,90.1,90.1,106,100.7,100.7,102.82,106,103.88,103.88,100.7,Pondera_Medical_Center
00111750_7,"F REMOVAL OF NAIL, PERMANENT",Outpatient,521,11750,"Excision of nail and nail matrix, partial or complete (eg, ingrown or deformed nail), for permanent removal",,0,420,357,96.12,411.6,399,96.12,96.12,96.12,411.6,411.6,399,Pondera_Medical_Center
00112002_7,F WOUND REPAIR SIMPLE 2.6-7.5CM,Outpatient,521,12002,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 2.6 cm to 7.5 cm",,0,344,292.4,292.4,344,326.8,326.8,333.68,344,337.12,337.12,326.8,Pondera_Medical_Center
00112011_7,"F REPAIR SUPERFICIAL WNDS NECK,EXTREMIT",Outpatient,521,12001,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 2.5 cm or less",,0,280,238,238,280,266,266,271.6,280,274.4,274.4,266,Pondera_Medical_Center
00116020_7,F DRESSING W/O ANESTHESIA SMALL,Outpatient,521,16020,"Dressings and/or debridement of partial-thickness burns, initial or subsequent; small (less than 5% total body surface area)",,0,207,175.95,175.95,207,196.65,196.65,200.79,207,202.86,202.86,196.65,Pondera_Medical_Center
