Department,Description,HCPCS Code,Gross Price,Minimum,Maximum,BCBS Traditional,BCBS HealthLink,Allegiance,Montana Health Co-op,Pacific Source,Three Rivers Provider Network,Health Info Net/ First Choice Health,Interwest PPO Network,interwest Traditional Network,hospital
THERAPY,OT EVAL LOW COMPLEXITY,"97165,GO (1 units)",97.0,87.3,97.0,97.0,91.17999999999999,95.06,91.17999999999999,95.06,87.3,96.03,96.03,97.0,Roosevelt_Medical_Center
THERAPY,OT EVAL MODERATE COMPLEXITY,"97166,GO (1 units)",145.0,130.5,145.0,145.0,136.29999999999998,142.1,136.29999999999998,142.1,130.5,143.55,143.55,145.0,Roosevelt_Medical_Center
THERAPY,OT NEURO-MUSCULAR RE-EDUCATION,"97112,GO (1 units)",94.0,84.60000000000001,94.0,94.0,88.36,92.12,88.36,92.12,84.60000000000001,93.06,93.06,94.0,Roosevelt_Medical_Center
THERAPY,OT RE-EVALUATION,"97168,GO (1 units)",161.0,144.9,161.0,161.0,151.34,157.78,151.34,157.78,144.9,159.39,159.39,161.0,Roosevelt_Medical_Center
THERAPY,OT THERAPEUTIC ACTIVITY PER 15 MIN,"97530,GO (1 units)",110.0,99.0,110.0,110.0,103.39999999999999,107.8,103.39999999999999,107.8,99.0,108.9,108.9,110.0,Roosevelt_Medical_Center
THERAPY,OT WHEELCHAIR MGT PER 15 MIN,"97542,GO (1 units)",82.0,73.8,82.0,82.0,77.08,80.36,77.08,80.36,73.8,81.17999999999999,81.17999999999999,82.0,Roosevelt_Medical_Center
THERAPY,OT MANUAL THERAPY PER 15 MIN,"97140,GO (1 units)",91.0,81.9,91.0,91.0,85.53999999999999,89.17999999999999,85.53999999999999,89.17999999999999,81.9,90.09,90.09,91.0,Roosevelt_Medical_Center
THERAPY,OT SELF CARE MGT/ADL PER 15 MIN,"97535,GO (1 units)",101.0,90.9,101.0,101.0,94.94,98.98,94.94,98.98,90.9,99.99,99.99,101.0,Roosevelt_Medical_Center
THERAPY,OT THERAPEUTIC EXERCISE PER 15 MIN,"97110,GO (1 units)",115.0,103.5,115.0,115.0,108.1,112.7,108.1,112.7,103.5,113.85,113.85,115.0,Roosevelt_Medical_Center
THERAPY,OT SENSORY INTEGRATIVE TECHNIQUES PER 15 MIN,"97533,GO (1 units)",59.0,53.1,59.0,59.0,55.459999999999994,57.82,55.459999999999994,57.82,53.1,58.41,58.41,59.0,Roosevelt_Medical_Center
THERAPY,OT EVAL HIGH COMPLEXITY,"97167,GO (1 units)",227.0,204.3,227.0,227.0,213.38,222.46,213.38,222.46,204.3,224.73,224.73,227.0,Roosevelt_Medical_Center
THERAPY,OT COGNITIVE SKILLS DEVELOPMENT,"97127,GO (1 units)",84.0,75.60000000000001,84.0,84.0,78.96,82.32,78.96,82.32,75.60000000000001,83.16,83.16,84.0,Roosevelt_Medical_Center
THERAPY,ADL PER 15 MIN,"97535,GP (1 units)",108.0,97.2,108.0,108.0,101.52,105.84,101.52,105.84,97.2,106.92,106.92,108.0,Roosevelt_Medical_Center
THERAPY,ANODYNE INFRARED THERAPY,"97026,GP (1 units)",41.0,36.9,41.0,41.0,38.54,40.18,38.54,40.18,36.9,40.589999999999996,40.589999999999996,41.0,Roosevelt_Medical_Center
THERAPY,APPLY NEUROSTIMULATORS (TENS),"64550,GP (1 units)",99.0,89.10000000000001,99.0,99.0,93.05999999999999,97.02,93.05999999999999,97.02,89.10000000000001,98.01,98.01,99.0,Roosevelt_Medical_Center
THERAPY,CERVICAL TRACTION,"97012,GP (1 units)",77.0,69.3,77.0,77.0,72.38,75.46,72.38,75.46,69.3,76.23,76.23,77.0,Roosevelt_Medical_Center
THERAPY,CONTRAST BATHS PER 15 MIN,"97034,GP (1 units)",47.0,42.300000000000004,47.0,47.0,44.18,46.06,44.18,46.06,42.300000000000004,46.53,46.53,47.0,Roosevelt_Medical_Center
THERAPY,DEBRIDEMENT - NON SELECTIVE,"97602,GP (1 units)",161.0,144.9,161.0,161.0,151.34,157.78,151.34,157.78,144.9,159.39,159.39,161.0,Roosevelt_Medical_Center
THERAPY,ELECTRICAL STIMULATION (UNATTENDED),"97014,GP (1 units)",55.0,49.5,55.0,55.0,51.699999999999996,53.9,51.699999999999996,53.9,49.5,54.45,54.45,55.0,Roosevelt_Medical_Center
THERAPY,EXERCISE PER 15 MIN,"97110,GP (1 units)",115.0,103.5,115.0,115.0,108.1,112.7,108.1,112.7,103.5,113.85,113.85,115.0,Roosevelt_Medical_Center
THERAPY,GAIT TRAINING PER 15 MIN,"97116,GP (1 units)",95.0,85.5,95.0,95.0,89.3,93.1,89.3,93.1,85.5,94.05,94.05,95.0,Roosevelt_Medical_Center
THERAPY,IONTOPHORESIS PER 15 MIN,"97033,GP (1 units)",101.0,90.9,101.0,101.0,94.94,98.98,94.94,98.98,90.9,99.99,99.99,101.0,Roosevelt_Medical_Center
THERAPY,MANUAL THERAPY PER 15 MIN,"97140,GP (1 units)",100.0,90.0,100.0,100.0,94.0,98.0,94.0,98.0,90.0,99.0,99.0,100.0,Roosevelt_Medical_Center
THERAPY,MASSAGE PER 15 MIN,"97124,GP (1 units)",79.0,71.10000000000001,79.0,79.0,74.25999999999999,77.42,74.25999999999999,77.42,71.10000000000001,78.21,78.21,79.0,Roosevelt_Medical_Center
THERAPY,MECHANICAL TRACTION,"97012,GP (1 units)",73.0,65.7,73.0,73.0,68.61999999999999,71.53999999999999,68.61999999999999,71.53999999999999,65.7,72.27,72.27,73.0,Roosevelt_Medical_Center
THERAPY,NEURO MUSCULAR RE-EDUCATION,"97112,GP (1 units)",106.0,95.4,106.0,106.0,99.64,103.88,99.64,103.88,95.4,104.94,104.94,106.0,Roosevelt_Medical_Center
THERAPY,ORTHOTIC TRAINING INITIAL 15 MIN,"97760,GP (1 units)",120.0,108.0,120.0,120.0,112.8,117.6,112.8,117.6,108.0,118.8,118.8,120.0,Roosevelt_Medical_Center
THERAPY,ORTHOTIC/PROSTHETIC SUB. TRAINING 15 MIN,"97763,GP (1 units)",116.0,104.4,116.0,116.0,109.03999999999999,113.67999999999999,109.03999999999999,113.67999999999999,104.4,114.84,114.84,116.0,Roosevelt_Medical_Center
THERAPY,PHONOPHORESIS,"97035,GP (1 units)",92.0,82.8,92.0,92.0,86.47999999999999,90.16,86.47999999999999,90.16,82.8,91.08,91.08,92.0,Roosevelt_Medical_Center
THERAPY,PROSTHETIC TRAINING INITIAL 15 MIN,"97761,GP (1 units)",126.0,113.4,126.0,126.0,118.44,123.48,118.44,123.48,113.4,124.74,124.74,126.0,Roosevelt_Medical_Center
THERAPY,PT EVAL HIGH COMPLEXITY,"97163,GP (1 units)",235.0,211.5,235.0,235.0,220.89999999999998,230.29999999999998,220.89999999999998,230.29999999999998,211.5,232.65,232.65,235.0,Roosevelt_Medical_Center
THERAPY,PT EVAL LOW COMPLEXITY,"97161,GP (1 units)",104.0,93.60000000000001,104.0,104.0,97.75999999999999,101.92,97.75999999999999,101.92,93.60000000000001,102.96,102.96,104.0,Roosevelt_Medical_Center
THERAPY,PT EVAL MODERATE COMPLEXITY,"97162,GP (1 units)",157.0,141.3,157.0,157.0,147.57999999999998,153.85999999999999,147.57999999999998,153.85999999999999,141.3,155.43,155.43,157.0,Roosevelt_Medical_Center
THERAPY,PT RE-EVALUATION,"97164,GP (1 units)",130.0,117.0,130.0,130.0,122.19999999999999,127.39999999999999,122.19999999999999,127.39999999999999,117.0,128.7,128.7,130.0,Roosevelt_Medical_Center
THERAPY,SELF CARE MANAGEMENT TRAINING 15 MIN,"97535,GP (1 units)",114.0,102.60000000000001,114.0,114.0,107.16,111.72,107.16,111.72,102.60000000000001,112.86,112.86,114.0,Roosevelt_Medical_Center
THERAPY,THERAPEUTIC ACTIVITY PER 15 MIN,"97530,GP (1 units)",119.0,107.10000000000001,119.0,119.0,111.86,116.62,111.86,116.62,107.10000000000001,117.81,117.81,119.0,Roosevelt_Medical_Center
THERAPY,ULTRASOUND PER 15 MIN,"97035,GP (1 units)",92.0,82.8,92.0,92.0,86.47999999999999,90.16,86.47999999999999,90.16,82.8,91.08,91.08,92.0,Roosevelt_Medical_Center
THERAPY,UNLISTED MODALITY,"97039,GP (1 units)",80.0,72.0,80.0,80.0,75.19999999999999,78.4,75.19999999999999,78.4,72.0,79.2,79.2,80.0,Roosevelt_Medical_Center
THERAPY,WHEELCHAIR TR/MGT PER 15 MIN,"97542,GP (1 units)",124.0,111.60000000000001,124.0,124.0,116.55999999999999,121.52,116.55999999999999,121.52,111.60000000000001,122.76,122.76,124.0,Roosevelt_Medical_Center
THERAPY,ELECTRICAL STIMULATION (ATTENDED) PER 15 MIN,"97032,GP (1 units)",90.0,81.0,90.0,90.0,84.6,88.2,84.6,88.2,81.0,89.1,89.1,90.0,Roosevelt_Medical_Center
THERAPY,DEBRIDEMENT - SELECTIVE,"97597,GP (1 units)",227.0,204.3,227.0,227.0,213.38,222.46,213.38,222.46,204.3,224.73,224.73,227.0,Roosevelt_Medical_Center
THERAPY,SP COGNITIVE EVALUATION PER HOUR,"96125,GN (1 units)",352.0,316.8,352.0,352.0,330.88,344.96,330.88,344.96,316.8,348.48,348.48,352.0,Roosevelt_Medical_Center
THERAPY,SP COGNITIVE SKILLS DEVELOPMENT,"97127,GN (1 units)",89.0,80.10000000000001,89.0,89.0,83.66,87.22,83.66,87.22,80.10000000000001,88.11,88.11,89.0,Roosevelt_Medical_Center
