PROC NUMBER + PRICE MOD,PROCEDURE NAME,BASE PRICE,UNIT PRICE,hospital
0034U,TPMT NUDT15 GENES,,564.0,Sidney_Health_Center
1000004,PUNCTURE ASPIRATION ABCESS HEM,,296.0,Sidney_Health_Center
1000005,BIOPSY BONE,,533.0,Sidney_Health_Center
1000007,BIOP BONE TROCAR NDL DEEP,,115.0,Sidney_Health_Center
1000009,SURG INJ SINUS TRACT DIAGNOSTIC,,329.0,Sidney_Health_Center
1000025,BIO PLEUR PERC SURG,,610.0,Sidney_Health_Center
1000026,BIOPSY LUNG PERCUTANEOUS NDL,,936.0,Sidney_Health_Center
1000037,SURG VENOGRAM INJ,,406.0,Sidney_Health_Center
1000057,SURG CHECK CVAP PATENCY,,82.0,Sidney_Health_Center
1000065,SURG INS TUN CVA WPORT,,2674.0,Sidney_Health_Center
1000069,SURG CHG CENTRAL CVA,,76.0,Sidney_Health_Center
1000076,SURG REPOSITION CV PICC,,618.0,Sidney_Health_Center
1000093,SURG INTRO LONG GI TUBE,,141.0,Sidney_Health_Center
1000095,CT BIOPSY LIVER,,631.0,Sidney_Health_Center
1000096,BX LIVER NEEDLE BIOPSY,,983.0,Sidney_Health_Center
1000110,CT BIOPSY PANCREAS,,1351.0,Sidney_Health_Center
1000116,ABD PARACENTESIS WO IMAGING,,3399.0,Sidney_Health_Center
1000118,BIOPSY ABDOMEN RETRO PERC NDL,,70.0,Sidney_Health_Center
1000123,SURG ABCS DRAN CATH CHG,,88.0,Sidney_Health_Center
1000139,SURG RETROGRADE URETHRAI,,457.0,Sidney_Health_Center
1000144,BIOPSY THYROID PERC CORE NDL,,40.0,Sidney_Health_Center
1000163,INJ TRNFRM EPID CERV THOR 1LVL,,130.0,Sidney_Health_Center
1000165,INJ TRNFRM CER THOR EA ADDL,,72.0,Sidney_Health_Center
1000167,INJ TRNFRM EPID LUM SNGL 1LVL,,88.0,Sidney_Health_Center
1000169,INJ TRNFRM EPID LUM SAC EA ADD,,69.0,Sidney_Health_Center
1000178,MRI TMJ WO CONTRAST,,1301.0,Sidney_Health_Center
1000179,CT HEAD WO CONTRAST,,1142.0,Sidney_Health_Center
1000180,CT HEAD W CONTRAST,,768.0,Sidney_Health_Center
1000181,CT HEAD WO THEN W CONTRAST,,1380.0,Sidney_Health_Center
