CPT Code,Description,Procedure Code,Revenue Code,Charge Amount,Click to select insurance,hospital
43220,EGD DILATION <30 MM,75043249,750,2237.65,,St_Peter's_Health
43226,UPPER GI W/ STENT PLACEMENT,75023256,750,3482.9,,St_Peter's_Health
43235,PANENDOSCOPY,75043235,750,1689.25,,St_Peter's_Health
43239,PANENDOSCOPY WITH BX,75043239,750,1864.27,,St_Peter's_Health
43245,EDG w/ STO/DUO DILATION STRICT,75043245,750,2113.03,,St_Peter's_Health
43246,PANENDOSCOPY PEG,75043246,750,1291.14,,St_Peter's_Health
43247,ENDOSCOPY W/FOREIGN,75043247,750,2110.53,,St_Peter's_Health
43250,UPPER GI SCOPE W/REMOVAL TUMOR,75043250,750,2096.88,,St_Peter's_Health
43251,PANENDOSCOPY WITH POLYECTOMY,75043251,750,2112.83,,St_Peter's_Health
43255,UPPER GI SCOPE W/CONTROL BLEED,75043255,750,2070.83,,St_Peter's_Health
43260,ERCP,75043260,750,3084.56,,St_Peter's_Health
43261,ERCP W/ BIOPSY,75043261,750,3128.78,,St_Peter's_Health
43262,ERCP W/SPHINCTERO,75043262,750,3855.7,,St_Peter's_Health
43264,ERCP W/STONE REM,75043264,750,3855.7,,St_Peter's_Health
43265,ERCP W/ DESTRUCTION,75043265,750,4909.7,,St_Peter's_Health
43270,ILEOSCOPY PROCEDURE,75044380,750,831.62,,St_Peter's_Health
43274,ERCP W/ STENT,75043274,750,4909.7,,St_Peter's_Health
43275,ERCP W/ REMOVAL OF STENT,75043275,750,3084.56,,St_Peter's_Health
43276,ERCP W/REM OR EXC OF STENT,75043276,750,4909.7,,St_Peter's_Health
43277,ERCP W/TRANS-ENDO BALLOON DILA,75043277,750,3084.56,,St_Peter's_Health
43760,CHANGE GASTROSTOMY TUBE,76143760,761,533.38,,St_Peter's_Health
43762,REPLCMNT OF GASTROSTOMY TUBE,75043762,750,601.69,,St_Peter's_Health
43763,REVISION OF GASTROSTOMY TRACT,75043763,750,601.69,,St_Peter's_Health
44405,"TRANSENDOSCOPIC, BALLOON DILTN",75044405,750,1944.09,,St_Peter's_Health
45321,"PROCTOSIGMOID,DECOMP VOLVULUS",75045321,750,3841.13,,St_Peter's_Health
45330,FLEX SIG 60 CM OR LE,75050020,750,1899.81,,St_Peter's_Health
45331,SIGMOIDOSCOPY AND BIOPSY,75045331,750,813.42,,St_Peter's_Health
45332,PROCTOSIGMOIDOSCOPY REMOVAL,75045315,750,2773.04,,St_Peter's_Health
45338,SIGMOIDOSCOPY W/TUMR REMOVE,75045338,750,1624.86,,St_Peter's_Health
45378,DIAGNOSTIC COLONOSCOPY,75045378,750,1935.44,,St_Peter's_Health
45379,COLONOSCOPY W/ FB REMOVAL,75045379,750,2547.46,,St_Peter's_Health
45380,COLONOSCOPY W/ BX,75045380,750,2547.46,,St_Peter's_Health
45381,COLONOSCOPY SUBMUCOUS NJX,75045381,750,1934.31,,St_Peter's_Health
45382,RT COLONOSCOPY W/HEAT,75045382,750,2791.02,,St_Peter's_Health
45385,RT COLONOSCOPY W/POL,75045385,750,2547.46,,St_Peter's_Health
45386,COLONOSCOPY DILATE STRICTURE,75045386,750,1199.9,,St_Peter's_Health
45387,COLONOSCOPY W/STENT,75045387,750,5435.3,,St_Peter's_Health
45388,COLONSCOPY W/ABLATION,75045388,750,1913.31,,St_Peter's_Health
46221,LIGATION OF HEMORRHOID(S),75046221,750,1073.5,,St_Peter's_Health
9464076,AER OR VAP INH (ER SUB),41294641,412,209.23,,St_Peter's_Health
,IPG PROTEGE MRI 16 CHANNEL,27858368,278,32760.0,,St_Peter's_Health
,ENDURANT STENT GRAFT BIFURATED,27837605,278,15561.52,,St_Peter's_Health
,ENDURANT STNT GRAFT BIFURCATED,27839270,278,15561.52,,St_Peter's_Health
,ENDURANT STNT GRAFT BIFURCATED,27841701,278,15561.52,,St_Peter's_Health
,STENT GRAFT BIFURCATED,27839793,278,15561.52,,St_Peter's_Health
,STENT GRAFT BIFURCATED,27842201,278,15561.52,,St_Peter's_Health
,STENT GRAFT BIFURCATED,27844616,278,15561.52,,St_Peter's_Health
,STENT GRAFT ENDURANT,27836486,278,15561.52,,St_Peter's_Health
,STENT GRAFT ENDURANT BIF,27838062,278,15561.52,,St_Peter's_Health
,STENT GRAFT ENDURANT BIFURCATE,27848255,278,15561.52,,St_Peter's_Health
,VERTEBRAL BODY TI 24-40MM 12MM,27861716,278,13521.04,,St_Peter's_Health
,STENT GRAFT BIFURCATION LONG,27832700,278,12948.0,,St_Peter's_Health
,PRYAMESH 25X60MM,27045123,278,12792.0,,St_Peter's_Health
,"SOLUTION SYST FEMORAL 8"" 15.0",27847733,278,12694.24,,St_Peter's_Health
,"SOLUTION SYSTEM 8"" ST SM SZ12",27833527,278,12694.24,,St_Peter's_Health
,STENT GRAFT W/XCEL HDS BIFUR,27829525,278,12129.52,,St_Peter's_Health
,SPACER TI T-PAL 10X28MM,27861592,278,11380.72,,St_Peter's_Health
,TIBIA DISTAL ALLOGRAFT FRESH,27868385,278,10810.8,,St_Peter's_Health
,CENTERPIECE XVBR 22X29 4D,27837362,278,10686.0,,St_Peter's_Health
,STENT GRAFT CONTRALATERAL LIMB,27844617,278,9984.0,,St_Peter's_Health
,CLYDESDALE 12X60X6 DEG,27845593,278,9672.0,,St_Peter's_Health
,CLYDESDALE 6 12X55,27835431,278,9672.0,,St_Peter's_Health
,FEMORAL COMPONENT TC3 SZ2.5 LT,27848851,278,9475.44,,St_Peter's_Health
,STENT GRAFT ILIAC LIMB MEDIUM,2782701,278,9108.18,,St_Peter's_Health
,HUMERAL STEM LONG 10 DEPUY,27820196,278,9025.12,,St_Peter's_Health
,CRESENT 30X3 9193005,27835488,278,9022.0,,St_Peter's_Health
,GLOBAL FX STEM 10 LONG,27030432,278,8798.4,,St_Peter's_Health
,GLOBAL FX STEM 12 LONG,27030433,278,8798.4,,St_Peter's_Health
,GLOBAL FX STEM 6 LONG,27030430,278,8798.4,,St_Peter's_Health
,GLOBAL FX STEM 8 LONG,27030431,278,8798.4,,St_Peter's_Health
,CRESCENT BN 12X30MM,27845101,278,8796.32,,St_Peter's_Health
,CRESCENT BN 14X30MM,27845102,278,8796.32,,St_Peter's_Health
,INFUSE LRG 7510600,27019736,270,8688.16,,St_Peter's_Health
,INFUSE MED 7510400,27219719,272,8472.88,,St_Peter's_Health
,HUMERAL STEM LONG 14 DEPUY,27820198,278,8460.4,,St_Peter's_Health
,HUMERAL STEM LONG 12 DEPUY,27820197,278,8459.36,,St_Peter's_Health
,HUMERAL STEM LONG 8 DEPUY,27820194,278,8459.36,,St_Peter's_Health
,ENDURANT STENT GRAFT CON LIMB,27837606,278,8433.36,,St_Peter's_Health
,STENT GRAFT CONTRALATERAL LIMB,27839794,278,8433.36,,St_Peter's_Health
,STENT GRAFT ENDURANT CONT LIMB,27840821,278,8433.36,,St_Peter's_Health
,SENT GRAFT ENDURANT CONT LIMB,27836487,278,8349.12,,St_Peter's_Health
,STENT GRAFT CONTRALATERAL LIMB,27844618,278,8349.12,,St_Peter's_Health
,STENT GRAFT ENDURANT CONTRA,27848256,278,8349.12,,St_Peter's_Health
,STENT GRAFT ENDURANT CONT LIMB,27836488,278,8222.24,,St_Peter's_Health
,STENT GRAFT ENDURANT LILAC,27838065,278,8222.24,,St_Peter's_Health
,OSTEOCOOL RF ABLATION PROBE 15,27274230,272,8123.44,,St_Peter's_Health
,XMESH POS MEDIUM 25/33MM,27859668,278,8119.28,,St_Peter's_Health
,X-MESH POSTERIOR MED 28-38MM,27865446,278,8119.28,,St_Peter's_Health
,TRAY TIB MBT CEMENT SZ 2 REVIS,27844544,278,7994.48,,St_Peter's_Health
,TRAY TIB MBT CEMENT SZ 4,27843400,278,7994.48,,St_Peter's_Health
,TRAY TIB MBT CEMENT SZ2.5 CEM,27846102,278,7994.48,,St_Peter's_Health
,TRAY TIB MBT CEMENT SZ3 PLTFRM,27844206,278,7994.48,,St_Peter's_Health
,PEEK X-STOP SPACER 16MM,27835985,278,7948.72,,St_Peter's_Health
,X-STOP 14MM SPACER,27830187,278,7948.72,,St_Peter's_Health
,X-STOP IPD IMPLANT 10MM,27829853,278,7948.72,,St_Peter's_Health
,X-STOP IPD IMPLANT 12MM,27829852,278,7948.72,,St_Peter's_Health
,X-STOP IPD INPLANT 8MM 1-3208,27830870,278,7948.72,,St_Peter's_Health
,ACCULIF 6-9MMX11MMX34MM 0 DEG,27863310,278,7933.12,,St_Peter's_Health
,STENT GRAFT ENDURANT CONT LIMB,27840822,278,7883.2,,St_Peter's_Health
,STENT GRAFT ENDURANT ILIAC EXT,27839795,278,7883.2,,St_Peter's_Health
,X-STOP INTERSPINE PROCESS 2212,27829239,278,7883.2,,St_Peter's_Health
,X-STOP 14MM TI 1-2214,27837042,278,7840.56,,St_Peter's_Health
,X-STOP INTERSPINE PROCESS,27827638,278,7671.04,,St_Peter's_Health
,SPACER T-PAL TI 10X28MM,27861811,278,7544.16,,St_Peter's_Health
,SPACER T-PAL TI 10X28MM,27861813,278,7544.16,,St_Peter's_Health
,BONE TAP KIT SS X215/3,27239694,272,7323.68,,St_Peter's_Health
,SPACER T-PAL TI 10X28MM 9MM,27863361,278,7289.36,,St_Peter's_Health
,PLATE VANTAGE 6.0CM,27845126,278,6963.84,,St_Peter's_Health
,INTERBODY FUSION DEVICE 11X30,27858148,278,6780.8,,St_Peter's_Health
,INTERBODY FUSION DEVICE 11X33,27859428,278,6780.8,,St_Peter's_Health
,INTERBODY FUSION DEVICE 11X33,27859894,278,6780.8,,St_Peter's_Health
,INTERBODY FUSION DEVICE 11X33,27859895,278,6780.8,,St_Peter's_Health
,FRACTURE INFLATEFX LRG KIT,27242566,272,6611.28,,St_Peter's_Health
,INFUSE SML 7510200,27821201,278,6450.08,,St_Peter's_Health
,BULLET CAPSTONE 12X22,27838822,278,6415.76,,St_Peter's_Health
,CAPSTONE BULLET 12X26,27838897,278,6415.76,,St_Peter's_Health
,CAPSTONE BULLET 6X22MM,27845838,278,6415.76,,St_Peter's_Health
,CAPSTONE BULLET NOSE,27838280,278,6415.76,,St_Peter's_Health
,CAPSTONE BULLET NOSE 8X22MM,27842589,278,6415.76,,St_Peter's_Health
,CAPSTONE BULLETNOSE 6X26,27843329,278,6415.76,,St_Peter's_Health
,CRESENT 30X14 9193014,27835920,278,6372.08,,St_Peter's_Health
,HUMERAL STEM PC 6MM DEPUY,27820187,278,6141.41,,St_Peter's_Health
,CAPSTONE 10X32,27839227,278,6130.8,,St_Peter's_Health
,CAPSTONE 12X32,27837041,278,6130.8,,St_Peter's_Health
,CAPSTONE 8X32MM,27845594,278,6130.8,,St_Peter's_Health
,CAPSTONE 9X32MM,27845595,278,6130.8,,St_Peter's_Health
