MSDRG,MSDRGDSC,lookup,Average Facility Charges,hospital
1,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1 Average,212732.022,The_Billings_Clinic
3,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",3 Average,255832.98914822776,The_Billings_Clinic
4,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",4 Average,142127.64852018186,The_Billings_Clinic
11,"TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY W MCC",11 Average,86034.11923480402,The_Billings_Clinic
12,"TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY W CC",12 Average,63485.291008824686,The_Billings_Clinic
13,"TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY W/O CC/MCC",13 Average,19417.26,The_Billings_Clinic
23,CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PDX W MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY W NEUROSTIMULATOR,23 Average,153907.95,The_Billings_Clinic
25,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,25 Average,81172.55788635611,The_Billings_Clinic
26,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,26 Average,53560.3448324611,The_Billings_Clinic
27,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,27 Average,52967.640655383955,The_Billings_Clinic
28,SPINAL PROCEDURES W MCC,28 Average,108929.20066064948,The_Billings_Clinic
29,SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,29 Average,81331.88175993206,The_Billings_Clinic
30,SPINAL PROCEDURES W/O CC/MCC,30 Average,104763.55925416348,The_Billings_Clinic
31,VENTRICULAR SHUNT PROCEDURES W MCC,31 Average,31297.25,The_Billings_Clinic
32,VENTRICULAR SHUNT PROCEDURES W CC,32 Average,43228.03659279078,The_Billings_Clinic
33,VENTRICULAR SHUNT PROCEDURES W/O CC/MCC,33 Average,47290.4546038028,The_Billings_Clinic
37,EXTRACRANIAL PROCEDURES W MCC,37 Average,46536.56369342347,The_Billings_Clinic
38,EXTRACRANIAL PROCEDURES W CC,38 Average,30184.414341894055,The_Billings_Clinic
39,EXTRACRANIAL PROCEDURES W/O CC/MCC,39 Average,19169.28552423777,The_Billings_Clinic
40,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,40 Average,32931.47530894877,The_Billings_Clinic
41,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,41 Average,42164.91876712737,The_Billings_Clinic
42,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,42 Average,32394.850457027685,The_Billings_Clinic
52,SPINAL DISORDERS & INJURIES W CC/MCC,52 Average,27445.34085796713,The_Billings_Clinic
53,SPINAL DISORDERS & INJURIES W/O CC/MCC,53 Average,8341.527198301279,The_Billings_Clinic
54,NERVOUS SYSTEM NEOPLASMS W MCC,54 Average,15128.00777786709,The_Billings_Clinic
55,NERVOUS SYSTEM NEOPLASMS W/O MCC,55 Average,18922.25569220266,The_Billings_Clinic
56,DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,56 Average,25518.908416168466,The_Billings_Clinic
57,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,57 Average,21728.64863831003,The_Billings_Clinic
59,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,59 Average,15098.795442021195,The_Billings_Clinic
60,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,60 Average,16039.603063262633,The_Billings_Clinic
61,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W MCC",61 Average,52177.69026314577,The_Billings_Clinic
62,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W CC",62 Average,37482.2006108207,The_Billings_Clinic
63,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W/O CC/MCC",63 Average,33821.667947843605,The_Billings_Clinic
64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,64 Average,27836.525554902808,The_Billings_Clinic
65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,65 Average,18075.796008177484,The_Billings_Clinic
66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,66 Average,13963.425497926833,The_Billings_Clinic
68,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,68 Average,10757.0,The_Billings_Clinic
69,TRANSIENT ISCHEMIA W/O THROMBOLYTIC,69 Average,13700.424949336892,The_Billings_Clinic
70,NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,70 Average,24761.68972165768,The_Billings_Clinic
71,NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,71 Average,14599.858893957782,The_Billings_Clinic
72,NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,72 Average,13820.738860169591,The_Billings_Clinic
73,CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,73 Average,49205.66011146551,The_Billings_Clinic
74,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,74 Average,15845.555188970902,The_Billings_Clinic
75,VIRAL MENINGITIS W CC/MCC,75 Average,12684.599481260731,The_Billings_Clinic
76,VIRAL MENINGITIS W/O CC/MCC,76 Average,10640.841719080607,The_Billings_Clinic
78,HYPERTENSIVE ENCEPHALOPATHY W CC,78 Average,12992.44180201155,The_Billings_Clinic
80,NONTRAUMATIC STUPOR & COMA W MCC,80 Average,11219.118023363422,The_Billings_Clinic
81,NONTRAUMATIC STUPOR & COMA W/O MCC,81 Average,9747.0,The_Billings_Clinic
82,"TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC",82 Average,29663.008019068533,The_Billings_Clinic
83,"TRAUMATIC STUPOR & COMA, COMA >1 HR W CC",83 Average,21736.03963435561,The_Billings_Clinic
84,"TRAUMATIC STUPOR & COMA, COMA >1 HR W/O CC/MCC",84 Average,16264.257669255461,The_Billings_Clinic
85,"TRAUMATIC STUPOR & COMA, COMA <1 HR W MCC",85 Average,35623.829380503455,The_Billings_Clinic
86,"TRAUMATIC STUPOR & COMA, COMA <1 HR W CC",86 Average,21089.7745111473,The_Billings_Clinic
