Charge Code,Charge Code Description,Proc Code,Rate,hospital
01564450,Digital Nerve Block,64450,550.00,The_Ruby_Valley_Hospital
02036,INJ INFLUENZA VACCINE,Q2036,30.00,The_Ruby_Valley_Hospital
04151798,Post Void Bladder Scan,51798,130.00,The_Ruby_Valley_Hospital
08948,Laser Therapy,S8948,0.00,The_Ruby_Valley_Hospital
10011104,Punch BX Skin Single Lesion,,180.00,The_Ruby_Valley_Hospital
10060,I D ABSCESS/CYST SIMPLE,10060,265.20,The_Ruby_Valley_Hospital
10061,I D ABSCESS/CYST COMPLICATED,10061,480.48,The_Ruby_Valley_Hospital
10104565,SUPPLIES SLING,A4565,35.00,The_Ruby_Valley_Hospital
10104570,SUPPLIES SPLINT,A4570,50.00,The_Ruby_Valley_Hospital
10104580,SUPPLIES CAST SUPPLIES (PLASTER),A4580,0.00,The_Ruby_Valley_Hospital
10104590,SUPPLIES CAST MATERIAL (FIBERGLASS),A4590,0.00,The_Ruby_Valley_Hospital
10104614,PEAK FLOW METER HAND HELD,A4614,55.00,The_Ruby_Valley_Hospital
10104649,SUPPLIES SURGICAL MISCELLANEOUS,A4649,0.00,The_Ruby_Valley_Hospital
10105500,SUPPLIES SHOE FOR DIABETICS,A5500,145.00,The_Ruby_Valley_Hospital
10106205,DRESSING-MINOR,A6205,0.00,The_Ruby_Valley_Hospital
10106260,WOUND WASH,A6260,30.00,The_Ruby_Valley_Hospital
10106406,SUPPLIES GAUZE STERILE ALL TYPES,A6406,0.00,The_Ruby_Valley_Hospital
10106448,ACE BANDAGE < 3,A6448,5.00,The_Ruby_Valley_Hospital
10106449,ACE BANDAGE 3-5,A6449,5.00,The_Ruby_Valley_Hospital
10107003,SUPPLIES HANDIVENT NEBULIZER,A7003,15.00,The_Ruby_Valley_Hospital
10120,REMOVAL FB SUBCUTAN TISSUE SIMPLE,10120,455.00,The_Ruby_Valley_Hospital
10140,I D HEMATOMA SEROMA OR FLUID COLLEC,10140,427.44,The_Ruby_Valley_Hospital
10160,ASPIR PUNCT ABSCESS HEMATOMA CYST,10160,420.00,The_Ruby_Valley_Hospital
10180,I D WOUND COMPLEX,10180,657.28,The_Ruby_Valley_Hospital
10500114,SUPPLIES CRUTCHES ALL SIZES,E0114,62.40,The_Ruby_Valley_Hospital
10700002,CATHETER INSERTION OFFICE PROCEDURES D,G0002,266.24,The_Ruby_Valley_Hospital
10700008,INJ ADMIN INFLUENZA VACCINE,G0008,32.00,The_Ruby_Valley_Hospital
10700009,INJ ADMIN OF PNEUMOCOCCAL VACCINE,G0009,37.00,The_Ruby_Valley_Hospital
10700101,OV CERV/VAG CANCER SCREEN W/ PELV&BREAST,G0101,85.00,The_Ruby_Valley_Hospital
10700102,OV PROSTATE SCREEN MCR ONLY BRIEF,G0102,52.00,The_Ruby_Valley_Hospital
10700104,SIGMOIDOSCOPY SCREENING MCR,G0104,175.00,The_Ruby_Valley_Hospital
10700402,INITIAL PREVENTIVE PHY EXAM,G0402,330.00,The_Ruby_Valley_Hospital
10700438,"ANNUAL WELLNESS VISIT, INITIAL VISIT",G0438,340.00,The_Ruby_Valley_Hospital
