Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,Allegiance,Allegiance_Medicare_RBPHP,BCBS_HEALTHLINK_NETWORK,BCBS_TRADITIONAL_NETWORK,Indian_Health_Svcs,PACIFIC_SOURCE_,hospital
1034074_1,ANCA screen,Inpatient,300,86255,"Fluorescent noninfectious agent antibody; screen, each antibody",,0,142.75,107.06,82.8,265.52,135.61,135.61,132.76,142.75,,135.61,Trinity_Hospital
1034074_1,ANCA screen,Outpatient,300,86255,"Fluorescent noninfectious agent antibody; screen, each antibody",,0,142.75,107.06,82.8,265.52,135.61,265.52,132.76,142.75,82.8,135.61,Trinity_Hospital
1034075_1,ANCA Titer,Inpatient,302,86256,"Fluorescent noninfectious agent antibody; titer, each antibody",,0,333.5,250.13,193.43,620.31,316.83,316.83,310.16,333.5,,316.83,Trinity_Hospital
1034075_1,ANCA Titer,Outpatient,302,86256,"Fluorescent noninfectious agent antibody; titer, each antibody",,0,333.5,250.13,193.43,620.31,316.83,620.31,310.16,333.5,193.43,316.83,Trinity_Hospital
1040072_1,ANCA Screen,Inpatient,300,86255,"Fluorescent noninfectious agent antibody; screen, each antibody",,0,142.75,107.06,82.8,265.52,135.61,135.61,132.76,142.75,,135.61,Trinity_Hospital
1040072_1,ANCA Screen,Outpatient,300,86255,"Fluorescent noninfectious agent antibody; screen, each antibody",,0,142.75,107.06,82.8,265.52,135.61,265.52,132.76,142.75,82.8,135.61,Trinity_Hospital
1040073_1,"Myeloperoxidase, IgG AB",Inpatient,300,86021,Antibody identification; leukocyte antibodies,,0,156,117,90.48,290.16,148.2,148.2,145.08,156,,148.2,Trinity_Hospital
1040073_1,"Myeloperoxidase, IgG AB",Outpatient,300,86021,Antibody identification; leukocyte antibodies,,0,156,117,90.48,290.16,148.2,290.16,145.08,156,90.48,148.2,Trinity_Hospital
1040074_1,"Proteinase 3, IgG AB",Inpatient,300,86021,Antibody identification; leukocyte antibodies,,0,156,117,90.48,290.16,148.2,148.2,145.08,156,,148.2,Trinity_Hospital
1040074_1,"Proteinase 3, IgG AB",Outpatient,300,86021,Antibody identification; leukocyte antibodies,,0,156,117,90.48,290.16,148.2,290.16,145.08,156,90.48,148.2,Trinity_Hospital
1070072_1,"Microalbumin, Ur Random",Inpatient,301,82043,"Albumin; urine (eg, microalbumin), quantitative",,0,135.5,101.63,78.59,252.03,128.73,128.73,126.02,135.5,,128.73,Trinity_Hospital
1070072_1,"Microalbumin, Ur Random",Outpatient,301,82043,"Albumin; urine (eg, microalbumin), quantitative",,0,135.5,101.63,78.59,252.03,128.73,252.03,126.02,135.5,78.59,128.73,Trinity_Hospital
1176078_1,Interp Anti-IgG DAT,Inpatient,302,86880,"Antihuman globulin test (Coombs test); direct, each antiserum",,0,85.75,64.31,49.74,159.5,81.46,81.46,79.75,85.75,,81.46,Trinity_Hospital
