Mineral Community Hospital Chargemaster as of 1/1/2022,,,,,,,,,,,,
"Provided by Mineral Community Hospital, 1208 6th Ave East, Superior MT  59872",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Department,Charge Master Code,Plain Language Description,Revenue Code,HCPCS Code,Standard Price,Discounted Cash Price,Allegiance,PacificSoursce,FirstChoiceHealthNetwork,MountainHealthCoop,De-Identified Min Negotiated Charge,De-Identified Max Negotiated Charge
CC-Pharmacy,4,CETACAINE TOPICAL  5 G  1 EACH,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,5,LIDOCAINE 2% JELLY 6 ML,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,6,ONANZAPINE 10 MG,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,7,OLANZAPINE INJ 10 MG,250,J2358,,0,0,0,0,0,0,0
CC-Pharmacy,9,TRIAMCINOLONE ACETONIDE CREAM 0.1% 15 GM,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,10,ZOLPIDEM 5 MG TAB,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,11,EPTIFIBATIDE VIAL 75 MG,250,,51.12,40.9,47.03,48.56,48.56,48.56,47.03,51.12
CC-Pharmacy,12,AMOXICILLIN 500 MG,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,13,IOPAMIDOL INFUS. BTL 150 ML,250,,0.61,0.49,0.56,0.58,0.58,0.58,0.56,0.61
CC-Pharmacy,14,IOPAMIDOL VIAL 50 ML,250,,0.59,0.47,0.54,0.56,0.56,0.56,0.54,0.59
CC-Pharmacy,16,DICLOXACILLIN SODIUM 250 MG,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,17,TRIAMCIN OINT 0.1% 15 MG,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,18,ARIPIPRAZOLE 15 MG TAB,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,20,"OSELTAMIVIR 6 MG/ML SUSPENSION 6 mg, 60 mL",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,21,"PEG 3350 ELECTROLYTE SOLN 22.72 g, 4000 mL",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,23,"Activase 100 MG VIAL 100 mg, 1 each",250,J2997,,0,0,0,0,0,0,0
CC-Pharmacy,24,"ISOSORBIDE MONONIT ER 30 MG TB 30 mg pe, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,25,"DIVALPROEX SOD DR 500 MG TAB 500 mg, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,31,"MEROPENEM IV 500 MG VIAL 500 mg, 1 each",250,J2185,,0,0,0,0,0,0,0
CC-Pharmacy,34,"DAPTOmycin 350 MG VIAL 350 mg, 1 each",250,J0878,,0,0,0,0,0,0,0
CC-Pharmacy,35,VITAMIN D3 1000 IU / 1 EA,250,,0,0,0,0,0,0,0,0
CC-Pharmacy,36,morphine 2 MG/ML CARPUJECT,250,J2270,,0,0,0,0,0,0,0
CC-Pharmacy,37,MELATONIN 3 MG TABLET,250,A9150,,0,0,0,0,0,0,0
CC-Pharmacy,38,"NULYTELY WITH FLAVOR PACKS SOL 1 ea, 4000 mL",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,39,"PREVNAR 13 SYRINGE 0.5 mL, 0.5 mL",636,90670,,0,0,0,0,0,0,0
CC-ER Provider,41,NASO/ORO GASTRIC TUBE PLACEMENT,981,,160.35,128.28,147.52,152.33,152.33,152.33,147.52,160.35
CC-Pharmacy,43,"AMPICILLIN-SULBACTAM 1.5 GM VL , 1 each",250,J0295,,0,0,0,0,0,0,0
CC-Pharmacy,44,DULoxetine HCL DR 60 MG CAP,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,46,ELIQUIS 5 MG  1 EACH,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,50,"KCENTRA 500 UNIT VIAL 500 unit, 1 each",250,J2724,,0,0,0,0,0,0,0
CC-Pharmacy,51,"KCENTRA 1,000 UNIT VIAL 1000 unit, 1 each",250,J2724,,0,0,0,0,0,0,0
CC-Pharmacy,54,"SOTRADECOL 1% VIAL 5 mg, 2 mL",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,55,"ZOLEDRONIC ACID 5 MG/100 ML 5 mg, 100 mL",250,J3489,,0,0,0,0,0,0,0
CC-Pharmacy,56,"PHENYLEPHRINE 10 MG/ML VIAL 10 mg, 1 mL",250,J2370,,0,0,0,0,0,0,0
CC-Pharmacy,57,"DEXTROSE 5%-WATER IV SOLN 250 mL, 250 mL",258,J7060,,0,0,0,0,0,0,0
CC-Pharmacy,60,"levothyroxine 25 MCG TABLET 25 mcg, 90 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,61,"LIDOCAINE 5% PATCH 1 ea, 30 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,62,"LISINOPRIL 5 MG TABLET 5 mg, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,63,"GAMUNEX-C 40 GRAM/400 ML VIAL 40 ea, 400 mL",250,J1561,,0,0,0,0,0,0,0
CC-Pharmacy,64,"dexAMETHasone 2 MG TABLET 2 mg, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,65,"ARIPiprazole 2 MG TABLET 2 mg, 30 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,66,"amikacin SULF 500 MG/2 ML VIAL 500 mg, 2 mL",250,J0278,,0,0,0,0,0,0,0
CC-Pharmacy,67,"CELECOXIB 100 MG CAPSULE 100 mg, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,68,"EUTHYROX 88 MCG TABLET 0.88 mcg, 30 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,69,"QUEtiapine FUMARATE 25 MG TAB 25 mg, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,70,hydrOXYchloroQUINE 200 MG TAB,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,71,rOPINIRole HCL 2 MG TABLET,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,72,"CARBIDOPA-LEVODOPA 25-250 TAB 1 ea, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,73,"DULoxetine HCL DR 30 MG CAP 30 mg, 30 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,74,"ESCITALOPRAM 10 MG TABLET 10 ea, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,75,"MEMANTINE HCL 5 MG TABLET 5 mg, 60 eaches",250,J3490,,0,0,0,0,0,0,0
