Run Date: 10/18/2021 6:47:19 PM
CDM Date Stamp: 10/14/2020

Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,ALLEGIANCE,BCBS_CLOSED_NETWORK,BCBS_HEALTHLINK_NETWORK,BCBS_POS,BCBS_TRADITIONAL,EBMS,HEALTH_INFO_NET_PEAK_EQUITY,HEALTH_INFO_NET_STANDARD,HUMANA_PPO_NETWORK,INTEGRATED_HEALTH_PLAN,INTERWEST_HEALTH_PPO,INTERWEST_HEALTH_TRADITIONAL,MOUNTAIN_HEALTH_CO-OP_HPN,MOUNTAIN_HEALTH_CO-OP_PPO_POS,PACIFIC_SOURCE,UHC_COMMERCIAL
1000009,OBS PER HR WITHOUT TELEMETRY,Inpatient,0762,G0378,Hospital observation per hr,,0,79.0000,63.2000,63.2000,79.0000,75.0500,68.7300,68.7300,68.7300,68.7300,75.0500,76.6300,76.6300,75.0500,75.0500,77.4200,79.0000,69.5200,77.4200,76.6300,N/A
1000009,OBS PER HR WITHOUT TELEMETRY,Observation,0762,G0378,Hospital observation per hr,,0,79.0000,63.2000,63.2000,79.0000,75.0500,65.5700,65.5700,65.5700,65.5700,75.0500,76.6300,76.6300,72.6800,75.0500,77.4200,79.0000,69.5200,77.4200,76.6300,N/A
1000090,OBS PER HOUR WITH TELEMETRY,Inpatient,0762,G0378,Hospital observation per hr,,0,103.0000,82.4000,82.4000,103.0000,97.8500,89.6100,89.6100,89.6100,89.6100,97.8500,99.9100,99.9100,97.8500,97.8500,100.9400,103.0000,90.6400,100.9400,99.9100,N/A
1000090,OBS PER HOUR WITH TELEMETRY,Observation,0762,G0378,Hospital observation per hr,,0,103.0000,82.4000,82.4000,103.0000,97.8500,85.4900,85.4900,85.4900,85.4900,97.8500,99.9100,99.9100,94.7600,97.8500,100.9400,103.0000,90.6400,100.9400,99.9100,N/A
11007,CAH ACUTE CARE WITHOUT TELEMETRY,Inpatient,0120,,,,0,1906.0000,1524.8000,1524.8000,1906.0000,1810.7000,1658.2200,1658.2200,1658.2200,1658.2200,1810.7000,1848.8200,1848.8200,1810.7000,1810.7000,1867.8800,1906.0000,1677.2800,1867.8800,1848.8200,N/A
1500008,RADIOLOGY FEE SHOULDER COMPLETE,ProFee,0972,73030,"Radiologic examination, shoulder; complete, minimum of 2 views",,0,69.0000,55.2000,17.0019,66.9300,54.7305,57.2700,57.2700,57.2700,57.2700,55.2000,58.6500,58.6500,N/A,N/A,0.0000,0.0000,44.8500,51.7500,66.9300,17.0019
1500016,CLINIC LASIX 20MG,ProFee,0983,J1940,Furosemide injection,,0,21.0000,16.8000,8.4000,20.3700,N/A,17.4300,17.4300,17.4300,17.4300,16.8000,17.8500,17.8500,N/A,N/A,0.0000,0.0000,13.6500,15.7500,20.3700,8.4000
1500032,CLINIC COMPAZINE UP TO 10MG,ProFee,0983,J0780,Prochlorperazine injection,,0,53.1400,42.5120,21.2560,51.5458,N/A,44.1062,44.1062,44.1062,44.1062,42.5120,45.1690,45.1690,N/A,N/A,0.0000,0.0000,34.5410,39.8550,51.5458,21.2560
1500040,EXCISION BENIGN LESION .6-1CM,ProFee,0983,11441,"Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 0.6 to 1.0 cm",,0,509.0000,407.2000,219.5105,933.5550,219.5105,422.4700,422.4700,422.4700,422.4700,536.4800,933.5550,577.1950,N/A,N/A,919.7478,919.7478,492.6294,547.3660,493.7300,221.4904
1500065,CLINIC DEPO MEDROL PER 40MG,ProFee,0983,J1030,Methylprednisolone 40 mg inj,,0,41.0000,32.8000,16.4000,39.7700,N/A,34.0300,34.0300,34.0300,34.0300,32.8000,34.8500,34.8500,N/A,N/A,0.0000,0.0000,26.6500,30.7500,39.7700,16.4000
1500073,HOSPITAL DISCHARGE >30 MIN,ProFee,0983,99239,Hospital discharge day management; more than 30 minutes,,0,330.0000,264.0000,63.4644,320.1000,177.7270,273.9000,273.9000,273.9000,273.9000,169.1200,123.7600,181.9550,N/A,N/A,121.9296,121.9296,63.4644,70.5160,320.1000,181.4977
1500081,ADMIT/DC SAME DAY INPT LEVEL 1,ProFee,0983,99234,"Observation or inpatient hospital care, for the evaluation and management of a patient including admission and discharge on the same date, which requires these 3 key components: A detailed or comprehensive history; A detailed or comprehensive examination; and Medical decision making that is straightforward or of low complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually the presenting problem(s) requiring admission are of low severity. Typically, 40 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,475.0000,380.0000,48.3786,460.7500,221.8645,394.2500,394.2500,394.2500,394.2500,211.1200,65.4500,227.1425,N/A,N/A,64.4820,64.4820,48.3786,53.7540,460.7500,218.5625
1500099,ADMIT/DC SAME DAY INPT LEVEL 2,ProFee,0983,99235,"Observation or inpatient hospital care, for the evaluation and management of a patient including admission and discharge on the same date, which requires these 3 key components: A comprehensive history; A comprehensive examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually the presenting problem(s) requiring admission are of moderate severity. Typically, 50 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,640.0000,512.0000,57.2220,620.8000,280.7145,531.2000,531.2000,531.2000,531.2000,267.1200,129.1150,287.3925,N/A,N/A,127.2054,127.2054,57.2220,63.5800,620.8000,277.7364
1500107,ADMIT/DC SAME DAY INPT LEVEL 3,ProFee,0983,99236,"Observation or inpatient hospital care, for the evaluation and management of a patient including admission and discharge on the same date, which requires these 3 key components: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually the presenting problem(s) requiring admission are of high severity. Typically, 55 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,788.0000,630.4000,55.6890,764.3600,361.3390,654.0400,654.0400,654.0400,654.0400,343.8400,56.5250,369.9350,N/A,N/A,55.6890,55.6890,112.8834,125.4260,764.3600,356.5905
1500115,LAC REPAIR SIMPLE 20.1 CM-30.0CM,ProFee,0983,12006,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 20.1 cm to 30.0 cm",,0,779.0000,623.2000,198.4996,1389.9200,201.8555,646.5700,646.5700,646.5700,646.5700,943.0400,1389.9200,1014.6100,N/A,N/A,1369.3632,1369.3632,1248.4800,1387.2000,755.6300,198.4996
1500123,LAC REPAIR 2.6-7.5CM INT,ProFee,0983,12032,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 2.6 cm to 7.5 cm",,0,914.0000,731.2000,318.3279,1359.8425,321.3210,758.6200,758.6200,758.6200,758.6200,1263.9200,1258.4250,1359.8425,N/A,N/A,1239.8130,1239.8130,981.6174,1090.6860,886.5800,318.3279
1500149,SCHOOL PHYSICAL AGES 12-17,ProFee,0983,99394,"Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/diagnostic procedures, established patient; adolescent (age 12 through 17 years)",,0,30.0000,24.0000,12.0000,149.4200,145.9480,24.9000,24.9000,24.9000,24.9000,138.8800,30.9400,149.4200,N/A,N/A,30.4824,30.4824,51.4998,57.2220,29.1000,12.0000
1500156,CLINIC MORPHINE SULFATE UP TO 10MG,ProFee,0983,J2270,Morphine sulfate injection,,0,33.0000,26.4000,13.2000,32.0100,N/A,27.3900,27.3900,27.3900,27.3900,26.4000,28.0500,28.0500,N/A,N/A,0.0000,0.0000,21.4500,24.7500,32.0100,13.2000
1500164,LAC REPAIR INT 2.6-7.5CM,ProFee,0983,12042,"Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 2.6 cm to 7.5 cm",,0,870.0000,696.0000,329.2910,1827.3825,331.9140,722.1000,722.1000,722.1000,722.1000,1698.4800,1267.3500,1827.3825,N/A,N/A,1248.6060,1248.6060,1505.9790,1673.3100,843.9000,329.2910
1500172,LAC REPAIR <2.5CM INT,ProFee,0983,12051,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.5 cm or less",,0,777.0000,621.6000,284.0580,1981.9620,285.4225,644.9100,644.9100,644.9100,644.9100,868.5600,660.4500,934.4775,N/A,N/A,0.0000,0.0000,1783.7658,1981.9620,753.6900,284.0580
1500198,ENDOMETRIAL BIOPSY,ProFee,0983,58100,"Endometrial sampling (biopsy) with or without endocervical sampling (biopsy), without cervical dilation, any method (separate procedure)",,0,367.0000,293.6000,35.2800,1960.5250,109.4610,304.6100,304.6100,304.6100,304.6100,35.2800,1960.5250,37.9575,N/A,N/A,1931.5290,1931.5290,449.4528,499.3920,355.9900,108.8653
1500206,DISLOCATION/MANIPULATION FINGER,ProFee,0983,26770,"Closed treatment of interphalangeal joint dislocation, single, with manipulation; without anesthesia",,0,835.0000,668.0000,436.0785,809.9500,436.0785,693.0500,693.0500,693.0500,693.0500,668.0000,577.1500,709.7500,N/A,N/A,568.6140,568.6140,483.7860,537.5400,809.9500,436.2266
1500214,PESSARY INSERTION,ProFee,0983,57160,Fitting and insertion of pessary or other intravaginal support device,,0,243.0000,194.4000,79.3366,1464.2950,79.4475,201.6900,201.6900,201.6900,201.6900,129.3600,1464.2950,139.1775,N/A,N/A,1442.6382,1442.6382,599.7906,666.4340,235.7100,79.3366
1500230,EXCISION LESION <.5CM,ProFee,0983,11420,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 0.5 cm or less",,0,370.0000,296.0000,137.7090,1633.9800,137.7090,307.1000,307.1000,307.1000,307.1000,1518.7200,819.9100,1633.9800,N/A,N/A,807.7836,807.7836,766.7748,851.9720,358.9000,214.1373
1500248,LAC REPAIR INT 5.1-7.5CM,ProFee,0983,12053,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 5.1 cm to 7.5 cm",,0,1042.0000,833.6000,362.8123,1135.7125,364.8700,864.8600,864.8600,864.8600,864.8600,1055.6000,579.5300,1135.7125,N/A,N/A,570.9588,570.9588,677.3000,781.5000,1010.7400,362.8123
1500255,FRACTURE CARE DISTAL PHALANGEAL,ProFee,0983,26750,"Closed treatment of distal phalangeal fracture, finger or thumb; without manipulation, each",,0,558.0000,446.4000,314.2522,541.2600,314.8475,463.1400,463.1400,463.1400,463.1400,446.4000,474.3000,474.3000,N/A,N/A,0.0000,0.0000,362.7000,418.5000,541.2600,314.2522
1500263,FRACTURE CARE TIB/FIB WITH MANIPULA,ProFee,0983,27752,"Closed treatment of tibial shaft fracture (with or without fibular fracture); with manipulation, with or without skeletal traction",,0,1646.0000,1316.8000,174.7200,3334.3800,835.0815,1366.1800,1366.1800,1366.1800,1366.1800,174.7200,3334.3800,187.9800,N/A,N/A,3285.0648,3285.0648,1069.9000,1234.5000,1596.6200,844.6712
1500297,EXCISION MALIGNANT LESION 1.1-2CM,ProFee,0983,11602,"Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 1.1 to 2.0 cm",,0,748.0000,598.4000,107.5200,2666.1950,272.4755,620.8400,620.8400,620.8400,620.8400,107.5200,2666.1950,115.6800,N/A,N/A,2626.7622,2626.7622,1762.4376,1958.2640,725.5600,271.3315
1500305,DEBRIDEMENT INFECTED SKIN,ProFee,0983,11000,Debridement of extensive eczematous or infected skin; up to 10% of body surface,,0,166.0000,132.8000,46.9465,2143.2240,48.2570,137.7800,137.7800,137.7800,137.7800,670.3200,1962.9050,721.1925,N/A,N/A,1933.8738,1933.8738,1928.9016,2143.2240,161.0200,46.9465
1500339,FRACTURE CARE TOE WITH MANIPULATION,ProFee,0983,28515,"Closed treatment of fracture, phalanx or phalanges, other than great toe; with manipulation, each",,0,500.0000,400.0000,240.1059,827.6960,240.1080,415.0000,415.0000,415.0000,415.0000,611.5200,733.0400,657.9300,N/A,N/A,722.1984,722.1984,744.9264,827.6960,485.0000,240.1059
1500347,FRACTURE CARE METATARSAL,ProFee,0983,28470,"Closed treatment of metatarsal fracture; without manipulation, each",,0,673.0000,538.4000,344.2725,2980.1680,344.2725,558.5900,558.5900,558.5900,558.5900,576.8000,1436.3300,620.5750,N/A,N/A,1415.0868,1415.0868,2682.1512,2980.1680,652.8100,349.6533
1500354,LAC REPAIR 7.6-12.5CM,ProFee,0983,12015,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 7.6 cm to 12.5 cm",,0,676.0000,540.8000,160.8692,1225.7000,163.6030,561.0800,561.0800,561.0800,561.0800,806.4000,1225.7000,867.6000,N/A,N/A,1207.5720,1207.5720,709.5528,788.3920,655.7200,160.8692
1500362,TOBACCO CESSATION VISIT > 10 MINUTE,ProFee,0983,99407,"Smoking and tobacco use cessation counseling visit; intensive, greater than 10 minutes",,0,193.0000,154.4000,41.4400,193.0520,43.5490,160.1900,160.1900,160.1900,160.1900,41.4400,120.1900,44.5850,N/A,N/A,118.4124,118.4124,173.7468,193.0520,187.2100,42.9040
1500388,CLINIC IMMUNIZATION ADM ONE VACCINE,ProFee,0983,90471,"Immunization administration (includes percutaneous, intradermal, subcutaneous, or intramuscular injections); 1 vaccine (single or combination vaccine/toxoid)",,0,53.0000,42.4000,23.5400,57.2375,23.5400,43.9900,43.9900,43.9900,43.9900,53.2000,45.0500,57.2375,N/A,N/A,0.0000,0.0000,34.4500,39.7500,51.4100,24.2052
