"Pricing Data as of September 1, 2019",,,,
,,,,
DESCRIPTION,CDM,CPT, Base Price , Professional Fee 
.ACh Receptor (Muscle) Modulating Ab-Mayo,7052865,83519,$210.00 ,
.AChR Ganglionic Neuronal Ab-mayo,7052899,83519,$519.00 ,
.ANA Ab (multiple)-Mayo,7052614,86039,$285.00 ,
.APTT Mix 1:1-Mayo,7052747,85732,$153.00 ,
".Brucella Ab, Agglutination, S-Mayo",7055694,86622,$213.00 ,
.Chlamydia Culture Typing Bill Only - Quest,7055771,87140,$54.00 ,
.CK Iso Elect-Mayo CKE,7052854,82552,$423.00 ,
".Cortisol, Baseline",7052082,80400,$200.00 ,
".Cortisol, Post Stimulation 30 Min.",7052083,82533,$135.00 ,
".Cortisol, Post Stimulation 60 Min.",7052084,82533,$135.00 ,
.CRMP-5-IgG WB-Mayo CRMWS,7052864,84182,$542.00 ,
.D Dimer-Mayo,7052737,85379,$145.00 ,
.D2 Fungal sequencing ID-Mayo,7052708,87153,$385.00 ,
.DRVVT Confirmation Ratio-Mayo,7055765,85613,$142.00 ,
.DRVVT Confirm-Mayo,7052736,85613,$203.00 ,
.DRVVT Mix & Confirm Reflex-Mayo,7055766,85613,$142.00 ,
.DRVVT Mix Ratio-Mayo,7055764,85613,$142.00 ,
.DRVVT Mix-Mayo,7052748,85613,$209.00 ,
.dsDNA Ab by Crithidia IFA IgG-Mayo,7052611,86255,$150.00 ,
.EMA Titer-Mayo,7052745,86256,$146.00 ,
".Ethanol, Urine-Mayo",7052800,80307,$146.00 ,
".Ethyl Glucuronide Confirmation, Urine-Mayo",7053100,80321,$175.00 ,
.Factor VIII Bethesda Units-Mayo IBETH,7052449,85335,$369.00 ,
.Factor VIII Inh Scrn-Mayo,7052450,85335,$714.00 ,
.Factor VIII Spec Coag Interp-Mayo CCCR,7052451,85390,$97.00 ,
.Fibrinogen-Mayo,7052743,85384,$53.00 ,
".Flow Cytometry, Cell Surface Addl-Mayo",7055702,88185,$141.00 ,
.Fragile X Follow up-Mayo,7052796,81244,$549.00 ,
.Fungal Culture CSF-Mayo,7052948,87102,$95.00 ,
.Fungal ID Panel A-Mayo,7052709,87107,$109.00 ,
.Fungal ID Panel B-Mayo,7052710,87107,$169.00 ,
.Gastrin-Mayo,7052820,82941,$120.00 ,
.Glucose 2 Hour,7051617,82951,$85.00 ,
.Glucose 2 Hr (75g),7052933,82950,$35.00 ,
.Glucose 3 Hour,7051618,82951,$33.00 ,
.Glucose 3 Hr (100g),7052932,82951,$33.00 ,
.Glucose Fasting,7052930,82947,$48.00 ,
.Glucose Urine Fasting,7051619,81003,$34.00 ,
.HBs Antigen Confirmation-Mayo,7052445,87341,$106.00 ,
.HCV Genotype Resolution-Mayo,705289,87902,$446.00 ,
.HIV1 Ab Confirm by Western Blot-Mayo,7052516,86689,$232.00 ,
.HSV 1 IgM Titer CSF-Mayo FMTR1,7052847,86695,$91.00 ,
.HSV 2 IGM Titer CSF FMTR2,7052846,86696,$96.00 ,
.HTLV I/II Ab Confirmation-Mayo,7052908,86689,$219.00 ,
.ID MALDI-TOF Fungi-Mayo,7052712,87107,$196.00 ,
.ID MALDI-TOF Yeast-Mayo,7052713,87106,$173.00 ,
.ID Rapid PCR Cocci-Mayo,7052714,87150,$221.00 ,
.Immunofix Cryo-Mayo IMFXC,7052440,86334,$137.00 ,
.Immunofixation-Mayo,7052439,86334,$137.00 ,
.Intrinsic Factor Blocking AB-Mayo IFBPA,7052819,86340,$65.00 ,
.Lithium lvl,7050036,80178,$64.00 ,
".Metaphases, 1-14 -Mayo",7055700,88262,$420.00 ,
".Metaphases, 15-20 -Mayo",7055701,88262,$420.00 ,
.Microbial Probe Fungus ID-Mayo,7052790,87150,$333.00 ,
.MMA-Mayo MMAPA,7052821,83921,$213.00 ,
.Neuronal (V-G) K+ Channel Ab-Mayo,7052900,83519,$520.00 ,
.Platelet Neutralization-Mayo,7052749,85597,$183.00 ,
".Porphyrins, Fractionation-Mayo",7052468,82542,$244.00 ,
.Pro Time Mix 1:1-Mayo,7052750,85611,$143.00 ,
".Protein S Ag, Total-Mayo",7052447,85305,$231.00 ,
.Ristocetin Cofactor-Mayo,7052723,85245,$230.00 ,
.RPR Titer-Mayo,7052734,86593,$37.00 ,
.Sin Nombre Virus IgG Conf-Mayo,7052802,86790,$173.00 ,
.Sin Nombre Virus IgM Conf-Mayo,7052803,86790,$127.00 ,
.Soluble Fibrin Monomer-Mayo,7052744,85366,$295.00 ,
.Special Coag Interp-Mayo,7052751,85390,$92.00 ,
.Staclot LA-Mayo,7052752,85598,$250.00 ,
".Susceptibility Panel, Yeast-Mayo",7051519,87186,$216.00 ,
.Synovasure Neutrophil Elastase-Citrano Diagnostic Labs,7055685,83516,$135.00 ,
".Syphilis Ab, TP-PA-Mayo",7052470,86780,$75.00 ,
.Tissue Processing (Bill Only)-Mayo,7052962,87176,$49.00 ,
.Universal PCR for Bacteria - University of Washington,7055677,87801,$362.00 ,
.Universal PCR for Fungus - University of Washington,7055676,87801,$593.00 ,
.vW Factor Multimer-Mayo,7052724,85247,$296.00 ,
.Yeast ID Panel A-Mayo,7052716,87106,$88.00 ,
.Yeast ID Panel B-Mayo,7052717,87106,$97.00 ,
.Yeast ID Panel C-Mayo,7052718,87106,$137.00 ,
.Yeast ID Panel D-Mayo,7052719,87106,$77.00 ,
11 Deoxycortisol-Mayo DOC,7052822,82634,$126.00 ,
14-3-3 eta Protein (ARUP) 3000453,7055731,83520,$178.00 ,
"14-3-3 Protein, CSF-Mayo",7052954,83520,$141.00 ,
17 HYDROXYCORTICOSTEROIDS,7052029,83491,$101.00 ,
