Run Date: 2/11/2022 3:15:49 PM
CDM Date Stamp: 1/1/2022

Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,Allegiance,Allegiance_Medicare_RBPHP,BCBS_HEALTHLINK_NETWORK,BCBS_TRADITIONAL_NETWORK,Indian_Health_Svcs,PACIFIC_SOURCE_
1034074_1,ANCA screen,Inpatient,0300,86255,"Fluorescent noninfectious agent antibody; screen, each antibody",,0,142.75,107.06,82.80,265.52,135.61,135.61,132.76,142.75,N/A,135.61
1034074_1,ANCA screen,Outpatient,0300,86255,"Fluorescent noninfectious agent antibody; screen, each antibody",,0,142.75,107.06,82.80,265.52,135.61,265.52,132.76,142.75,82.80,135.61
1034075_1,ANCA Titer,Inpatient,0302,86256,"Fluorescent noninfectious agent antibody; titer, each antibody",,0,333.50,250.13,193.43,620.31,316.83,316.83,310.16,333.50,N/A,316.83
1034075_1,ANCA Titer,Outpatient,0302,86256,"Fluorescent noninfectious agent antibody; titer, each antibody",,0,333.50,250.13,193.43,620.31,316.83,620.31,310.16,333.50,193.43,316.83
1040072_1,ANCA Screen,Inpatient,0300,86255,"Fluorescent noninfectious agent antibody; screen, each antibody",,0,142.75,107.06,82.80,265.52,135.61,135.61,132.76,142.75,N/A,135.61
1040072_1,ANCA Screen,Outpatient,0300,86255,"Fluorescent noninfectious agent antibody; screen, each antibody",,0,142.75,107.06,82.80,265.52,135.61,265.52,132.76,142.75,82.80,135.61
1040073_1,"Myeloperoxidase, IgG AB",Inpatient,0300,86021,Antibody identification; leukocyte antibodies,,0,156.00,117.00,90.48,290.16,148.20,148.20,145.08,156.00,N/A,148.20
1040073_1,"Myeloperoxidase, IgG AB",Outpatient,0300,86021,Antibody identification; leukocyte antibodies,,0,156.00,117.00,90.48,290.16,148.20,290.16,145.08,156.00,90.48,148.20
1040074_1,"Proteinase 3, IgG AB",Inpatient,0300,86021,Antibody identification; leukocyte antibodies,,0,156.00,117.00,90.48,290.16,148.20,148.20,145.08,156.00,N/A,148.20
1040074_1,"Proteinase 3, IgG AB",Outpatient,0300,86021,Antibody identification; leukocyte antibodies,,0,156.00,117.00,90.48,290.16,148.20,290.16,145.08,156.00,90.48,148.20
1070072_1,"Microalbumin, Ur Random",Inpatient,0301,82043,"Albumin; urine (eg, microalbumin), quantitative",,0,135.50,101.63,78.59,252.03,128.73,128.73,126.02,135.50,N/A,128.73
1070072_1,"Microalbumin, Ur Random",Outpatient,0301,82043,"Albumin; urine (eg, microalbumin), quantitative",,0,135.50,101.63,78.59,252.03,128.73,252.03,126.02,135.50,78.59,128.73
1176078_1,Interp Anti-IgG DAT,Inpatient,0302,86880,"Antihuman globulin test (Coombs test); direct, each antiserum",,0,85.75,64.31,49.74,159.50,81.46,81.46,79.75,85.75,N/A,81.46
1176078_1,Interp Anti-IgG DAT,Outpatient,0302,86880,"Antihuman globulin test (Coombs test); direct, each antiserum",,0,85.75,64.31,49.74,159.50,81.46,159.50,79.75,85.75,49.74,81.46
1176080_1,"Interp Anti-C3b,C3d DAT",Inpatient,0302,86880,"Antihuman globulin test (Coombs test); direct, each antiserum",,0,85.75,64.31,49.74,159.50,81.46,81.46,79.75,85.75,N/A,81.46
