Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,BCBSMT_POS_CLOSED_NETWORK,BCBSMT_TRADIIONAL_NETWORK,ROCKY_MOUNTAIN_HEALTH_NETWORK
1070072_1,"Microalbumin, Ur Random",Inpatient,301,82043,"Albumin; urine (eg, microalbumin), quantitative",,0,73,73,69.35,73,71.54,73,69.35
1070072_1,"Microalbumin, Ur Random",Outpatient,301,82043,"Albumin; urine (eg, microalbumin), quantitative",,0,73,73,69.35,73,71.54,73,69.35
1158072_1,"Bill Cyto, Cytopath w/conc 88108",Inpatient,310,88108,"Cytopathology, concentration technique, smears and interpretation (eg, Saccomanno technique)",,0,200,200,190,200,196,200,190
1158072_1,"Bill Cyto, Cytopath w/conc 88108",Outpatient,310,88108,"Cytopathology, concentration technique, smears and interpretation (eg, Saccomanno technique)",,0,200,200,190,200,196,200,190
1360073_1,UIBC,Inpatient,301,83550,Iron binding capacity,,0,76,76,72.2,76,74.48,76,72.2
1360073_1,UIBC,Outpatient,301,83550,Iron binding capacity,,0,76,76,72.2,76,74.48,76,72.2
1364073_1,"Inactive Lactic Acid, Fluid",Inpatient,,,,,0,164,164,155.8,164,160.72,164,155.8
1364073_1,"Inactive Lactic Acid, Fluid",Outpatient,,,,,0,164,164,155.8,164,160.72,164,155.8
1444135_1,"Metanephrines, Fract Random Ur",Inpatient,301,83835,Metanephrines,,0,185,185,175.75,185,181.3,185,175.75
1444135_1,"Metanephrines, Fract Random Ur",Outpatient,301,83835,Metanephrines,,0,185,185,175.75,185,181.3,185,175.75
1446074_1,"Platelet, Reticulated Count (YPI)",Inpatient,305,85055,Reticulated platelet assay,,0,142,142,134.9,142,139.16,142,134.9
1446074_1,"Platelet, Reticulated Count (YPI)",Outpatient,305,85055,Reticulated platelet assay,,0,142,142,134.9,142,139.16,142,134.9
1456077_1,CT 3D Rendering/Modality Software,Inpatient,350,76376,"3D rendering with interpretation and reporting of computed tomography, magnetic resonance imaging, ultrasound, or other tomographic modality with image postprocessing under concurrent supervision; not requiring image postprocessing on an independent workstation",,0,587,587,557.65,587,575.26,587,557.65
1456077_1,CT 3D Rendering/Modality Software,Outpatient,350,76376,"3D rendering with interpretation and reporting of computed tomography, magnetic resonance imaging, ultrasound, or other tomographic modality with image postprocessing under concurrent supervision; not requiring image postprocessing on an independent workstation",,0,587,587,557.65,587,575.26,587,557.65
1490077_1,CT Non Ionic Contrast 300/399 per ml,Inpatient,255,Q9967,"Locm 300-399mg/ml iodine,1ml",,1,7,7,6.65,7,6.86,7,6.65
