Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,ALLEGIANCE_COMMERCIAL,BCBSMT_HEALTHLINK_NETWORK,BCBSMT-TRADITIONAL_NETWORK,InterWest_PPO,MONTANA_HEALTH_CO-OP,MONTANA_HEALTH_CO-OP_HPN_PRODUCT,PACIFIC_SOURCE_COMMERCIAL_,UHC,hospital
1034072_1,"Myeloperoxidase AB, IgG",Inpatient,300,83516,"Immunoassay for analyte other than infectious agent antibody or infectious agent antigen; qualitative or semiquantitative, multiple step method",,0,149,149,53.69,149,141.55,134.1,134.1,144.53,141.55,126.65,141.55,140.06,Daniels_Memorial_Hospital
1034072_1,"Myeloperoxidase AB, IgG",Outpatient,300,83516,"Immunoassay for analyte other than infectious agent antibody or infectious agent antigen; qualitative or semiquantitative, multiple step method",,0,149,149,53.69,149,141.55,53.69,53.69,144.53,141.55,126.65,141.55,140.06,Daniels_Memorial_Hospital
1034073_1,"Serine Proteinase 3 AB, IgG",Inpatient,300,86021,Antibody identification; leukocyte antibodies,,0,149,149,70.096,149,141.55,134.1,134.1,144.53,141.55,126.65,141.55,140.06,Daniels_Memorial_Hospital
1034073_1,"Serine Proteinase 3 AB, IgG",Outpatient,300,86021,Antibody identification; leukocyte antibodies,,0,149,149,70.096,149,141.55,70.096,70.096,144.53,141.55,126.65,141.55,140.06,Daniels_Memorial_Hospital
1034074_1,ANCA screen,Inpatient,300,86255,"Fluorescent noninfectious agent antibody; screen, each antibody",,0,180,180,56.108,180,171,162,162,174.6,171,153,171,169.2,Daniels_Memorial_Hospital
1034074_1,ANCA screen,Outpatient,300,86255,"Fluorescent noninfectious agent antibody; screen, each antibody",,0,180,180,56.108,180,171,56.108,56.108,174.6,171,153,171,169.2,Daniels_Memorial_Hospital
1034075_1,ANCA Titer,Inpatient,302,86256,"Fluorescent noninfectious agent antibody; titer, each antibody",,0,421,421,56.108,408.37,399.95,378.9,378.9,408.37,399.95,357.85,399.95,395.74,Daniels_Memorial_Hospital
1034075_1,ANCA Titer,Outpatient,302,86256,"Fluorescent noninfectious agent antibody; titer, each antibody",,0,421,421,56.108,408.37,399.95,56.108,56.108,408.37,399.95,357.85,399.95,395.74,Daniels_Memorial_Hospital
1038073_1,ANCA Reflex Panel,Inpatient,300,86255,"Fluorescent noninfectious agent antibody; screen, each antibody",,0,163,163,56.108,163,154.85,146.7,146.7,158.11,154.85,138.55,154.85,153.22,Daniels_Memorial_Hospital
1038073_1,ANCA Reflex Panel,Outpatient,300,86255,"Fluorescent noninfectious agent antibody; screen, each antibody",,0,163,163,56.108,163,154.85,56.108,56.108,158.11,154.85,138.55,154.85,153.22,Daniels_Memorial_Hospital
1040072_1,ANCA Screen,Inpatient,300,86255,"Fluorescent noninfectious agent antibody; screen, each antibody",,0,111,111,56.108,111,105.45,99.9,99.9,107.67,105.45,94.35,105.45,104.34,Daniels_Memorial_Hospital
1040072_1,ANCA Screen,Outpatient,300,86255,"Fluorescent noninfectious agent antibody; screen, each antibody",,0,111,111,56.108,111,105.45,56.108,56.108,107.67,105.45,94.35,105.45,104.34,Daniels_Memorial_Hospital
1040073_1,"Myeloperoxidase, IgG AB",Inpatient,300,86021,Antibody identification; leukocyte antibodies,,0,141,141,70.096,141,133.95,126.9,126.9,136.77,133.95,119.85,133.95,132.54,Daniels_Memorial_Hospital
1040073_1,"Myeloperoxidase, IgG AB",Outpatient,300,86021,Antibody identification; leukocyte antibodies,,0,141,141,70.096,141,133.95,70.096,70.096,136.77,133.95,119.85,133.95,132.54,Daniels_Memorial_Hospital
1040074_1,"Proteinase 3, IgG AB",Inpatient,300,86021,Antibody identification; leukocyte antibodies,,0,149,149,70.096,149,141.55,134.1,134.1,144.53,141.55,126.65,141.55,140.06,Daniels_Memorial_Hospital
1040074_1,"Proteinase 3, IgG AB",Outpatient,300,86021,Antibody identification; leukocyte antibodies,,0,149,149,70.096,149,141.55,70.096,70.096,144.53,141.55,126.65,141.55,140.06,Daniels_Memorial_Hospital
1070072_1,"Microalbumin, Ur Random",Inpatient,301,82043,"Albumin; urine (eg, microalbumin), quantitative",,0,87,87,26.91,87,82.65,78.3,78.3,84.39,82.65,73.95,82.65,81.78,Daniels_Memorial_Hospital
1070072_1,"Microalbumin, Ur Random",Outpatient,301,82043,"Albumin; urine (eg, microalbumin), quantitative",,0,87,87,26.91,87,82.65,26.91,26.91,84.39,82.65,73.95,82.65,81.78,Daniels_Memorial_Hospital
1176078_1,Interp Anti-IgG DAT,Inpatient,302,86880,"Antihuman globulin test (Coombs test); direct, each antiserum",,0,47,47,25.064,47,44.65,42.3,42.3,45.59,44.65,39.95,44.65,44.18,Daniels_Memorial_Hospital
1176078_1,Interp Anti-IgG DAT,Outpatient,302,86880,"Antihuman globulin test (Coombs test); direct, each antiserum",,0,47,47,25.064,47,44.65,25.064,25.064,45.59,44.65,39.95,44.65,44.18,Daniels_Memorial_Hospital
1176080_1,"Interp Anti-C3b,C3d DAT",Inpatient,302,86880,"Antihuman globulin test (Coombs test); direct, each antiserum",,0,47,47,25.064,47,44.65,42.3,42.3,45.59,44.65,39.95,44.65,44.18,Daniels_Memorial_Hospital
1176080_1,"Interp Anti-C3b,C3d DAT",Outpatient,302,86880,"Antihuman globulin test (Coombs test); direct, each antiserum",,0,47,47,25.064,47,44.65,25.064,25.064,45.59,44.65,39.95,44.65,44.18,Daniels_Memorial_Hospital
